Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov
1,Pirátska strana - Slovensko,213
2,PRINCÍP,41
3,Progresívne Slovensko,12149
4,SPOLOČNE OBČANIA SLOVENSKA,54
5,"OĽANO A PRIATELIA: OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK a Kresťanská únia a ZA ĽUDÍ",6019
6,Komunistická strana Slovenska,224
7,"Maďarské fórum, Občianski demokrati Slovenska, Za regióny, Rómska koalícia, Demokratická strana",79
8,Vlastenecký blok,28
9,"Modrí, Most - Híd",180
10,SPRAVODLIVOSŤ,30
11,Slovenské Hnutie Obrody,30
12,Sloboda a Solidarita,4276
13,SME RODINA,1496
14,MySlovensko,63
15,Slovenská národná strana,3805
16,SMER - sociálna demokracia,15518
17,HLAS - sociálna demokracia,9945
18,SZÖVETSÉG - Magyarok. Nemzetiségek. Regiók. | ALIANCIA - Maďari. Národnosti. Regióny,2966
19,SRDCE vlastenci a dôchodcovia - SLOVENSKÁ NÁRODNÁ JEDNOTA,52
20,SDKÚ - DS - Slovenská demokratická a kresťanská únia - Demokratická strana,17
21,Kotlebovci - Ľudová strana Naše Slovensko,569
22,Demokrati,1982
23,Kresťanskodemokratické hnutie,4614
24,KARMA,54
25,REPUBLIKA,3215
