iteration_number,party_number,lowest_samples
1,3,20901
1,5,20422
1,12,22551
1,13,19841
1,18,4496
1,21,29596
1,22,14893
1,23,22338
1,25,2094
2,3,20682
2,5,19628
2,12,21849
2,13,19927
2,18,4334
2,21,29690
2,22,14612
2,23,22031
2,25,1869
3,3,16590
3,5,19111
3,12,17593
3,13,19720
3,18,4416
3,21,29551
3,22,14685
3,23,18042
3,25,1561
4,3,20088
4,5,19532
4,12,21650
4,13,19807
4,18,4324
4,21,29587
4,22,14885
4,23,21921
4,25,1569
5,3,19122
5,5,19274
5,12,19122
5,13,19808
5,18,4413
5,21,29550
5,22,14519
5,23,19122
5,25,1877
6,3,20709
6,5,19615
6,12,21861
6,13,19656
6,18,4320
6,21,29639
6,22,15004
6,23,21840
6,25,1530
7,3,20591
7,5,19477
7,12,21342
7,13,20027
7,18,4499
7,21,29475
7,22,14755
7,23,21789
7,25,1671
8,3,20874
8,5,20678
8,12,21841
8,13,20126
8,18,4127
8,21,29561
8,22,14745
8,23,22895
8,25,1620
9,3,20164
9,5,19603
9,12,21856
9,13,19651
9,18,4512
9,21,29605
9,22,14984
9,23,22345
9,25,1686
10,3,20389
10,5,19473
10,12,21677
10,13,19884
10,18,4460
10,21,29510
10,22,14918
10,23,22038
10,25,1721
11,3,19838
11,5,20114
11,12,21744
11,13,19744
11,18,4281
11,21,29776
11,22,14614
11,23,22151
11,25,1700
12,3,19883
12,5,19771
12,12,21593
12,13,19740
12,18,4385
12,21,29555
12,22,14955
12,23,21989
12,25,1645
13,3,16052
13,5,18991
13,12,18356
13,13,20062
13,18,4377
13,21,29615
13,22,14599
13,23,18226
13,25,1648
14,3,20654
14,5,19448
14,12,21605
14,13,19964
14,18,4244
14,21,29693
14,22,14728
14,23,21719
14,25,1861
15,3,20298
15,5,19868
15,12,21431
15,13,19813
15,18,4231
15,21,29731
15,22,14554
15,23,22116
15,25,1763
16,3,19848
16,5,19440
16,12,21273
16,13,19795
16,18,4499
16,21,29599
16,22,14842
16,23,21386
16,25,1904
17,3,20468
17,5,20375
17,12,21776
17,13,19870
17,18,4234
17,21,29574
17,22,14673
17,23,22097
17,25,1731
18,3,20415
18,5,19942
18,12,22065
18,13,19895
18,18,4377
18,21,29604
18,22,14901
18,23,22273
18,25,1967
19,3,19858
19,5,19978
19,12,21710
19,13,20054
19,18,4346
19,21,29629
19,22,14470
19,23,22404
19,25,1600
20,3,19972
20,5,19904
20,12,22214
20,13,19812
20,18,4454
20,21,29654
20,22,14728
20,23,22052
20,25,1675
21,3,20630
21,5,19870
21,12,22085
21,13,19931
21,18,4216
21,21,29497
21,22,14682
21,23,22125
21,25,1936
22,3,19970
22,5,19418
22,12,20840
22,13,19937
22,18,4205
22,21,29712
22,22,14943
22,23,20840
22,25,1774
23,3,21272
23,5,20125
23,12,22404
23,13,20061
23,18,4447
23,21,29458
23,22,14670
23,23,22589
23,25,1637
24,3,20650
24,5,20130
24,12,22114
24,13,19958
24,18,4401
24,21,29653
24,22,14832
24,23,22020
24,25,1958
25,3,20674
25,5,19917
25,12,21893
25,13,19753
25,18,4281
25,21,29525
25,22,14892
25,23,22740
25,25,1534
26,3,19711
26,5,19397
26,12,21270
26,13,19752
26,18,4300
26,21,29487
26,22,14465
26,23,21270
26,25,1809
27,3,19678
27,5,19939
27,12,21427
27,13,19995
27,18,4268
27,21,29513
27,22,14788
27,23,22027
27,25,1875
28,3,17144
28,5,19162
28,12,17870
28,13,19945
28,18,4331
28,21,29547
28,22,14821
28,23,18052
28,25,1852
29,3,21201
29,5,20222
29,12,21999
29,13,19752
29,18,4709
29,21,29686
29,22,14311
29,23,22492
29,25,1877
30,3,20054
30,5,19828
30,12,21992
30,13,19754
30,18,4234
30,21,29712
30,22,14836
30,23,21922
30,25,1971
31,3,21191
31,5,19556
31,12,21832
31,13,19820
31,18,4370
31,21,29685
31,22,15121
31,23,22646
31,25,1955
32,3,20464
32,5,19774
32,12,21293
32,13,19927
32,18,4424
32,21,29645
32,22,14969
32,23,21533
32,25,1739
33,3,20532
33,5,19943
33,12,21781
33,13,19914
33,18,4530
33,21,29571
33,22,15007
33,23,22656
33,25,1531
34,3,20601
34,5,19824
34,12,22153
34,13,19867
34,18,4236
34,21,29776
34,22,14690
34,23,22879
34,25,1836
35,3,20426
35,5,19844
35,12,21573
35,13,19760
35,18,4456
35,21,29469
35,22,14463
35,23,22386
35,25,1675
36,3,20883
36,5,19432
36,12,21247
36,13,19891
36,18,4817
36,21,29532
36,22,14584
36,23,21247
36,25,1684
37,3,20413
37,5,20113
37,12,22277
37,13,19616
37,18,4184
37,21,29551
37,22,14676
37,23,22674
37,25,1667
38,3,19961
38,5,19662
38,12,21280
38,13,19939
38,18,4571
38,21,29534
38,22,14778
38,23,21540
38,25,2053
39,3,20385
39,5,20081
39,12,22113
39,13,19703
39,18,4303
39,21,29689
39,22,14756
39,23,22302
39,25,1682
40,3,20638
40,5,19421
40,12,21453
40,13,19959
40,18,4438
40,21,29592
40,22,14526
40,23,21453
40,25,1844
41,3,20208
41,5,19651
41,12,21736
41,13,19777
41,18,4325
41,21,29563
41,22,14609
41,23,21890
41,25,1699
42,3,20303
42,5,20032
42,12,21737
42,13,19803
42,18,4305
42,21,29658
42,22,14630
42,23,22405
42,25,1786
43,3,20629
43,5,19626
43,12,21541
43,13,19700
43,18,4208
43,21,29648
43,22,14992
43,23,22023
43,25,1615
44,3,19950
44,5,19554
44,12,20981
44,13,19761
44,18,4622
44,21,29795
44,22,14819
44,23,21837
44,25,1332
45,3,20094
45,5,19521
45,12,21651
45,13,19889
45,18,4114
45,21,29573
45,22,14676
45,23,22102
45,25,2027
46,3,20709
46,5,20275
46,12,22059
46,13,19806
46,18,4265
46,21,29603
46,22,14849
46,23,22420
46,25,1741
47,3,20844
47,5,20058
47,12,22255
47,13,19674
47,18,4183
47,21,29761
47,22,14805
47,23,22264
47,25,1956
48,3,19886
48,5,19394
48,12,20801
48,13,19917
48,18,4377
48,21,29613
48,22,14897
48,23,20801
48,25,1625
49,3,20711
49,5,19847
49,12,22163
49,13,19939
49,18,4288
49,21,29635
49,22,14763
49,23,22612
49,25,2029
50,3,20430
50,5,19843
50,12,21571
50,13,19946
50,18,4457
50,21,29646
50,22,14787
50,23,21918
50,25,1771
51,3,20596
51,5,19941
51,12,21719
51,13,19852
51,18,3975
51,21,29734
51,22,14658
51,23,22390
51,25,1535
52,3,19698
52,5,19929
52,12,21745
52,13,19693
52,18,4367
52,21,29627
52,22,15090
52,23,22048
52,25,1682
53,3,21144
53,5,20117
53,12,22209
53,13,19961
53,18,4669
53,21,29517
53,22,14770
53,23,22587
53,25,1600
54,3,20891
54,5,19935
54,12,21953
54,13,19698
54,18,4304
54,21,29518
54,22,14992
54,23,22144
54,25,1785
55,3,21028
55,5,19940
55,12,22621
55,13,19915
55,18,4108
55,21,29616
55,22,14949
55,23,22459
55,25,1937
56,3,15796
56,5,18544
56,12,17213
56,13,19784
56,18,4407
56,21,29565
56,22,14776
56,23,17761
56,25,1558
57,3,20972
57,5,19925
57,12,22018
57,13,19777
57,18,4571
57,21,29544
57,22,14799
57,23,22668
57,25,1707
58,3,19924
58,5,19836
58,12,21629
58,13,19872
58,18,4364
58,21,29582
58,22,14539
58,23,21828
58,25,1687
59,3,20050
59,5,20008
59,12,21669
59,13,19913
59,18,4145
59,21,29571
59,22,14850
59,23,22480
59,25,1797
60,3,19006
60,5,15562
60,12,19006
60,13,19910
60,18,4228
60,21,29518
60,22,14889
60,23,19006
60,25,2030
61,3,20732
61,5,20273
