iteration_number,party_number,lowest_samples
1,3,20717
1,5,20141
1,12,22445
1,13,19890
1,18,4490
1,21,29661
1,22,14787
1,23,22436
1,25,1379
2,3,20306
2,5,20302
2,12,21976
2,13,20052
2,18,4764
2,21,29502
2,22,15001
2,23,22734
2,25,1866
3,3,21717
3,5,20294
3,12,22411
3,13,19857
3,18,4589
3,21,29769
3,22,14712
3,23,22661
3,25,1984
4,3,20835
4,5,19601
4,12,21496
4,13,19733
4,18,4108
4,21,29532
4,22,14748
4,23,22240
4,25,1724
5,3,21062
5,5,20454
5,12,22453
5,13,19723
5,18,4404
5,21,29567
5,22,15078
5,23,22931
5,25,1661
6,3,20326
6,5,19638
6,12,21581
6,13,19672
6,18,4426
6,21,29477
6,22,14898
6,23,21898
6,25,1656
7,3,21424
7,5,20480
7,12,22521
7,13,19590
7,18,4325
7,21,29442
7,22,14782
7,23,22947
7,25,1775
8,3,19445
8,5,19589
8,12,21757
8,13,19989
8,18,4211
8,21,29551
8,22,14458
8,23,21956
8,25,1584
9,3,20086
9,5,19666
9,12,21610
9,13,19620
9,18,4417
9,21,29595
9,22,14682
9,23,21922
9,25,2106
10,3,21148
10,5,20654
10,12,21940
10,13,19852
10,18,4470
10,21,29638
10,22,14817
10,23,22930
10,25,2034
11,3,19483
11,5,19465
11,12,21648
11,13,19940
11,18,4149
11,21,29645
11,22,14750
11,23,21850
11,25,2015
12,3,20450
12,5,20217
12,12,22038
12,13,19926
12,18,4245
12,21,29542
12,22,14584
12,23,22608
12,25,1869
13,3,20344
13,5,20496
13,12,22199
13,13,20128
13,18,4260
13,21,29688
13,22,14722
13,23,22501
13,25,1689
14,3,20989
14,5,20192
14,12,22683
14,13,19794
14,18,4477
14,21,29601
14,22,14826
14,23,22839
14,25,1407
15,3,20533
15,5,19483
15,12,21407
15,13,19980
15,18,4376
15,21,29672
15,22,14625
15,23,22069
15,25,1690
16,3,21083
16,5,19763
16,12,21748
16,13,19827
16,18,4368
16,21,29419
16,22,14776
16,23,22693
16,25,1940
17,3,20796
17,5,19545
17,12,21319
17,13,19956
17,18,4220
17,21,29634
17,22,14859
17,23,21860
17,25,1760
18,3,20006
18,5,20010
18,12,22486
18,13,20058
18,18,4264
18,21,29575
18,22,14607
18,23,22387
18,25,1932
19,3,20673
19,5,19795
19,12,21546
19,13,19933
19,18,4556
19,21,29506
19,22,14635
19,23,22435
19,25,1938
20,3,20324
20,5,19739
20,12,21449
20,13,19628
20,18,4307
20,21,29613
20,22,14547
20,23,22074
20,25,1686
21,3,19797
21,5,19735
21,12,21226
21,13,19777
21,18,4387
21,21,29607
21,22,14472
21,23,22327
21,25,1700
22,3,21065
22,5,19933
22,12,21597
22,13,20048
22,18,4333
22,21,29631
22,22,14645
22,23,22462
22,25,1608
23,3,20289
23,5,19513
23,12,21357
23,13,19834
23,18,4125
23,21,29544
23,22,14926
23,23,21866
23,25,1730
24,3,20617
24,5,19948
24,12,21871
24,13,19967
24,18,4368
24,21,29637
24,22,14699
24,23,22429
24,25,1598
25,3,20307
25,5,19602
25,12,21781
25,13,19848
25,18,4599
25,21,29622
