iteration_number,party_number,lowest_samples
1,3,20381
1,5,20139
1,12,21350
1,13,20080
1,18,4288
1,21,29756
1,22,14743
1,23,22036
1,25,1638
2,3,21015
2,5,20354
2,12,22517
2,13,20014
2,18,4238
2,21,29551
2,22,14937
2,23,22871
2,25,1508
3,3,20331
3,5,20497
3,12,21985
3,13,19795
3,18,4427
3,21,29594
3,22,14837
3,23,22408
3,25,1836
4,3,20251
4,5,20160
4,12,22184
4,13,19860
4,18,4365
4,21,29498
4,22,14680
4,23,22333
4,25,1501
5,3,20238
5,5,19688
5,12,21633
5,13,19794
5,18,4456
5,21,29585
5,22,14541
5,23,22181
5,25,1626
6,3,19981
6,5,19416
6,12,13715
6,13,19715
6,18,4477
6,21,29614
6,22,14712
6,23,14371
6,25,1582
7,3,19971
7,5,20027
7,12,21870
7,13,19914
7,18,4566
7,21,29582
7,22,14697
7,23,22301
7,25,1891
8,3,20794
8,5,20401
8,12,21811
8,13,19848
8,18,4281
8,21,29695
8,22,14657
8,23,22605
8,25,1805
9,3,21079
9,5,20015
9,12,21923
9,13,20033
9,18,4363
9,21,29562
9,22,14894
9,23,22508
9,25,1765
10,3,22094
10,5,20034
10,12,22676
10,13,19801
10,18,4782
10,21,29641
10,22,14730
10,23,22696
10,25,1883
11,3,21163
11,5,20723
11,12,22486
11,13,20035
11,18,4690
11,21,29647
11,22,14835
11,23,22879
11,25,1813
12,3,20884
12,5,19916
12,12,21886
12,13,19736
12,18,4266
12,21,29581
12,22,14719
12,23,22564
12,25,1542
13,3,21002
13,5,19725
13,12,21965
13,13,19854
13,18,4192
13,21,29673
13,22,14661
13,23,22368
13,25,1703
14,3,20408
14,5,20155
14,12,21945
14,13,19791
14,18,4187
14,21,29555
14,22,14914
14,23,22018
14,25,1909
15,3,21059
15,5,20193
15,12,22089
15,13,19639
15,18,4435
15,21,29727
15,22,14538
15,23,22926
15,25,1795
16,3,20254
16,5,19873
16,12,21672
16,13,19870
16,18,4357
16,21,29608
16,22,14946
16,23,22117
16,25,1723
17,3,20937
17,5,20534
17,12,22762
17,13,19824
17,18,4529
17,21,29565
17,22,14823
17,23,22789
17,25,1341
18,3,21538
18,5,20748
18,12,22682
18,13,19790
18,18,4278
18,21,29642
18,22,14587
18,23,22818
18,25,1985
19,3,22469
19,5,22469
19,12,22469
19,13,19734
19,18,3963
19,21,29636
19,22,14693
19,23,23242
19,25,2116
20,3,20708
20,5,20641
20,12,22430
20,13,20060
20,18,4293
20,21,29582
20,22,14870
20,23,22735
20,25,1678
21,3,19717
21,5,19646
21,12,21102
21,13,19887
21,18,4383
21,21,29570
21,22,14691
21,23,21514
21,25,1497
22,3,20402
22,5,19972
22,12,21864
22,13,19764
22,18,4533
22,21,29564
22,22,14690
22,23,22426
22,25,1554
23,3,20810
23,5,20537
23,12,21958
23,13,19733
23,18,4505
23,21,29619
23,22,14766
23,23,22629
23,25,1500
24,3,20290
24,5,19995
24,12,22261
24,13,20020
24,18,4340
24,21,29525
24,22,14771
24,23,22571
24,25,1789
25,3,20789
25,5,19967
25,12,22388
25,13,19960
25,18,4625
25,21,29615
25,22,14458
25,23,22882
25,25,1836
26,3,20081
26,5,19707
26,12,21441
26,13,19777
26,18,4650
26,21,29602
26,22,14664
26,23,22252
26,25,1891
27,3,21040
27,5,20486
27,12,21869
27,13,19751
27,18,4380
27,21,29546
27,22,14594
27,23,22938
27,25,1872
