iteration_number,party_number,lowest_samples
1,2,3416
1,5,3650
1,6,3914
1,8,12508
1,10,767
1,11,1330
1,12,2378
1,17,3483
1,23,12118
1,26,9611
2,2,3525
2,5,3194
2,6,3452
2,8,12738
2,10,289
2,11,822
2,12,2242
2,17,3978
2,23,12051
2,26,9621
3,2,3328
3,5,3765
3,6,3380
3,8,12346
3,10,456
3,11,168
3,12,1805
3,17,3781
3,23,12102
3,26,9852
4,2,3850
4,5,3686
4,6,2596
4,8,12204
4,10,3163
4,11,668
4,12,2072
4,17,320
4,23,12296
4,26,9610
5,2,4145
5,5,3301
5,6,2662
5,8,12321
5,10,653
5,11,751
5,12,2320
5,17,3446
5,23,12280
5,26,9739
6,2,4344
6,5,2206
6,6,2206
6,8,12576
6,10,218
6,11,245
6,12,1680
6,17,2206
6,23,12028
6,26,9493
7,2,3237
7,5,4037
7,6,3449
7,8,12539
7,10,311
7,11,1003
7,12,1533
7,17,3262
7,23,12109
7,26,9594
8,2,3588
8,5,3159
8,6,3009
8,8,12527
8,10,96
8,11,226
8,12,1471
8,17,3933
8,23,12087
8,26,9375
9,2,4481
9,5,2986
9,6,2951
9,8,12598
9,10,296
9,11,376
9,12,1830
9,17,3055
9,23,12259
9,26,10274
10,2,3887
10,5,3657
10,6,3393
10,8,12172
10,10,744
10,11,463
10,12,2310
10,17,3659
10,23,12021
10,26,9956
11,2,2562
11,5,3950
11,6,2557
11,8,12634
11,10,136
11,11,550
11,12,1877
11,17,2562
11,23,12052
11,26,9831
12,2,3378
12,5,3391
12,6,4126
12,8,12628
12,10,435
12,11,1192
12,12,1841
12,17,3510
12,23,12144
12,26,10149
13,2,3254
13,5,3389
13,6,3240
13,8,12321
13,10,691
13,11,546
13,12,1980
13,17,4094
13,23,12261
13,26,9748
14,2,3872
14,5,3669
14,6,3020
14,8,12433
14,10,895
14,11,858
14,12,2240
14,17,3574
14,23,12103
14,26,9968
15,2,4059
15,5,3435
15,6,2996
15,8,12351
15,10,464
15,11,566
15,12,2367
15,17,3534
15,23,12289
15,26,9869
16,2,3773
16,5,3542
16,6,3561
16,8,12471
16,10,206
16,11,74
16,12,1934
16,17,3769
16,23,12101
16,26,9770
17,2,3820
17,5,3729
17,6,3552
17,8,12608
17,10,666
17,11,784
17,12,2364
17,17,3574
17,23,12338
17,26,9739
18,2,4224
18,5,1314
18,6,1315
18,8,12720
18,10,129
18,11,334
18,12,1315
18,17,1315
18,23,12389
18,26,9693
19,2,3696
19,5,3842
19,6,3103
19,8,12449
19,10,525
19,11,566
19,12,2131
19,17,3146
19,23,12229
19,26,9759
20,2,109
20,5,2072
20,6,109
20,8,12387
20,10,4
20,11,109
20,12,109
20,17,109
20,23,12237
20,26,10117
21,2,3983
21,5,2551
21,6,2551
21,8,12563
21,10,2551
21,11,752
21,12,2076
21,17,31
21,23,12168
21,26,9603
22,2,3713
22,5,3142
22,6,3599
22,8,12471
22,10,419
22,11,538
22,12,1849
22,17,3827
22,23,12121
22,26,9834
23,2,3956
23,5,3597
23,6,3138
23,8,12400
23,10,437
23,11,1154
23,12,1890
23,17,3436
23,23,12158
23,26,9631
24,2,3709
24,5,3586
24,6,2
24,8,12325
24,10,3820
24,11,443
24,12,1887
24,17,3478
24,23,12081
24,26,9844
25,2,3446
25,5,3914
25,6,3604
25,8,12706
25,10,769
25,11,693
25,12,2222
25,17,3285
25,23,12264
25,26,9993
26,2,3841
26,5,3485
26,6,3422
26,8,12280
26,10,444
26,11,1356
26,12,2158
26,17,3722
26,23,12518
26,26,9723
27,2,228
27,5,3920
27,6,3151
27,8,12740
27,10,3662
27,11,181
27,12,2117
27,17,3535
27,23,12109
27,26,9872
28,2,3472
28,5,3649
28,6,3921
28,8,12632
28,10,550
