iteration_number,party_number,lowest_samples
1,6,2210
1,10,2499
1,11,8868
1,14,2698
1,16,6288
1,18,1806
1,19,3924
1,20,2397
2,6,2237
2,10,3181
2,11,8857
2,14,2486
2,16,6265
2,18,1980
2,19,3151
2,20,2698
3,6,1768
3,10,2414
3,11,8525
3,14,2137
3,16,6523
3,18,1500
3,19,4315
3,20,2066
4,6,1619
4,10,2309
4,11,8531
4,14,2480
4,16,6425
4,18,1028
4,19,4270
4,20,2125
5,6,2001
5,10,2728
5,11,8397
5,14,2305
5,16,6467
5,18,1253
5,19,3816
5,20,2134
6,6,1687
6,10,2226
6,11,8475
6,14,2490
6,16,6391
6,18,1298
6,19,4264
6,20,2238
7,6,2743
7,10,2990
7,11,8586
7,14,3152
7,16,6306
7,18,1549
7,19,3206
7,20,2596
8,6,793
8,10,1593
8,11,8750
8,14,1490
8,16,6344
8,18,640
8,19,5496
8,20,1233
9,6,2128
9,10,2697
9,11,8926
9,14,2389
9,16,6373
9,18,1673
9,19,3881
9,20,2499
10,6,2151
10,10,3276
10,11,8683
10,14,2620
10,16,6252
10,18,1707
10,19,2986
10,20,2722
11,6,1428
11,10,2522
11,11,8467
11,14,2489
11,16,6314
11,18,984
11,19,4098
11,20,1963
12,6,1428
12,10,1942
12,11,8598
12,14,2032
12,16,6396
12,18,984
12,19,4989
12,20,1602
13,6,1737
13,10,2132
13,11,8564
13,14,1762
13,16,6306
13,18,519
13,19,4707
13,20,2000
14,6,365
14,10,365
14,11,8838
14,14,365
14,16,6477
14,18,45
14,19,5737
14,20,365
15,6,1532
15,10,1918
15,11,8356
15,14,1814
15,16,6040
15,18,322
15,19,5036
15,20,1679
16,6,1549
16,10,1835
16,11,8585
16,14,1666
16,16,6338
16,18,947
16,19,5150
16,20,1281
17,6,1867
17,10,2651
17,11,8539
17,14,2454
17,16,6461
17,18,1425
17,19,3917
17,20,2018
18,6,1905
18,10,2085
18,11,8607
18,14,2423
18,16,6606
18,18,1712
18,19,4373
18,20,1926
19,6,1465
19,10,2320
19,11,9040
19,14,2204
19,16,6365
19,18,1329
19,19,4441
19,20,2238
20,6,1138
20,10,1841
20,11,8612
20,14,1779
20,16,6461
20,18,523
20,19,5110
20,20,1832
21,6,2407
21,10,2994
21,11,8507
21,14,2919
21,16,6597
21,18,1812
21,19,3424
21,20,2466
22,6,2009
22,10,2789
22,11,8579
22,14,2405
22,16,6511
22,18,1255
22,19,3713
22,20,2209
23,6,1878
23,10,2279
23,11,8789
23,14,2107
23,16,6533
23,18,2141
23,19,4502
23,20,2123
24,6,2352
24,10,2860
24,11,8668
24,14,2789
24,16,6467
24,18,2340
24,19,3592
24,20,2878
25,6,1767
25,10,3136
25,11,8738
25,14,2238
25,16,6492
25,18,1889
25,19,3223
25,20,2181
26,6,1737
26,10,2340
26,11,8454
26,14,2499
26,16,6483
26,18,1514
26,19,4218
26,20,2425
27,6,1141
27,10,2122
27,11,8653
27,14,1632
27,16,6405
27,18,755
27,19,4730
27,20,1605
28,6,2120
28,10,2455
28,11,8865
28,14,2319
28,16,6425
28,18,1501
28,19,4047
28,20,2565
29,6,2158
29,10,2313
29,11,8622
29,14,2305
29,16,6273
29,18,961
29,19,4298
29,20,2415
30,6,1975
30,10,2939
30,11,8776
30,14,2269
30,16,6607
30,18,1531
30,19,3508
30,20,2256
31,6,1889
31,10,2717
31,11,8687
31,14,3047
31,16,6103
31,18,1495
31,19,3313
31,20,2668
32,6,1376
32,10,2551
32,11,8739
32,14,2287
32,16,6358
32,18,1224
32,19,4115
32,20,1895
33,6,1187
33,10,1803
33,11,8603
33,14,1306
33,16,6315
33,18,516
33,19,4721
33,20,2118
34,6,1805
34,10,2538
34,11,8647
34,14,2340
34,16,6408
34,18,1372
34,19,4102
34,20,2113
35,6,2030
35,10,2075
35,11,8364
35,14,1843
35,16,6359
35,18,1523
35,19,4765
35,20,1946
36,6,1617
36,10,2260
36,11,8546
36,14,2332
36,16,6320
36,18,690
36,19,4520
36,20,1925
37,6,1768
37,10,2109
37,11,8634
37,14,2344
37,16,6192
37,18,1052
37,19,4480
37,20,1958
38,6,1927
38,10,2230
38,11,8669
38,14,2494
38,16,6566
38,18,1753
38,19,4219
38,20,2108
39,6,1804
39,10,1805
39,11,8811
39,14,2199
39,16,6420
39,18,1649
39,19,4735
39,20,1910
40,6,1813
40,10,2784
40,11,8761
40,14,2327
40,16,6518
40,18,1434
40,19,3726
40,20,2652
41,6,1749
41,10,2214
41,11,8987
41,14,2166
41,16,6381
41,18,1233
41,19,4577
41,20,1912
42,6,1628
42,10,2532
42,11,8590
42,14,2379
42,16,6351
42,18,924
42,19,4101
42,20,2159
43,6,2213
43,10,2921
43,11,8449
43,14,2707
43,16,6566
43,18,1402
43,19,3526
43,20,2359
44,6,2058
44,10,2361
44,11,8704
44,14,2618
44,16,6380
44,18,1611
44,19,4023
44,20,2569
45,6,2107
45,10,2557
45,11,8808
45,14,2429
45,16,6276
45,18,1040
45,19,4080
45,20,2190
46,6,1741
46,10,2759
46,11,8792
46,14,2256
46,16,6538
46,18,1501
46,19,3754
46,20,2107
47,6,1554
47,10,2388
47,11,8540
47,14,2158
47,16,6189
47,18,1566
47,19,4328
47,20,1856
48,6,1872
48,10,2479
48,11,8623
48,14,2468
48,16,6611
48,18,792
48,19,4181
48,20,2000
49,6,2049
49,10,2456
49,11,8550
49,14,2219
49,16,6543
49,18,947
49,19,4194
49,20,2080
50,6,1689
50,10,2307
50,11,8893
50,14,1979
50,16,6319
50,18,1114
50,19,4443
50,20,2000
51,6,1841
