iteration_number,party_number,lowest_samples
1,1,7921
1,2,7921
1,3,7921
1,4,7921
1,5,3103
1,6,7921
1,7,4075
1,8,4203
1,9,7921
1,10,1941
1,11,7921
1,12,7921
1,13,1419
1,14,7921
1,15,3425
1,16,7921
1,17,801
1,18,756
2,1,6760
2,2,6760
2,3,6760
2,4,6760
2,5,2709
2,6,6760
2,7,3817
2,8,4170
2,9,6760
2,10,1994
2,11,6760
2,12,6760
2,13,1245
2,14,6760
2,15,3837
2,16,6760
2,17,1352
2,18,954
3,1,7842
3,2,7842
3,3,7842
3,4,7842
3,5,2551
3,6,7842
3,7,4305
3,8,4138
3,9,7842
3,10,1755
3,11,7842
3,12,7842
3,13,647
3,14,7842
3,15,4018
3,16,7842
3,17,1386
3,18,718
4,1,6280
4,2,6280
4,3,6280
4,4,6280
4,5,954
4,6,6280
4,7,4252
4,8,3972
4,9,6280
4,10,954
4,11,6280
4,12,6280
4,13,954
4,14,6280
4,15,1105
4,16,6280
4,17,700
4,18,50
5,1,2421
5,2,2421
5,3,2421
5,4,2421
5,5,1882
5,6,2421
5,7,2421
5,8,2421
5,9,2421
5,10,1882
5,11,2421
5,12,2421
5,13,965
5,14,2421
5,15,2421
5,16,2421
5,17,364
5,18,150
6,1,12965
6,2,12965
6,3,12965
6,4,12965
6,5,2453
6,6,12965
6,7,3947
6,8,4450
6,9,12965
6,10,1398
6,11,12965
6,12,12965
6,13,1265
6,14,12965
6,15,4121
6,16,12965
6,17,690
6,18,297
7,1,7165
7,2,7165
7,3,7165
7,4,7165
7,5,2648
7,6,7165
7,7,4301
7,8,4202
7,9,7165
7,10,1762
7,11,7165
7,12,7165
7,13,949
7,14,7165
7,15,3915
7,16,7165
7,17,965
7,18,456
8,1,4465
8,2,4465
8,3,4465
8,4,4465
8,5,3045
8,6,4465
8,7,4036
8,8,4068
8,9,4465
8,10,1867
8,11,4465
8,12,4465
8,13,1020
8,14,4465
8,15,3484
8,16,4465
8,17,339
8,18,371
9,1,10773
9,2,10773
9,3,10773
9,4,10773
9,5,2607
9,6,10773
9,7,3998
9,8,4270
9,9,10773
9,10,1608
9,11,10773
9,12,10773
9,13,1347
9,14,10773
9,15,3944
9,16,10773
9,17,919
9,18,455
10,1,4741
10,2,4741
10,3,4741
10,4,4741
10,5,541
10,6,4741
10,7,4143
10,8,4068
10,9,4741
10,10,541
10,11,4741
10,12,4741
10,13,541
10,14,4741
10,15,136
10,16,4741
10,17,4735
10,18,100
11,1,3984
11,2,3984
11,3,3984
11,4,3984
11,5,2751
11,6,3984
11,7,3984
11,8,3952
11,9,3984
11,10,1819
11,11,3984
11,12,3984
11,13,649
11,14,3984
11,15,3638
11,16,3984
11,17,706
11,18,222
12,1,5915
12,2,5915
12,3,5915
12,4,5915
12,5,2526
12,6,5915
12,7,4078
12,8,4002
12,9,5915
12,10,1821
12,11,5915
12,12,5915
12,13,1221
12,14,5915
12,15,158
12,16,5915
12,17,735
12,18,3911
13,1,10029
13,2,10029
13,3,10029
13,4,10029
13,5,3100
13,6,10029
13,7,3896
13,8,3914
13,9,10029
13,10,2019
13,11,10029
13,12,10029
13,13,1653
13,14,10029
13,15,3411
13,16,10029
13,17,1818
13,18,973
14,1,7960
14,2,7960
14,3,7960
14,4,7960
14,5,1471
14,6,7960
14,7,4367
14,8,4078
14,9,7960
14,10,1471
14,11,7960
14,12,7960
14,13,1018
14,14,7960
14,15,3881
14,16,7960
14,17,642
14,18,112
15,1,7284
15,2,7284
15,3,7284
15,4,7284
15,5,1349
15,6,7284
15,7,3843
15,8,4179
15,9,7284
15,10,1337
15,11,7284
15,12,7284
15,13,883
15,14,7284
15,15,260
15,16,7284
15,17,5624
15,18,298
16,1,6736
16,2,6736
16,3,6736
16,4,6736
16,5,2886
16,6,6736
16,7,4157
16,8,3894
16,9,6736
16,10,1922
16,11,6736
16,12,6736
16,13,974
16,14,6736
16,15,3639
16,16,6736
16,17,1466
16,18,659
17,1,17258
17,2,17258
17,3,17258
17,4,17258
17,5,2213
17,6,15774
17,7,4092
17,8,4045
17,9,17258
17,10,1002
17,11,17258
17,12,17258
17,13,1029
17,14,17258
17,15,213
17,16,17258
17,17,77
17,18,4198
18,1,7334
18,2,7334
18,3,7334
18,4,7334
18,5,3246
18,6,7334
18,7,3942
18,8,4308
18,9,7334
18,10,2006
18,11,7334
18,12,7334
18,13,1496
18,14,7334
18,15,3259
18,16,7334
18,17,1140
18,18,509
19,1,13049
19,2,13049
19,3,13049
19,4,13049
19,5,3720
19,6,13049
19,7,4090
19,8,4178
19,9,13049
19,10,1486
19,11,13049
19,12,13049
19,13,810
19,14,13049
19,15,411
19,16,13049
19,17,1055
19,18,2832
20,1,10221
20,2,10221
20,3,10221
20,4,10221
20,5,2843
20,6,10221
20,7,4112
20,8,3997
20,9,10221
20,10,1598
20,11,10221
20,12,10221
20,13,1098
20,14,10221
20,15,3699
20,16,10221
20,17,850
20,18,378
21,1,8787
21,2,8787
21,3,8787
21,4,8787
21,5,1183
21,6,8787
21,7,4139
21,8,3798
21,9,8787
21,10,1183
21,11,8787
21,12,8787
21,13,1068
21,14,8787
21,15,4270
21,16,8787
21,17,272
21,18,99
22,1,6662
22,2,6662
22,3,6662
22,4,6662
22,5,2534
22,6,6662
22,7,3925
22,8,4310
22,9,6662
22,10,1746
22,11,6662
22,12,6662
22,13,890
22,14,6662
22,15,4018
22,16,6662
22,17,854
22,18,634
23,1,4469
23,2,4469
23,3,4469
23,4,4469
23,5,2725
23,6,4469
23,7,4079
23,8,4210
23,9,4469
23,10,2029
23,11,4469
23,12,4469
23,13,1242
23,14,4469
23,15,3826
23,16,4469
23,17,1441
23,18,601
24,1,7725
24,2,7725
24,3,7725
24,4,7725
24,5,2285
24,6,7725
24,7,3911
24,8,3990
24,9,7725
24,10,1636
24,11,7725
24,12,7725
24,13,1228
24,14,7725
24,15,3607
24,16,7725
24,17,301
24,18,172
25,1,12791
25,2,12791
25,3,12791
25,4,12791
25,5,2693
25,6,12791
25,7,4163
25,8,4155
25,9,12791
25,10,1542
25,11,12791
25,12,12791
25,13,1032
25,14,12791
25,15,3853
25,16,12791
25,17,1691
25,18,282
26,1,9435
26,2,9435
26,3,9435
26,4,9435
26,5,2704
26,6,9435
26,7,4279
26,8,4676
26,9,9435
26,10,1621
26,11,9435
26,12,9435
26,13,1323
26,14,9435
26,15,3851
26,16,9435
26,17,294
26,18,238
27,1,13816
27,2,13816
27,3,13816
27,4,13816
27,5,2387
27,6,13816
27,7,3928
27,8,3908
27,9,13816
27,10,1323
27,11,13816
27,12,13816
27,13,1012
27,14,13816
27,15,216
27,16,13816
27,17,1145
27,18,4032
28,1,5790
28,2,5790
28,3,5790
28,4,5790
28,5,1367
28,6,5790
28,7,4012
28,8,4001
28,9,5790
28,10,1367
28,11,5790
28,12,5790
28,13,1087
28,14,5790
28,15,499
28,16,5790
28,17,5037
28,18,310
29,1,9383
29,2,9383
29,3,9383
29,4,9383
29,5,2940
29,6,9383
29,7,4179
29,8,4357
29,9,9383
29,10,1716
29,11,9383
29,12,9383
29,13,1693
29,14,9383
29,15,3601
29,16,9383
29,17,203
29,18,280
30,1,8035
30,2,8035
30,3,8035
30,4,8035
30,5,2666
30,6,8035
30,7,4057
30,8,3889
30,9,8035
30,10,1899
30,11,8035
30,12,8035
30,13,1489
30,14,8035
30,15,3879
30,16,8035
30,17,1651
30,18,513
31,1,10696
31,2,10696
31,3,10696
31,4,10696
31,5,373
31,6,10696
31,7,4088
31,8,3985
31,9,10696
31,10,373
31,11,10696
31,12,10696
31,13,373
31,14,10696
31,15,3580
31,16,10696
31,17,373
31,18,37
32,1,10150
32,2,10150
32,3,10150
32,4,10150
32,5,3108
32,6,10150
32,7,3796
32,8,4292
32,9,10150
32,10,1863
32,11,10150
32,12,10150
32,13,1279
32,14,10150
32,15,3408
32,16,10150
32,17,1504
32,18,579
33,1,6895
33,2,6895
33,3,6895
33,4,6895
33,5,2743
33,6,6895
33,7,4237
33,8,3972
33,9,6895
33,10,1752
33,11,6895
33,12,6895
33,13,1093
33,14,6895
33,15,273
33,16,6895
33,17,536
33,18,3707
34,1,6521
34,2,6521
34,3,6521
34,4,6521
34,5,3128
34,6,6521
34,7,4346
34,8,3611
34,9,6521
34,10,1863
34,11,6521
34,12,6521
34,13,1351
34,14,6521
34,15,3389
34,16,6521
34,17,685
34,18,259
35,1,7780
35,2,7780
35,3,7780
35,4,7780
35,5,2809
35,6,7780
35,7,4108
35,8,4123
35,9,7780
35,10,1980
35,11,7780
35,12,7780
35,13,1366
35,14,7780
35,15,3731
35,16,7780
35,17,1630
35,18,623
36,1,7383
36,2,7383
36,3,7383
36,4,7383
36,5,2558
36,6,7383
36,7,3696
36,8,4128
36,9,7383
36,10,1798
36,11,7383
36,12,7383
36,13,1563
36,14,7383
36,15,3999
36,16,7383
36,17,654
36,18,599
37,1,2612
37,2,2612
37,3,2612
37,4,2612
37,5,2612
37,6,2612
37,7,2612
37,8,2612
37,9,2612
37,10,2141
37,11,2612
37,12,2612
37,13,1127
37,14,2612
37,15,2612
37,16,2612
37,17,1311
37,18,566
38,1,9017
38,2,9017
38,3,9017
38,4,9017
38,5,295
38,6,9017
38,7,4008
38,8,4010
38,9,9017
38,10,1466
38,11,9017
38,12,9017
38,13,1192
38,14,9017
38,15,1466
38,16,9017
38,17,4276
38,18,409
39,1,9373
39,2,9373
39,3,9373
39,4,9373
39,5,2076
39,6,9373
39,7,4320
39,8,3590
39,9,9373
39,10,1401
39,11,9373
39,12,9373
39,13,921
39,14,9373
39,15,4296
39,16,9373
39,17,352
39,18,164
40,1,8569
40,2,8569
40,3,8569
40,4,8569
40,5,1911
40,6,8569
40,7,3996
40,8,4167
40,9,8569
40,10,1742
40,11,8569
40,12,8569
40,13,1473
40,14,8569
40,15,3852
40,16,8569
40,17,1118
40,18,146
41,1,14113
41,2,14113
41,3,14113
41,4,14113
41,5,3137
41,6,14113
41,7,3985
41,8,3935
41,9,14113
41,10,1587
41,11,14113
41,12,14113
41,13,1584
41,14,14113
41,15,3376
41,16,14113
41,17,1301
41,18,321
42,1,12501
42,2,12501
42,3,12501
42,4,12501
42,5,3320
42,6,12501
42,7,4029
42,8,4265
42,9,12501
42,10,1713
42,11,12501
42,12,12501
42,13,1610
42,14,12501
42,15,3169
42,16,12501
42,17,1604
42,18,174
43,1,11798
43,2,11798
43,3,11798
43,4,11798
43,5,2484
43,6,11798
43,7,4162
43,8,4307
43,9,11798
43,10,1542
43,11,11798
43,12,11798
43,13,1302
43,14,11798
43,15,4084
43,16,11798
43,17,1101
43,18,360
44,1,6510
44,2,6510
44,3,6510
44,4,6510
44,5,3120
44,6,6510
44,7,4320
44,8,4372
44,9,6510
44,10,2065
44,11,6510
44,12,6510
44,13,1131
44,14,6510
44,15,3394
44,16,6510
44,17,1881
44,18,651
45,1,9190
45,2,9190
45,3,9190
45,4,9190
45,5,2732
45,6,9190
45,7,4353
45,8,4180
45,9,9190
45,10,1741
45,11,9190
45,12,9190
45,13,1393
45,14,9190
45,15,3813
45,16,9190
45,17,1012
45,18,443
46,1,13495
46,2,13495
46,3,13495
46,4,13495
46,5,2646
46,6,13495
46,7,4084
46,8,3859
46,9,13495
46,10,1413
46,11,13495
46,12,13495
46,13,1051
46,14,13495
46,15,166
46,16,13495
46,17,1305
46,18,3795
47,1,7223
47,2,7223
47,3,7223
47,4,7223
47,5,3066
47,6,7223
47,7,4269
47,8,4177
47,9,7223
47,10,2240
47,11,7223
47,12,7223
47,13,1837
47,14,7223
47,15,3461
47,16,7223
47,17,2110
47,18,785
48,1,11064
48,2,11064
48,3,11064
48,4,11064
48,5,3269
48,6,11064
48,7,4227
48,8,4321
48,9,11064
48,10,1715
48,11,11064
48,12,11064
48,13,1400
48,14,11064
48,15,3244
48,16,11064
48,17,972
48,18,335
49,1,7150
49,2,7150
49,3,7150
49,4,7150
49,5,3139
49,6,7150
49,7,4482
49,8,4194
49,9,7150
49,10,1886
49,11,7150
49,12,7150
49,13,1456
49,14,7150
49,15,3388
49,16,7150
49,17,533
49,18,400
50,1,9668
50,2,9668
50,3,9668
50,4,9668
50,5,2853
50,6,9668
50,7,4090
50,8,3917
50,9,9668
50,10,1804
50,11,9668
50,12,9668
50,13,1266
50,14,9668
50,15,556
50,16,9668
50,17,1196
50,18,3617
51,1,2456
51,2,2456
51,3,2456
51,4,2456
51,5,2456
51,6,2456
51,7,2456
51,8,2456
51,9,2456
51,10,2109
51,11,2456
51,12,2456
51,13,1272
51,14,2456
51,15,260
51,16,2456
51,17,590
51,18,2456
52,1,8964
52,2,8964
52,3,8964
