iteration_number,party_number,lowest_samples
1,1,7921
1,2,7921
1,3,7921
1,4,7921
1,6,7921
1,9,7921
1,11,7921
1,12,7921
1,14,7921
1,16,7921
2,1,6760
2,2,6760
2,3,6760
2,4,6760
2,6,6760
2,9,6760
2,11,6760
2,12,6760
2,14,6760
2,16,6760
3,1,7842
3,2,7842
3,3,7842
3,4,7842
3,6,7842
3,9,7842
3,11,7842
3,12,7842
3,14,7842
3,16,7842
4,1,6280
4,2,6280
4,3,6280
4,4,6280
4,6,6280
4,9,6280
4,11,6280
4,12,6280
4,14,6280
4,16,6280
5,1,2421
5,2,2421
5,3,2421
5,4,2421
5,6,2421
5,9,2421
5,11,2421
5,12,2421
5,14,2421
5,16,2421
6,1,12965
6,2,12965
6,3,12965
6,4,12965
6,6,12965
6,9,12965
6,11,12965
6,12,12965
6,14,12965
6,16,12965
7,1,7165
7,2,7165
7,3,7165
7,4,7165
7,6,7165
7,9,7165
7,11,7165
7,12,7165
7,14,7165
7,16,7165
8,1,4465
8,2,4465
8,3,4465
8,4,4465
8,6,4465
8,9,4465
8,11,4465
8,12,4465
8,14,4465
8,16,4465
9,1,10773
9,2,10773
9,3,10773
9,4,10773
9,6,10773
9,9,10773
9,11,10773
9,12,10773
9,14,10773
9,16,10773
10,1,4741
10,2,4741
10,3,4741
10,4,4741
10,6,4741
10,9,4741
10,11,4741
10,12,4741
10,14,4741
10,16,4741
11,1,3984
11,2,3984
11,3,3984
11,4,3984
11,6,3984
11,9,3984
11,11,3984
11,12,3984
11,14,3984
11,16,3984
12,1,5915
12,2,5915
12,3,5915
12,4,5915
12,6,5915
12,9,5915
12,11,5915
12,12,5915
12,14,5915
12,16,5915
13,1,10029
13,2,10029
13,3,10029
13,4,10029
13,6,10029
13,9,10029
13,11,10029
13,12,10029
13,14,10029
13,16,10029
14,1,7960
14,2,7960
14,3,7960
14,4,7960
14,6,7960
14,9,7960
14,11,7960
14,12,7960
14,14,7960
14,16,7960
15,1,7284
15,2,7284
15,3,7284
15,4,7284
15,6,7284
15,9,7284
15,11,7284
15,12,7284
15,14,7284
15,16,7284
16,1,6736
16,2,6736
16,3,6736
16,4,6736
16,6,6736
16,9,6736
16,11,6736
16,12,6736
16,14,6736
16,16,6736
17,1,17258
17,2,17258
17,3,17258
17,4,17258
17,6,15774
17,9,17258
17,11,17258
17,12,17258
17,14,17258
17,16,17258
18,1,7334
18,2,7334
18,3,7334
18,4,7334
18,6,7334
18,9,7334
18,11,7334
18,12,7334
18,14,7334
18,16,7334
19,1,13049
19,2,13049
19,3,13049
19,4,13049
19,6,13049
19,9,13049
19,11,13049
19,12,13049
19,14,13049
19,16,13049
20,1,10221
20,2,10221
20,3,10221
20,4,10221
20,6,10221
20,9,10221
20,11,10221
20,12,10221
20,14,10221
20,16,10221
21,1,8787
21,2,8787
21,3,8787
21,4,8787
21,6,8787
21,9,8787
21,11,8787
21,12,8787
21,14,8787
21,16,8787
22,1,6662
22,2,6662
22,3,6662
22,4,6662
22,6,6662
22,9,6662
22,11,6662
22,12,6662
22,14,6662
22,16,6662
23,1,4469
23,2,4469
23,3,4469
23,4,4469
23,6,4469
23,9,4469
23,11,4469
23,12,4469
23,14,4469
23,16,4469
24,1,7725
24,2,7725
24,3,7725
24,4,7725
24,6,7725
24,9,7725
24,11,7725
24,12,7725
24,14,7725
24,16,7725
25,1,12791
25,2,12791
25,3,12791
25,4,12791
25,6,12791
25,9,12791
25,11,12791
25,12,12791
25,14,12791
25,16,12791
26,1,9435
26,2,9435
26,3,9435
26,4,9435
26,6,9435
26,9,9435
26,11,9435
26,12,9435
26,14,9435
26,16,9435
27,1,13816
27,2,13816
27,3,13816
27,4,13816
27,6,13816
27,9,13816
27,11,13816
27,12,13816
27,14,13816
27,16,13816
28,1,5790
28,2,5790
28,3,5790
28,4,5790
28,6,5790
28,9,5790
28,11,5790
28,12,5790
28,14,5790
28,16,5790
29,1,9383
29,2,9383
29,3,9383
29,4,9383
29,6,9383
29,9,9383
29,11,9383
29,12,9383
29,14,9383
29,16,9383
30,1,8035
30,2,8035
30,3,8035
30,4,8035
30,6,8035
30,9,8035
30,11,8035
30,12,8035
30,14,8035
30,16,8035
31,1,10696
31,2,10696
31,3,10696
31,4,10696
31,6,10696
31,9,10696
31,11,10696
31,12,10696
31,14,10696
31,16,10696
32,1,10150
32,2,10150
32,3,10150
32,4,10150
32,6,10150
32,9,10150
32,11,10150
32,12,10150
32,14,10150
32,16,10150
33,1,6895
33,2,6895
33,3,6895
33,4,6895
33,6,6895
33,9,6895
33,11,6895
33,12,6895
33,14,6895
33,16,6895
34,1,6521
34,2,6521
34,3,6521
34,4,6521
34,6,6521
34,9,6521
34,11,6521
34,12,6521
34,14,6521
34,16,6521
35,1,7780
35,2,7780
35,3,7780
35,4,7780
35,6,7780
35,9,7780
35,11,7780
35,12,7780
35,14,7780
35,16,7780
36,1,7383
36,2,7383
36,3,7383
36,4,7383
36,6,7383
36,9,7383
36,11,7383
36,12,7383
36,14,7383
36,16,7383
37,1,2612
37,2,2612
37,3,2612
37,4,2612
37,6,2612
37,9,2612
37,11,2612
37,12,2612
37,14,2612
37,16,2612
38,1,9017
38,2,9017
38,3,9017
38,4,9017
38,6,9017
38,9,9017
38,11,9017
38,12,9017
38,14,9017
38,16,9017
39,1,9373
39,2,9373
39,3,9373
39,4,9373
39,6,9373
39,9,9373
39,11,9373
39,12,9373
39,14,9373
39,16,9373
40,1,8569
40,2,8569
40,3,8569
40,4,8569
40,6,8569
40,9,8569
40,11,8569
40,12,8569
40,14,8569
40,16,8569
41,1,14113
41,2,14113
41,3,14113
41,4,14113
41,6,14113
41,9,14113
41,11,14113
41,12,14113
41,14,14113
41,16,14113
42,1,12501
42,2,12501
42,3,12501
42,4,12501
42,6,12501
42,9,12501
42,11,12501
42,12,12501
42,14,12501
42,16,12501
43,1,11798
43,2,11798
43,3,11798
43,4,11798
43,6,11798
43,9,11798
43,11,11798
43,12,11798
43,14,11798
43,16,11798
44,1,6510
44,2,6510
44,3,6510
44,4,6510
44,6,6510
44,9,6510
44,11,6510
44,12,6510
44,14,6510
44,16,6510
45,1,9190
45,2,9190
45,3,9190
45,4,9190
45,6,9190
45,9,9190
45,11,9190
45,12,9190
45,14,9190
45,16,9190
46,1,13495
46,2,13495
46,3,13495
46,4,13495
46,6,13495
46,9,13495
46,11,13495
46,12,13495
46,14,13495
46,16,13495
47,1,7223
47,2,7223
47,3,7223
47,4,7223
47,6,7223
47,9,7223
47,11,7223
47,12,7223
47,14,7223
47,16,7223
48,1,11064
48,2,11064
48,3,11064
48,4,11064
48,6,11064
48,9,11064
48,11,11064
48,12,11064
48,14,11064
48,16,11064
49,1,7150
49,2,7150
49,3,7150
49,4,7150
49,6,7150
49,9,7150
49,11,7150
49,12,7150
49,14,7150
49,16,7150
50,1,9668
50,2,9668
50,3,9668
50,4,9668
50,6,9668
50,9,9668
50,11,9668
50,12,9668
50,14,9668
50,16,9668
51,1,2456
51,2,2456
51,3,2456
51,4,2456
51,6,2456
51,9,2456
51,11,2456
51,12,2456
51,14,2456
51,16,2456
52,1,8964
52,2,8964
52,3,8964
52,4,8964
52,6,8964
52,9,8964
52,11,8964
52,12,8964
52,14,8964
52,16,8964
53,1,8183
53,2,8183
53,3,8183
53,4,8183
53,6,8183
53,9,8183
53,11,8183
53,12,8183
53,14,8183
53,16,8183
54,1,5507
54,2,5507
54,3,5507
54,4,5507
54,6,5507
54,9,5507
54,11,5507
54,12,5507
54,14,5507
54,16,5507
55,1,3112
55,2,3112
55,3,3112
55,4,3112
55,6,3112
55,9,3112
55,11,3112
55,12,3112
55,14,3112
55,16,3112
56,1,8057
56,2,8057
56,3,8057
56,4,8057
56,6,8057
56,9,8057
56,11,8057
56,12,8057
56,14,8057
56,16,8057
57,1,13195
57,2,13195
57,3,13195
57,4,13195
57,6,13195
57,9,13195
57,11,13195
57,12,13195
57,14,13195
57,16,13195
58,1,8950
58,2,8950
58,3,8950
58,4,8950
58,6,8950
58,9,8950
58,11,8950
58,12,8950
58,14,8950
58,16,8950
59,1,2571
59,2,2571
59,3,2571
59,4,2571
59,6,2571
59,9,2571
59,11,2571
59,12,2571
59,14,2571
59,16,2571
60,1,12202
60,2,12202
60,3,12202
60,4,12202
60,6,12202
60,9,12202
60,11,12202
60,12,12202
60,14,12202
60,16,12202
61,1,10425
61,2,10425
61,3,10425
61,4,10425
61,6,10425
61,9,10425
61,11,10425
61,12,10425
61,14,10425
61,16,10425
62,1,28109
62,2,26222
62,3,28823
62,4,27118
62,6,15690
62,9,25459
62,11,28631
62,12,29082
62,14,22307
62,16,29674
63,1,11329
63,2,11329
63,3,11329
63,4,11329
63,6,11329
63,9,11329
63,11,11329
63,12,11329
63,14,11329
63,16,11329
64,1,12111
64,2,12111
64,3,12111
64,4,12111
64,6,12111
64,9,12111
64,11,12111
64,12,12111
64,14,12111
64,16,12111
65,1,11452
65,2,11452
65,3,11452
65,4,11452
65,6,11452
65,9,11452
65,11,11452
65,12,11452
65,14,11452
65,16,11452
66,1,13139
66,2,13139
66,3,13139
66,4,13139
66,6,13139
66,9,13139
66,11,13139
66,12,13139
66,14,13139
66,16,13139
67,1,6875
67,2,6875
67,3,6875
67,4,6875
67,6,6875
67,9,6875
67,11,6875
67,12,6875
67,14,6875
67,16,6875
68,1,8825
68,2,8825
68,3,8825
68,4,8825
68,6,8825
68,9,8825
68,11,8825
68,12,8825
68,14,8825
68,16,8825
69,1,10088
69,2,10088
69,3,10088
69,4,10088
69,6,10088
69,9,10088
69,11,10088
69,12,10088
69,14,10088
69,16,10088
70,1,7558
70,2,7558
70,3,7558
70,4,7558
70,6,7558
70,9,7558
70,11,7558
70,12,7558
70,14,7558
70,16,7558
71,1,9918
71,2,9918
71,3,9918
71,4,9918
71,6,9918
71,9,9918
71,11,9918
71,12,9918
71,14,9918
71,16,9918
72,1,9785
72,2,9785
72,3,9785
72,4,9785
72,6,9785
72,9,9785
72,11,9785
72,12,9785
72,14,9785
72,16,9785
73,1,10043
73,2,10043
73,3,10043
73,4,10043
73,6,10043
73,9,10043
73,11,10043
73,12,10043
73,14,10043
73,16,10043
74,1,12642
74,2,12642
74,3,12642
74,4,12642
74,6,12642
74,9,12642
74,11,12642
74,12,12642
74,14,12642
74,16,12642
75,1,2605
75,2,2605
75,3,2605
75,4,2605
75,6,2605
75,9,2605
75,11,2605
75,12,2605
75,14,2605
75,16,2605
76,1,10780
76,2,10780
76,3,10780
76,4,10780
76,6,10780
76,9,10780
76,11,10780
76,12,10780
76,14,10780
76,16,10780
77,1,14786
77,2,14786
77,3,14786
77,4,14786
77,6,14786
77,9,14786
77,11,14786
77,12,14786
77,14,14786
77,16,14786
78,1,8143
78,2,8143
78,3,8143
78,4,8143
78,6,8143
78,9,8143
78,11,8143
78,12,8143
78,14,8143
78,16,8143
79,1,11901
79,2,11901
79,3,11901
79,4,11901
79,6,11901
79,9,11901
79,11,11901
79,12,11901
79,14,11901
79,16,11901
80,1,8632
80,2,8632
80,3,8632
80,4,8632
80,6,8632
80,9,8632
80,11,8632
80,12,8632
80,14,8632
80,16,8632
81,1,11739
81,2,11739
81,3,11739
81,4,11739
81,6,11739
81,9,11739
81,11,11739
81,12,11739
81,14,11739
81,16,11739
82,1,7729
82,2,7729
82,3,7729
82,4,7729
82,6,7729
82,9,7729
82,11,7729
82,12,7729
82,14,7729
82,16,7729
83,1,7016
83,2,7016
83,3,7016
83,4,7016
83,6,7016
83,9,7016
83,11,7016
83,12,7016
83,14,7016
83,16,7016
84,1,2841
84,2,2841
84,3,2841
84,4,2841
84,6,2841
84,9,2841
84,11,2841
84,12,2841
84,14,2841
84,16,2841
85,1,7769
85,2,7769
85,3,7769
85,4,7769
85,6,7769
85,9,7769
85,11,7769
85,12,7769
85,14,7769
85,16,7769
86,1,6605
86,2,6605
86,3,6605
86,4,6605
86,6,6605
86,9,6605
86,11,6605
86,12,6605
86,14,6605
86,16,6605
87,1,13084
87,2,13084
87,3,13084
87,4,13084
87,6,13084
87,9,13084
87,11,13084
87,12,13084
87,14,13084
87,16,13084
88,1,9483
88,2,9483
88,3,9483
88,4,9483
88,6,9483
88,9,9483
88,11,9483
88,12,9483
88,14,9483
88,16,9483
89,1,9782
89,2,9782
89,3,9782
89,4,9782
89,6,9782
89,9,9782
89,11,9782
89,12,9782
89,14,9782
89,16,9782
90,1,12013
90,2,12013
90,3,12013
90,4,12013
90,6,12013
90,9,12013
90,11,12013
90,12,12013
90,14,12013
90,16,12013
91,1,12588
91,2,12588
91,3,12588
91,4,12588
91,6,12588
91,9,12588
91,11,12588
