
iteration_number,party_number,lowest_samples
1,3,608
1,5,1616
1,12,694
1,13,19707
1,15,1425
1,16,4104
1,17,3470
1,18,4376
1,21,29510
1,22,14921
1,23,1224
1,25,1831
2,3,349
2,5,1673
2,12,623
2,13,19805
2,15,1518
2,16,4219
2,17,3330
2,18,4496
2,21,29478
2,22,14564
2,23,541
2,25,1929
3,3,3846
3,5,1880
3,12,578
3,13,19869
3,15,1342
3,16,739
3,17,3670
3,18,4329
3,21,29657
3,22,14534
3,23,1493
3,25,2090
4,3,484
4,5,1850
4,12,495
4,13,19854
4,15,1035
4,16,4873
4,17,2847
4,18,4459
4,21,29592
4,22,14801
4,23,1115
4,25,1861
5,3,491
5,5,1937
5,12,564
5,13,19702
5,15,1401
5,16,3856
5,17,3659
5,18,4406
5,21,29476
5,22,14515
5,23,427
5,25,1620
6,3,33
6,5,493
6,12,493
6,13,20014
6,15,493
6,16,4868
6,17,493
6,18,4538
6,21,29492
6,22,14421
6,23,493
6,25,1934
7,3,2732
7,5,920
7,12,113
7,13,19758
7,15,920
7,16,200
7,17,920
7,18,4355
7,21,29535
7,22,14758
7,23,625
7,25,1747
8,3,105
8,5,1819
8,12,621
8,13,19973
8,15,1632
8,16,3754
8,17,3758
8,18,4394
8,21,29611
8,22,14577
8,23,833
8,25,1419
9,3,23
9,5,451
9,12,451
9,13,19846
9,15,451
9,16,4722
9,17,451
9,18,4037
9,21,29643
9,22,14818
9,23,451
9,25,1958
10,3,4003
10,5,1966
10,12,714
10,13,19700
10,15,1557
10,16,798
10,17,3537
10,18,4557
10,21,29554
10,22,14717
10,23,932
10,25,2152
11,3,3935
11,5,1897
11,12,942
11,13,19838
11,15,1774
11,16,800
11,17,3583
11,18,4443
11,21,29508
11,22,14658
11,23,1178
11,25,1871
12,3,189
12,5,1534
12,12,368
12,13,19813
12,15,868
12,16,3756
12,17,3747
12,18,4625
12,21,29535
12,22,14712
12,23,582
12,25,1471
13,3,4310
13,5,1247
13,12,216
13,13,19551
13,15,1124
13,16,56
13,17,1779
13,18,4377
13,21,29667
13,22,14577
13,23,1024
13,25,1488
14,3,34
14,5,638
14,12,638
14,13,20074
14,15,638
14,16,4708
14,17,638
14,18,4468
14,21,29588
14,22,14725
14,23,638
14,25,1361
15,3,3744
15,5,1727
15,12,851
15,13,19936
15,15,1426
15,16,441
15,17,3763
15,18,4189
15,21,29520
15,22,14553
15,23,793
15,25,1806
16,3,557
16,5,1757
16,12,353
16,13,19771
16,15,1706
16,16,3425
16,17,4040
16,18,4366
16,21,29705
16,22,14851
16,23,1227
16,25,1789
17,3,3596
17,5,2038
17,12,467
17,13,19949
17,15,1272
17,16,392
17,17,3897
17,18,4383
17,21,29844
17,22,14489
17,23,912
17,25,1713
18,3,1270
18,5,1776
18,12,796
18,13,19742
18,15,1422
18,16,4436
18,17,3198
18,18,4552
18,21,29631
18,22,14606
18,23,964
18,25,1703
19,3,4552
19,5,453
19,12,48
19,13,19885
19,15,453
19,16,102
19,17,453
19,18,4474
19,21,29586
19,22,14542
19,23,453
19,25,1861
20,3,102
