iteration_number,party_number,lowest_samples
1,3,2812
1,5,1305
1,12,250
1,13,19586
1,15,1384
1,16,283
1,17,4230
1,18,4249
1,21,29568
1,22,14702
1,23,746
1,25,1661
2,3,956
2,5,1402
2,12,561
2,13,19864
2,15,1394
2,16,3704
2,17,3779
2,18,4331
2,21,29528
2,22,14808
2,23,1485
2,25,1651
3,3,28
3,5,1451
3,12,251
3,13,19786
3,15,1186
3,16,2696
3,17,3934
3,18,4440
3,21,29710
3,22,14809
3,23,812
3,25,1600
4,3,3594
4,5,1606
4,12,897
4,13,20034
4,15,1455
4,16,3939
4,17,405
4,18,4163
4,21,29574
4,22,14611
4,23,1023
4,25,2130
5,3,90
5,5,1972
5,12,973
5,13,19491
5,15,1760
5,16,4027
5,17,3533
5,18,4615
5,21,29611
5,22,14779
5,23,1508
5,25,1824
6,3,48
6,5,964
6,12,4100
6,13,19751
6,15,1020
6,16,10
6,17,3338
6,18,4522
6,21,29626
6,22,14799
6,23,587
6,25,1748
7,3,770
7,5,2323
7,12,990
7,13,19897
7,15,1887
7,16,3949
7,17,3605
7,18,4540
7,21,29604
7,22,14697
7,23,1296
7,25,1889
8,3,378
8,5,1158
8,12,203
8,13,19788
8,15,1042
8,16,4514
8,17,1158
8,18,4315
8,21,29632
8,22,15022
8,23,407
8,25,1842
9,3,2940
9,5,1694
9,12,264
9,13,19888
9,15,1640
9,16,715
9,17,3947
9,18,4412
9,21,29526
9,22,14499
9,23,1136
9,25,1702
10,3,98
10,5,902
10,12,147
10,13,19656
10,15,902
10,16,2110
10,17,902
10,18,4286
10,21,29540
10,22,14798
10,23,561
10,25,1592
11,3,3801
11,5,1657
11,12,413
11,13,19900
11,15,1355
11,16,246
11,17,3723
11,18,4285
11,21,29605
11,22,14827
11,23,790
11,25,2017
12,3,4931
12,5,1530
12,12,288
12,13,19679
12,15,1048
12,16,168
12,17,1530
12,18,4273
12,21,29560
12,22,14792
12,23,171
12,25,1820
13,3,89
13,5,1467
13,12,335
13,13,19714
13,15,858
13,16,4539
13,17,1543
13,18,4383
13,21,29682
13,22,14997
13,23,926
13,25,1641
14,3,416
14,5,1389
14,12,426
14,13,19851
14,15,1586
14,16,4507
14,17,2679
14,18,4141
14,21,29491
14,22,14628
14,23,765
14,25,1628
15,3,3992
15,5,1432
15,12,438
15,13,19591
15,15,1428
15,16,432
15,17,3543
15,18,4414
15,21,29743
15,22,14862
15,23,964
15,25,2022
16,3,763
16,5,2123
16,12,663
16,13,19929
16,15,1273
16,16,3929
16,17,3622
16,18,4491
16,21,29717
16,22,14698
16,23,847
16,25,1527
17,3,3950
17,5,1652
17,12,744
17,13,19838
17,15,1340
17,16,274
17,17,3562
17,18,4359
17,21,29600
17,22,14651
17,23,847
17,25,1636
18,3,544
18,5,2209
18,12,988
18,13,19761
18,15,1843
18,16,4223
18,17,3370
18,18,4109
18,21,29481
18,22,14892
18,23,1091
18,25,1699
19,3,266
19,5,1423
19,12,310
19,13,19707
19,15,1361
19,16,3387
19,17,3689
19,18,4331
19,21,29526
19,22,14721
19,23,708
19,25,1705
20,3,4348
20,5,1276
20,12,324
20,13,19718
20,15,1200
20,16,389
20,17,2710
20,18,4295
20,21,29635
20,22,14699
20,23,921
20,25,1721
21,3,180
21,5,1178
21,12,545
21,13,19697
21,15,1128
21,16,4283
21,17,3094
21,18,4173
21,21,29524
21,22,14687
21,23,826
21,25,1573
22,3,340
22,5,1304
22,12,475
22,13,19983
22,15,916
22,16,4928
22,17,2796
22,18,4515
22,21,29588
22,22,14624
22,23,576
22,25,1546
23,3,2416
23,5,1510
23,12,183
23,13,19902
23,15,893
23,16,1510
23,17,219
23,18,4536
23,21,29588
23,22,14792
23,23,602
23,25,1965
24,3,64
24,5,1162
24,12,473
24,13,19960
24,15,1228
24,16,4387
24,17,1228
24,18,4530
24,21,29508
24,22,14768
24,23,628
24,25,1559
25,3,503
25,5,2017
25,12,1033
25,13,19924
25,15,1486
25,16,3879
25,17,3652
25,18,4445
25,21,29487
25,22,14639
25,23,1462
25,25,1769
26,3,411
26,5,1783
26,12,479
26,13,19806
26,15,1025
26,16,4447
26,17,2895
26,18,4380
26,21,29701
26,22,15085
26,23,641
26,25,1579
27,3,520
27,5,2006
27,12,909
27,13,19695
27,15,1316
27,16,4291
27,17,3313
27,18,4430
27,21,29485
27,22,14873
27,23,1314
27,25,1979
28,3,644
28,5,1596
28,12,882
28,13,19848
28,15,1705
28,16,4445
28,17,3191
28,18,4570
28,21,29578
28,22,14628
28,23,1413
28,25,1711
29,3,17
29,5,312
29,12,198
29,13,19820
29,15,312
29,16,4464
29,17,312
29,18,3811
29,21,29584
29,22,14628
29,23,312
29,25,1964
30,3,918
30,5,1446
30,12,314
30,13,19685
30,15,1480
30,16,3443
30,17,3443
30,18,4067
30,21,29664
30,22,14805
30,23,846
30,25,1726
31,3,57
31,5,1029
31,12,427
31,13,19786
31,15,1029
31,16,4265
31,17,1029
31,18,4489
31,21,29551
31,22,14638
31,23,757
31,25,1752
32,3,40
32,5,1005
32,12,423
32,13,19852
32,15,1354
32,16,4123
32,17,1354
32,18,4554
32,21,29595
32,22,14541
32,23,785
32,25,1783
33,3,4630
33,5,1153
33,12,512
33,13,19809
33,15,1421
33,16,104
33,17,2952
33,18,4812
33,21,29524
33,22,14468
33,23,838
33,25,2082
34,3,675
34,5,1262
34,12,667
34,13,20025
34,15,1276
34,16,3992
34,17,3569
34,18,4256
34,21,29772
34,22,14558
34,23,1180
34,25,1830
35,3,476
35,5,1997
35,12,1019
35,13,19928
35,15,2041
35,16,3687
35,17,3807
35,18,4346
35,21,29674
35,22,14713
35,23,1128
35,25,1823
36,3,3747
36,5,1956
36,12,858
36,13,19687
36,15,1454
36,16,53
36,17,3755
36,18,4403
36,21,29601
36,22,15076
36,23,1143
36,25,1753
37,3,169
37,5,1399
37,12,3816
37,13,19900
37,15,1063
37,16,55
37,17,3677
37,18,4238
37,21,29544
37,22,14471
37,23,1007
37,25,1720
38,3,88
38,5,1389
38,12,482
38,13,19868
38,15,1069
38,16,5033
38,17,1523
38,18,4633
38,21,29628
38,22,14529
38,23,664
38,25,1865
39,3,485
39,5,1315
39,12,326
39,13,19873
39,15,977
39,16,4944
39,17,1836
39,18,4456
39,21,29657
39,22,14912
39,23,549
39,25,1536
40,3,168
40,5,1950
40,12,659
40,13,19884
40,15,1827
40,16,3945
40,17,3593
40,18,4433
40,21,29655
40,22,14786
40,23,929
40,25,1957
41,3,1990
41,5,1688
41,12,499
41,13,19628
41,15,1698
41,16,2896
41,17,110
41,18,4169
41,21,29617
41,22,14707
41,23,1341
41,25,1938
42,3,599
42,5,1902
42,12,709
42,13,19785
42,15,1405
42,16,4037
42,17,3519
42,18,4189
42,21,29485
42,22,14871
42,23,1056
42,25,1565
43,3,40
43,5,1755
43,12,649
43,13,20072
43,15,1233
43,16,2937
43,17,4421
43,18,4368
43,21,29511
43,22,14114
43,23,909
43,25,1682
44,3,3802
44,5,1446
44,12,529
44,13,19620
44,15,1281
44,16,48
44,17,3708
44,18,4337
44,21,29625
44,22,14694
44,23,706
44,25,1897
45,3,446
45,5,1880
45,12,4359
45,13,19838
45,15,1398
45,16,49
45,17,3017
45,18,4073
45,21,29666
45,22,14535
45,23,699
45,25,1679
46,3,4085
46,5,1716
46,12,1222
46,13,19981
46,15,1414
46,16,690
46,17,3454
46,18,4034
46,21,29563
46,22,14921
46,23,767
46,25,1816
47,3,616
47,5,1381
47,12,599
47,13,20165
47,15,1502
47,16,4511
47,17,3144
47,18,4311
47,21,29662
47,22,14733
47,23,767
47,25,1605
48,3,478
48,5,1737
48,12,577
48,13,19906
48,15,1412
48,16,3781
48,17,3738
48,18,4385
48,21,29714
48,22,14690
48,23,811
48,25,1772
49,3,3836
49,5,1916
49,12,933
49,13,19820
49,15,1546
49,16,626
49,17,3672
49,18,4616
49,21,29548
49,22,14407
49,23,936
49,25,1642
50,3,34
50,5,877
50,12,390
50,13,19771
50,15,877
50,16,4154
50,17,877
50,18,4521
50,21,29555
50,22,14799
50,23,535
50,25,1754
51,3,440
51,5,1470
51,12,625
51,13,20058
51,15,1505
51,16,3776
51,17,3739
51,18,4589
51,21,29531
51,22,14809
51,23,506
51,25,2171
52,3,77
52,5,1263
52,12,206
52,13,19973
52,15,1263
52,16,4404
52,17,1263
52,18,4250
52,21,29659
52,22,14590
52,23,697
52,25,2049
53,3,129
53,5,1475
53,12,368
53,13,19742
53,15,1230
53,16,3784
53,17,3716
53,18,4255
53,21,29649
53,22,14798
53,23,572
53,25,1655
54,3,121
54,5,1285
54,12,411
54,13,19970
54,15,1280
54,16,3961
54,17,3146
54,18,4476
54,21,29623
54,22,14522
54,23,870
54,25,1748
55,3,468
55,5,1630
55,12,428
55,13,19863
55,15,1280
55,16,3839
55,17,3691
55,18,4934
55,21,29591
55,22,14604
55,23,726
55,25,1802
56,3,1255
56,5,1253
56,12,571
56,13,19816
56,15,1257
56,16,4234
56,17,120
56,18,4310
56,21,29686
56,22,14773
56,23,661
56,25,1657
57,3,4300
57,5,1693
57,12,632
57,13,19921
57,15,1528
57,16,278
57,17,3262
57,18,4012
57,21,29680
57,22,14514
57,23,815
57,25,2096
58,3,582
58,5,2110
58,12,671
58,13,19988
58,15,1738
58,16,4116
58,17,3463
58,18,4510
58,21,29577
58,22,14781
58,23,1246
58,25,1382
59,3,4572
59,5,1679
59,12,519
59,13,19612
59,15,1421
59,16,756
59,17,3012
59,18,4610
59,21,29511
59,22,14918
59,23,1075
59,25,1775
60,3,2485
60,5,1704
60,12,307
60,13,19701
60,15,1032
60,16,2485
60,17,124
60,18,4293
60,21,29514
60,22,14759
60,23,951
60,25,1463
61,3,5344
61,5,758
61,12,383
61,13,20159
61,15,1293
61,16,219
61,17,2290
61,18,4397
61,21,29454
61,22,14593
61,23,455
61,25,1674
62,3,3835
62,5,1454
62,12,568
62,13,19709
62,15,1311
62,16,365
62,17,3685
62,18,4343
62,21,29630
62,22,14835
62,23,824
62,25,1838
63,3,3634
63,5,2014
63,12,547
63,13,19689
63,15,1253
63,16,295
63,17,3864
63,18,4415
63,21,29674
63,22,14873
63,23,1010
63,25,1762
64,3,604
64,5,1818
64,12,676
64,13,19881
64,15,1672
64,16,3926
64,17,3619
64,18,4206
64,21,29561
64,22,14693
64,23,1417
64,25,1837
65,3,190
65,5,1601
65,12,378
65,13,19753
65,15,1434
65,16,4336
65,17,2285
65,18,4410
65,21,29625
65,22,14682
65,23,723
65,25,1693
66,3,4613
66,5,1516
66,12,588
66,13,19861
66,15,1373
66,16,158
66,17,2963
66,18,4286
66,21,29452
66,22,14891
66,23,1147
66,25,1969
67,3,110
67,5,1657
67,12,448
67,13,19863
67,15,1400
67,16,3325
67,17,4113
67,18,4406
67,21,29349
67,22,14869
67,23,400
67,25,1548
68,3,226
68,5,1369
68,12,414
68,13,19812
68,15,1162
68,16,4483
68,17,2394
68,18,4515
68,21,29648
68,22,14798
68,23,708
68,25,1867
69,3,50
69,5,880
69,12,493
69,13,20076
69,15,880
69,16,5031
69,17,880
69,18,4532
69,21,29569
69,22,14634
69,23,259
69,25,1740
70,3,4786
70,5,1194
70,12,604
70,13,19776
70,15,1027
70,16,140
70,17,2797
70,18,4401
70,21,29383
70,22,14513
70,23,533
70,25,1836
71,3,1181
71,5,1731
71,12,840
71,13,19743
71,15,1453
71,16,3985
71,17,3570
71,18,4561
71,21,29552
71,22,14833
71,23,747
71,25,1731
72,3,567
72,5,1946
72,12,788
72,13,19763
72,15,1534
72,16,4180
72,17,3414
72,18,4484
72,21,29625
72,22,14768
72,23,956
72,25,1608
73,3,1960
73,5,1249
73,12,310
73,13,19698
73,15,1448
73,16,2564
73,17,273
73,18,4466
73,21,29650
73,22,14821
73,23,752
73,25,1546
74,3,1274
74,5,1274
74,12,854
74,13,19717
74,15,1274
74,16,4049
74,17,114
74,18,4282
74,21,29721
74,22,14744
74,23,862
74,25,2017
75,3,155
75,5,1386
75,12,610
75,13,19881
75,15,1501
75,16,3453
75,17,3989
75,18,4627
75,21,29493
75,22,14680
75,23,636
75,25,1311
76,3,853
76,5,1971
76,12,785
76,13,20001
76,15,1588
76,16,4189
76,17,3411
76,18,4355
76,21,29631
76,22,14601
76,23,1393
76,25,1909
77,3,369
77,5,1832
77,12,763
77,13,19927
77,15,1243
77,16,4060
77,17,3517
77,18,4649
77,21,29576
77,22,14619
77,23,789
77,25,1807
78,3,1152
78,5,1454
78,12,660
78,13,19746
78,15,1517
78,16,3817
78,17,3711
78,18,4554
78,21,29527
78,22,14751
78,23,863
78,25,1840
79,3,145
79,5,1614
79,12,290
79,13,19639
79,15,1115
79,16,3731
79,17,1768
79,18,4352
79,21,29515
79,22,14783
79,23,932
79,25,1475
80,3,3820
80,5,2084
80,12,1050
80,13,19692
80,15,1862
80,16,502
80,17,3692
80,18,4403
80,21,29637
80,22,14624
80,23,1120
80,25,1484
81,3,3234
81,5,1641
81,12,313
81,13,20027
81,15,1396
81,16,403
81,17,4248
81,18,4715
81,21,29636
81,22,14633
81,23,608
81,25,1834
82,3,4071
82,5,1803
82,12,485
82,13,19793
82,15,1391
82,16,524
82,17,3463
82,18,4438
82,21,29606
82,22,14876
82,23,636
82,25,1961
83,3,1144
83,5,1144
83,12,998
83,13,19459
83,15,1144
83,16,4053
83,17,97
83,18,3971
83,21,29403
83,22,14318
83,23,1144
83,25,2041
84,3,65
84,5,1468
84,12,754
84,13,19697
84,15,1342
84,16,4104
84,17,1861
84,18,4183
84,21,29678
84,22,14440
84,23,1118
84,25,1775
85,3,4343
85,5,1104
85,12,608
85,13,20032
85,15,1569
85,16,200
85,17,3217
85,18,4478
85,21,29708
85,22,14808
85,23,596
85,25,1479
86,3,3878
86,5,1911
86,12,611
86,13,19886
86,15,1788
86,16,937
86,17,3635
86,18,4409
86,21,29657
86,22,14856
86,23,1085
86,25,1527
87,3,29
87,5,559
87,12,559
87,13,19702
87,15,559
87,16,4240
87,17,559
87,18,4215
87,21,29542
87,22,14973
87,23,559
87,25,1702
88,3,3985
88,5,1903
88,12,718
88,13,19837
88,15,1559
88,16,215
88,17,3549
88,18,4243
88,21,29584
88,22,14761
88,23,946
88,25,1969
89,3,99
89,5,1631
89,12,297
89,13,19846
89,15,1178
89,16,5442
89,17,1631
89,18,4271
89,21,29774
89,22,14965
89,23,468
89,25,1921
90,3,376
90,5,1511
90,12,738
90,13,19875
90,15,1040
90,16,4485
90,17,3154
90,18,4311
90,21,29571
90,22,14678
90,23,838
90,25,1307
91,3,299
91,5,299
91,12,248
91,13,19968
91,15,300
91,16,3168
91,17,31
91,18,4355
91,21,29659
91,22,14698
91,23,301
91,25,1786
92,3,835
92,5,1743
92,12,1039
92,13,19848
