iteration_number,party_number,lowest_samples
1,3,4452
1,5,1889
1,12,400
1,13,19845
1,15,1126
1,16,8
1,17,3110
1,18,4273
1,21,29528
1,22,14883
1,23,602
1,25,1677
2,3,4445
2,5,1118
2,12,287
2,13,19745
2,15,1053
2,16,132
2,17,2303
2,18,4304
2,21,29607
2,22,14599
2,23,286
2,25,1622
3,3,450
3,5,1177
3,12,355
3,13,19765
3,15,1255
3,16,4757
3,17,2100
3,18,4312
3,21,29590
3,22,14681
3,23,892
3,25,1782
4,3,4350
4,5,1536
4,12,437
4,13,19749
4,15,1235
4,16,135
4,17,3216
4,18,4256
4,21,29729
4,22,14662
4,23,798
4,25,1980
5,3,154
5,5,1761
5,12,402
5,13,19882
5,15,1298
5,16,4741
5,17,2365
5,18,4641
5,21,29707
5,22,14628
5,23,588
5,25,1586
6,3,4265
6,5,1582
6,12,636
6,13,19790
6,15,1249
6,16,98
6,17,3280
6,18,4539
6,21,29550
6,22,14707
6,23,889
6,25,1666
7,3,1902
7,5,1820
7,12,329
7,13,19913
7,15,1278
7,16,2959
7,17,279
7,18,4541
7,21,29495
7,22,14707
7,23,1041
7,25,1887
8,3,111
8,5,1517
8,12,277
8,13,19965
8,15,1069
8,16,2995
8,17,1787
8,18,4106
8,21,29590
8,22,14859
8,23,590
8,25,1547
9,3,4258
9,5,1795
9,12,636
9,13,19790
9,15,1489
9,16,702
9,17,3285
9,18,4521
9,21,29457
9,22,14536
9,23,1063
9,25,1750
10,3,3826
10,5,1759
10,12,644
10,13,19884
10,15,1299
10,16,536
10,17,3679
10,18,3932
10,21,29675
10,22,14397
10,23,940
10,25,1747
11,3,3993
11,5,1772
11,12,736
11,13,19789
11,15,1455
11,16,883
11,17,3536
11,18,4707
11,21,29545
11,22,14617
11,23,682
11,25,1726
12,3,4663
12,5,1324
12,12,162
12,13,19802
12,15,1040
12,16,1036
12,17,1324
12,18,4398
12,21,29641
12,22,14806
12,23,987
12,25,1701
13,3,2474
13,5,511
13,12,132
13,13,19893
13,15,511
13,16,511
13,17,20
13,18,4230
13,21,29749
13,22,14639
13,23,259
13,25,1964
14,3,71
14,5,1014
14,12,472
14,13,19841
14,15,985
14,16,4800
14,17,1136
14,18,4123
14,21,29561
14,22,14830
14,23,683
14,25,1917
15,3,1237
15,5,1237
15,12,188
15,13,19875
15,15,1237
15,16,1539
15,17,58
15,18,4355
15,21,29482
15,22,14552
15,23,1128
15,25,2064
16,3,274
16,5,1334
16,12,476
16,13,19793
16,15,836
16,16,4622
16,17,2837
16,18,4276
16,21,29588
16,22,14605
16,23,780
16,25,1733
17,3,906
17,5,1457
17,12,211
17,13,19735
17,15,1265
17,16,2344
17,17,2948
17,18,4163
17,21,29442
17,22,14855
17,23,811
17,25,1970
18,3,212
18,5,1447
18,12,565
18,13,20076
18,15,1085
18,16,4812
18,17,2895
18,18,4602
18,21,29606
18,22,14616
18,23,607
18,25,2059
19,3,403
19,5,1348
19,12,712
19,13,19881
19,15,1275
19,16,4295
19,17,3070
19,18,4327
19,21,29540
19,22,14722
19,23,503
19,25,1875
20,3,70
20,5,1188
20,12,373
20,13,19787
20,15,1188
20,16,4611
20,17,1188
20,18,4345
20,21,29507
20,22,14798
20,23,1097
20,25,2040
21,3,1170
21,5,1170
21,12,329
21,13,19862
21,15,1021
21,16,4416
21,17,113
21,18,4285
21,21,29522
21,22,14540
21,23,736
21,25,1979
22,3,4743
22,5,1226
22,12,241
22,13,19923
22,15,1161
22,16,83
22,17,1941
22,18,4266
22,21,29617
22,22,14726
22,23,655
22,25,1870
23,3,3591
23,5,1953
23,12,829
23,13,19855
23,15,1414
23,16,653
23,17,3904
23,18,4615
23,21,29474
23,22,14514
23,23,897
23,25,2083
24,3,549
24,5,2025
24,12,957
24,13,20001
24,15,1871
24,16,4187
24,17,3396
24,18,4212
24,21,29505
24,22,14667
24,23,1247
24,25,2196
25,3,3989
25,5,1316
25,12,486
25,13,19781
25,15,1415
25,16,2057
25,17,84
25,18,4527
25,21,29495
25,22,14846
25,23,939
25,25,1611
26,3,26
26,5,450
26,12,430
26,13,19970
26,15,450
26,16,4810
26,17,450
26,18,4373
26,21,29522
26,22,14708
26,23,450
26,25,2033
27,3,2606
27,5,190
27,12,25
27,13,19905
27,15,190
27,16,38
27,17,190
27,18,4414
27,21,29606
27,22,14399
27,23,190
27,25,1700
28,3,133
28,5,1798
28,12,782
28,13,20035
28,15,1242
28,16,3768
28,17,3740
28,18,4082
28,21,29592
28,22,14863
28,23,1049
28,25,1970
29,3,4451
29,5,1525
29,12,575
29,13,19965
29,15,1508
29,16,870
29,17,3121
29,18,4469
29,21,29625
29,22,14677
29,23,912
29,25,1751
30,3,4679
30,5,1523
30,12,399
30,13,19522
30,15,931
30,16,755
30,17,2899
30,18,4454
30,21,29493
30,22,14807
30,23,799
30,25,1934
31,3,148
31,5,965
31,12,178
31,13,20108
31,15,933
31,16,4966
31,17,1084
31,18,4245
31,21,29605
31,22,14522
31,23,482
31,25,1644
32,3,4922
32,5,1219
32,12,151
32,13,19941
32,15,1068
32,16,25
32,17,1219
32,18,4503
32,21,29673
32,22,14698
32,23,359
32,25,1986
33,3,287
33,5,1749
33,12,447
33,13,19611
33,15,1606
33,16,4249
33,17,2663
33,18,4661
33,21,29656
33,22,14747
33,23,1139
33,25,1957
34,3,152
34,5,1558
34,12,607
34,13,19713
34,15,1089
34,16,4624
34,17,2676
34,18,4308
34,21,29645
34,22,14634
34,23,864
34,25,1990
35,3,358
35,5,962
35,12,177
35,13,19862
35,15,782
35,16,5383
35,17,962
35,18,4394
35,21,29643
35,22,14670
35,23,811
35,25,1830
36,3,3997
36,5,1517
36,12,767
36,13,19956
36,15,1246
36,16,250
36,17,3531
36,18,4275
36,21,29513
36,22,14593
36,23,1093
36,25,1567
37,3,450
37,5,1795
37,12,550
37,13,19861
37,15,1250
37,16,4216
37,17,3268
37,18,4373
37,21,29655
37,22,14753
37,23,766
37,25,1402
38,3,74
38,5,1927
38,12,496
38,13,19853
38,15,985
38,16,3545
38,17,3927
38,18,4047
38,21,29666
38,22,14819
38,23,760
38,25,2097
39,3,779
39,5,1471
39,12,340
39,13,19768
39,15,1001
39,16,4653
39,17,2058
39,18,4181
39,21,29551
39,22,14947
39,23,697
39,25,1625
40,3,14
40,5,17
40,12,15
40,13,19872
40,15,15
40,16,4171
40,17,14
40,18,4364
40,21,29656
40,22,14800
40,23,14
40,25,2114
41,3,394
41,5,2014
41,12,712
41,13,19793
41,15,1419
41,16,4360
41,17,3242
41,18,4215
41,21,29554
41,22,14393
41,23,1372
41,25,1799
42,3,4172
42,5,1667
42,12,306
42,13,19666
42,15,798
42,16,412
42,17,2486
42,18,4043
42,21,29418
42,22,14777
42,23,818
42,25,1766
43,3,3810
43,5,1138
43,12,436
43,13,19668
43,15,1081
43,16,1008
43,17,3688
43,18,4359
43,21,29473
43,22,14762
43,23,1138
43,25,1714
44,3,259
44,5,1763
44,12,447
44,13,19932
44,15,1455
44,16,4329
44,17,2614
44,18,4605
44,21,29505
44,22,14857
44,23,1057
44,25,1858
45,3,640
45,5,1894
45,12,939
45,13,19831
45,15,1363
45,16,3975
45,17,3565
45,18,4452
45,21,29574
45,22,14609
45,23,1434
45,25,2006
46,3,4014
46,5,1210
46,12,709
46,13,20069
46,15,1241
46,16,152
46,17,3510
46,18,4307
46,21,29496
46,22,14688
46,23,1028
46,25,1593
47,3,3956
47,5,1530
47,12,344
47,13,19903
47,15,1284
47,16,26
47,17,2783
47,18,4326
47,21,29635
47,22,14679
47,23,836
47,25,2014
48,3,63
48,5,1924
48,12,193
48,13,19837
48,15,1365
48,16,2156
