iteration_number,party_number,lowest_samples
1,3,20381
2,3,21015
3,3,20331
4,3,20251
5,3,20238
6,3,19981
7,3,19971
8,3,20794
9,3,21079
10,3,22094
11,3,21163
12,3,20884
13,3,21002
14,3,20408
15,3,21059
16,3,20254
17,3,20937
18,3,21538
19,3,22469
20,3,20708
21,3,19717
22,3,20402
23,3,20810
24,3,20290
25,3,20789
26,3,20081
27,3,21040
28,3,20181
29,3,20697
30,3,20418
31,3,20169
32,3,20334
33,3,21941
34,3,19801
35,3,21302
36,3,20925
37,3,20599
38,3,21281
39,3,20596
40,3,20169
41,3,20498
42,3,20251
43,3,20293
44,3,20074
45,3,20006
46,3,19981
47,3,20719
48,3,20238
49,3,19991
50,3,20430
51,3,20927
52,3,20941
53,3,19867
54,3,20632
55,3,21055
56,3,20327
57,3,20554
58,3,19918
59,3,20985
60,3,20412
61,3,15391
62,3,20687
63,3,20132
64,3,20337
65,3,20232
66,3,21038
67,3,20411
68,3,20103
69,3,20835
70,3,20338
71,3,21139
72,3,20523
73,3,20908
74,3,20950
75,3,19841
76,3,21012
77,3,20252
78,3,20698
79,3,20721
80,3,20854
81,3,20246
82,3,20367
83,3,21383
84,3,21368
85,3,20412
86,3,20917
87,3,21029
88,3,19970
89,3,20722
90,3,21758
91,3,19982
92,3,20896
93,3,20385
94,3,19570
95,3,20972
96,3,20957
97,3,21587
98,3,19851
99,3,19643
100,3,20833
101,3,20923
102,3,21211
103,3,20662
104,3,21706
105,3,21412
106,3,20246
107,3,20788
108,3,21158
109,3,20799
110,3,20534
111,3,20333
112,3,20247
113,3,20575
114,3,21319
115,3,20900
116,3,20705
117,3,20667
118,3,21630
119,3,19421
120,3,20059
121,3,21253
122,3,20807
123,3,20344
124,3,15262
125,3,20500
126,3,20501
127,3,17445
128,3,21179
129,3,21014
130,3,21134
131,3,21523
132,3,20240
133,3,20486
134,3,20891
135,3,19646
136,3,20674
137,3,20398
138,3,20238
139,3,20030
140,3,20709
141,3,20766
142,3,21176
143,3,21156
144,3,20384
145,3,21001
146,3,20927
147,3,20428
148,3,20700
149,3,21104
150,3,20626
151,3,19748
152,3,20870
153,3,20571
154,3,20725
155,3,21006
156,3,20509
157,3,20572
158,3,20381
159,3,21694
160,3,20911
161,3,20158
162,3,20212
163,3,20662
164,3,20918
165,3,20095
166,3,20637
167,3,19983
168,3,20869
169,3,20373
170,3,20450
171,3,20660
172,3,21322
173,3,21817
174,3,22166
175,3,20710
176,3,20670
177,3,21748
178,3,20438
179,3,23091
180,3,20678
181,3,20565
182,3,20289
183,3,20011
184,3,20558
185,3,21877
186,3,21312
187,3,20745
188,3,16906
189,3,20345
190,3,20802
191,3,20388
192,3,21025
193,3,20960
194,3,21075
195,3,20537
196,3,20924
197,3,19746
198,3,20794
199,3,21076
200,3,20507
201,3,19762
202,3,20108
203,3,20797
204,3,20792
205,3,20140
206,3,21554
207,3,20488
208,3,21475
209,3,20480
210,3,20408
211,3,20842
212,3,20419
213,3,20482
214,3,20585
215,3,20255
216,3,20285
217,3,21640
218,3,21446
219,3,21545
220,3,21316
221,3,20594
222,3,19315
223,3,21012
224,3,20441
225,3,20147
226,3,20309
227,3,20831
228,3,17033
229,3,20755
230,3,20051
231,3,20856
232,3,20279
233,3,20062
234,3,20857
235,3,20595
236,3,20230
237,3,20320
238,3,19957
239,3,23419
240,3,20900
241,3,21506
242,3,20492
243,3,21382
244,3,20594
245,3,20847
246,3,20522
247,3,20305
248,3,20430
249,3,20373
250,3,20376
251,3,20485
252,3,19491
253,3,21502
254,3,20434
255,3,20424
256,3,19683
257,3,21145
258,3,20929
259,3,20541
260,3,21242
261,3,20742
262,3,20022
263,3,19715
264,3,20965
265,3,20684
266,3,20141
267,3,20505
268,3,20683
269,3,20288
270,3,21144
271,3,20195
272,3,21251
273,3,20593
274,3,20576
275,3,20168
276,3,20426
277,3,20470
278,3,20963
279,3,20363
280,3,21751
281,3,20425
282,3,20199
283,3,20624
284,3,21125
285,3,20892
286,3,20699
287,3,19851
288,3,20482
289,3,20350
290,3,22020
291,3,20916
292,3,21000
293,3,21255
294,3,20798
295,3,20115
296,3,20934
297,3,20369
298,3,21076
299,3,20381
300,3,20224
301,3,20406
302,3,20119
303,3,21239
304,3,20659
305,3,21025
306,3,19762
307,3,20704
308,3,17115
309,3,19578
310,3,21717
311,3,20446
312,3,22202
313,3,21551
314,3,21032
315,3,20667
316,3,21111
317,3,20514
318,3,21322
319,3,20111
320,3,20518
321,3,20940
322,3,19201
323,3,20562
324,3,20106
325,3,20266
326,3,21499
327,3,21190
328,3,21666
329,3,20191
330,3,19865
331,3,20258
332,3,21096
333,3,22187
334,3,20725
335,3,21097
336,3,20049
337,3,20124
338,3,20823
339,3,20378
340,3,20877
341,3,20564
342,3,20533
343,3,21265
344,3,21124
345,3,21100
346,3,20422
347,3,20669
348,3,20647
349,3,20730
350,3,20341
351,3,20556
352,3,20647
353,3,20881
354,3,21555
355,3,20613
356,3,20598
357,3,19597
358,3,17381
359,3,20430
360,3,20864
361,3,20854
362,3,21206
363,3,19537
364,3,20513
365,3,20945
366,3,21214
367,3,21631
368,3,19506
369,3,20389
370,3,20840
371,3,20430
372,3,20050
373,3,20309
374,3,20013
375,3,20369
376,3,21164
377,3,20752
378,3,19758
379,3,20358
380,3,22103
381,3,20704
382,3,20688
383,3,20930
384,3,21116
385,3,19681
386,3,20693
387,3,20558
388,3,20865
389,3,20675
390,3,20493
391,3,20452
392,3,19828
393,3,19119
394,3,20398
395,3,21512
396,3,21295
397,3,21285
398,3,20975
399,3,20562
400,3,21151
401,3,21102
402,3,20362
403,3,21531
404,3,21264
405,3,21012
406,3,20453
407,3,20755
408,3,20673
409,3,20583
410,3,20118
411,3,19873
412,3,20843
413,3,20354
414,3,20063
415,3,20883
416,3,19882
417,3,20655
418,3,20304
419,3,25214
420,3,20774
421,3,20221
422,3,19855
423,3,20972
424,3,21490
425,3,21427
426,3,20779
427,3,20387
428,3,19112
429,3,20716
430,3,21356
431,3,21086
432,3,20791
433,3,20783
434,3,21061
435,3,20279
436,3,20413
437,3,21392
438,3,20278
439,3,21288
440,3,20417
441,3,20853
442,3,19640
443,3,20880
444,3,20606
445,3,20722
446,3,21288
447,3,20679
448,3,20818
449,3,20612
450,3,20558
451,3,19984
452,3,20708
453,3,21103
454,3,21107
455,3,20487
456,3,20731
457,3,20698
458,3,20150
459,3,19934
460,3,20138
461,3,20591
462,3,20640
463,3,20226
