iteration_number,party_number,lowest_samples
1,25,2094
2,25,1869
3,25,1561
4,25,1569
5,25,1877
6,25,1530
7,25,1671
8,25,1620
9,25,1686
10,25,1721
11,25,1700
12,25,1645
13,25,1648
14,25,1861
15,25,1763
16,25,1904
17,25,1731
18,25,1967
19,25,1600
20,25,1675
21,25,1936
22,25,1774
23,25,1637
24,25,1958
25,25,1534
26,25,1809
27,25,1875
28,25,1852
29,25,1877
30,25,1971
31,25,1955
32,25,1739
33,25,1531
34,25,1836
35,25,1675
36,25,1684
37,25,1667
38,25,2053
39,25,1682
40,25,1844
41,25,1699
42,25,1786
43,25,1615
44,25,1332
45,25,2027
46,25,1741
47,25,1956
48,25,1625
49,25,2029
50,25,1771
51,25,1535
52,25,1682
53,25,1600
54,25,1785
55,25,1937
56,25,1558
57,25,1707
58,25,1687
59,25,1797
60,25,2030
61,25,1714
62,25,1714
63,25,1610
64,25,1375
65,25,1693
66,25,1978
67,25,1394
68,25,1449
69,25,1596
70,25,1729
71,25,1754
72,25,1962
73,25,1319
74,25,1661
75,25,2006
76,25,1881
77,25,1664
78,25,1773
79,25,1496
80,25,1754
81,25,1789
82,25,1532
83,25,1881
84,25,1569
85,25,1670
86,25,1928
87,25,1845
88,25,1727
89,25,1808
90,25,2152
91,25,1802
92,25,1842
93,25,1815
94,25,1653
95,25,1501
96,25,1942
97,25,1613
98,25,1668
99,25,1836
100,25,1735
101,25,1885
102,25,1963
103,25,1679
104,25,1703
105,25,1671
106,25,1763
107,25,1893
108,25,1661
109,25,1904
110,25,1472
111,25,1436
112,25,1708
113,25,1646
114,25,2076
115,25,1841
116,25,1918
117,25,1878
118,25,1599
119,25,1968
120,25,1555
121,25,1861
122,25,1885
123,25,2098
124,25,1609
125,25,1842
126,25,1692
127,25,1864
128,25,1700
129,25,1716
130,25,1826
131,25,1964
132,25,1885
133,25,1948
134,25,1943
135,25,1939
136,25,1699
137,25,1670
138,25,1561
139,25,1903
140,25,2113
141,25,1696
142,25,1945
143,25,1911
144,25,1827
145,25,1613
146,25,1715
147,25,1747
148,25,1884
149,25,1260
150,25,1949
151,25,1881
152,25,1727
153,25,1561
154,25,1495
155,25,1670
156,25,1672
157,25,1747
158,25,1868
159,25,1952
160,25,1697
161,25,1667
162,25,1804
163,25,1659
164,25,1811
165,25,1440
166,25,1624
167,25,1783
168,25,1833
169,25,1881
170,25,1762
171,25,1477
172,25,1787
173,25,1904
174,25,1673
175,25,1504
176,25,1647
177,25,2036
178,25,2070
179,25,1763
180,25,1554
181,25,1693
182,25,1914
183,25,1967
184,25,1629
185,25,1680
186,25,1515
187,25,1400
188,25,1510
189,25,1728
190,25,1698
191,25,1728
192,25,2149
193,25,1620
194,25,1897
195,25,2066
196,25,1919
197,25,1989
198,25,1560
199,25,1950
200,25,1987
201,25,1618
202,25,1519
203,25,1957
204,25,1883
205,25,1821
206,25,1678
207,25,1494
208,25,1766
209,25,1725
210,25,1732
211,25,1693
212,25,1792
213,25,1881
214,25,1849
215,25,1610
216,25,1552
217,25,1650
218,25,1814
219,25,2025
220,25,1590
221,25,1977
222,25,1631
223,25,1722
224,25,1893
225,25,1821
226,25,1868
227,25,1662
228,25,1556
229,25,1493
230,25,1850
231,25,1717
232,25,1742
233,25,1876
234,25,1720
235,25,1870
236,25,1710
237,25,1613
238,25,1642
239,25,1894
240,25,1688
241,25,1520
242,25,1686
243,25,1489
244,25,1548
245,25,1487
246,25,1743
247,25,1785
248,25,1835
249,25,2014
250,25,1555
251,25,1470
252,25,1459
253,25,1906
254,25,1870
255,25,1894
256,25,1851
257,25,1829
258,25,1835
259,25,2027
260,25,1940
261,25,1686
262,25,1897
263,25,1651
264,25,1666
265,25,1536
266,25,1763
267,25,1882
268,25,1750
269,25,1696
270,25,1856
271,25,1415
272,25,1608
273,25,1966
274,25,2049
275,25,1852
276,25,1928
277,25,1532
278,25,1817
279,25,1611
280,25,1757
281,25,1813
282,25,1931
283,25,1622
284,25,1796
285,25,1873
286,25,1893
287,25,1701
288,25,1851
289,25,1761
290,25,1716
291,25,1696
292,25,1885
293,25,1699
294,25,1825
295,25,1688
296,25,1765
297,25,1567
298,25,1615
299,25,1805
300,25,1647
301,25,1769
302,25,1835
303,25,1714
304,25,1456
305,25,1728
306,25,1897
307,25,2062
308,25,1645
309,25,1665
310,25,1461
311,25,1725
312,25,1740
313,25,1801
314,25,1411
315,25,1935
316,25,1757
317,25,1811
318,25,1828
319,25,1595
320,25,1789
321,25,1952
322,25,1943
323,25,1590
324,25,1660
325,25,1749
326,25,1306
327,25,1648
328,25,1856
329,25,2198
330,25,1905
331,25,1412
332,25,1809
333,25,1667
334,25,1803
335,25,1863
336,25,1850
337,25,1829
338,25,1917
339,25,1810
340,25,2084
341,25,1725
342,25,1925
343,25,1838
344,25,1665
345,25,1867
346,25,1726
347,25,1689
348,25,1718
349,25,1982
350,25,1728
351,25,1555
352,25,1574
353,25,1673
354,25,1435
355,25,1770
356,25,1659
357,25,1488
358,25,1937
359,25,1599
360,25,1495
361,25,1881
362,25,1771
363,25,1371
364,25,1855
365,25,1418
366,25,2053
367,25,1766
368,25,1610
369,25,1613
370,25,1604
371,25,1938
372,25,1650
373,25,1913
374,25,1800
375,25,2004
376,25,2018
377,25,1794
378,25,1916
379,25,2274
380,25,1757
381,25,1718
382,25,1589
383,25,1611
384,25,1720
385,25,1864
386,25,1749
387,25,2044
388,25,1737
389,25,1854
390,25,1921
391,25,1503
392,25,1845
393,25,1717
394,25,1887
395,25,1842
396,25,1596
397,25,1608
398,25,1728
399,25,1786
400,25,1759
401,25,1948
402,25,1590
403,25,2138
404,25,1703
405,25,1877
406,25,1973
407,25,1512
408,25,1601
409,25,1842
410,25,2125
411,25,1865
412,25,1626
413,25,1613
414,25,1762
415,25,1696
416,25,1888
417,25,1732
418,25,1910
419,25,2040
420,25,1608
421,25,1838
422,25,1747
423,25,1700
424,25,1621
425,25,1813
426,25,1927
427,25,1801
428,25,1723
429,25,1902
430,25,1624
431,25,1608
432,25,1461
433,25,1988
434,25,1399
435,25,1726
436,25,1873
437,25,1901
438,25,1595
439,25,1740
440,25,1880
441,25,1743
442,25,1671
443,25,1577
444,25,1952
445,25,1411
446,25,1494
447,25,1979
448,25,1839
449,25,1785
450,25,1745
451,25,1902
452,25,1751
453,25,2026
454,25,1688
455,25,1859
456,25,1799
457,25,1237
458,25,1579
459,25,1746
460,25,1519
461,25,2009
462,25,1590
463,25,1780
464,25,1868
465,25,1875
466,25,2006
467,25,1664
468,25,1699
469,25,1548
470,25,1463
471,25,1968
472,25,1808
473,25,1863
474,25,2093
475,25,1676
476,25,1582
477,25,1652
478,25,1674
479,25,1826
480,25,2016
481,25,1598
482,25,1641
483,25,1666
484,25,2064
485,25,1690
486,25,1703
487,25,1571
488,25,1882
489,25,1681
490,25,1850
491,25,1765
492,25,2067
493,25,1806
494,25,2113
495,25,1683
496,25,1544
497,25,1691
498,25,1659
499,25,1462
500,25,1797
