iteration_number,party_number,lowest_samples
1,18,4490
2,18,4764
3,18,4589
4,18,4108
5,18,4404
6,18,4426
7,18,4325
8,18,4211
9,18,4417
10,18,4470
11,18,4149
12,18,4245
13,18,4260
14,18,4477
15,18,4376
16,18,4368
17,18,4220
18,18,4264
19,18,4556
20,18,4307
21,18,4387
22,18,4333
23,18,4125
24,18,4368
25,18,4599
26,18,4378
27,18,4377
28,18,4078
29,18,4084
30,18,4474
31,18,4384
32,18,4534
33,18,4335
34,18,4219
35,18,4591
36,18,4288
37,18,4520
38,18,4217
39,18,4490
40,18,4267
41,18,4403
42,18,4404
43,18,4380
44,18,4409
45,18,4349
46,18,4297
47,18,4526
48,18,4415
49,18,4336
50,18,4436
51,18,4448
52,18,4272
53,18,4490
54,18,4320
55,18,4381
56,18,4456
57,18,4581
58,18,4323
59,18,4576
60,18,4225
61,18,4176
62,18,4460
63,18,4616
64,18,4639
65,18,4426
66,18,4259
67,18,4553
68,18,4275
69,18,4420
70,18,4370
71,18,4380
72,18,4055
73,18,4541
74,18,4332
75,18,4495
76,18,4545
77,18,4404
78,18,4512
79,18,4401
80,18,4505
81,18,4616
82,18,4176
83,18,4612
84,18,4522
85,18,4476
86,18,3994
87,18,4062
88,18,4293
89,18,4428
90,18,4214
91,18,4358
92,18,4505
93,18,4257
94,18,4204
95,18,4546
96,18,4314
97,18,4143
98,18,4595
99,18,4401
100,18,4362
101,18,4647
102,18,4130
103,18,4625
104,18,4362
105,18,4491
106,18,4304
107,18,4517
108,18,4362
109,18,4662
110,18,4305
111,18,4049
112,18,4240
113,18,4537
114,18,4177
115,18,4248
116,18,4497
117,18,4421
118,18,4479
119,18,4392
120,18,4386
121,18,3996
122,18,4259
123,18,4420
124,18,4346
125,18,4251
126,18,4348
127,18,4386
128,18,4339
129,18,4223
130,18,4213
131,18,4109
132,18,4410
133,18,4025
134,18,4169
135,18,4307
136,18,4266
137,18,4077
138,18,4589
139,18,4579
140,18,4419
141,18,4649
142,18,4309
143,18,4462
144,18,4189
145,18,3935
146,18,4201
147,18,4561
148,18,4551
149,18,4326
150,18,4215
151,18,4039
152,18,4607
153,18,4125
154,18,4576
155,18,4125
156,18,4469
157,18,4822
158,18,4245
159,18,4666
160,18,4233
161,18,4332
162,18,4660
163,18,4256
164,18,4189
165,18,4485
166,18,4177
167,18,4414
168,18,4410
169,18,4363
170,18,4156
171,18,4176
172,18,4602
173,18,4104
174,18,4689
175,18,4470
176,18,4417
177,18,4250
178,18,4060
179,18,4145
180,18,4228
181,18,4384
182,18,3984
183,18,4594
184,18,4278
185,18,4120
186,18,3989
187,18,4494
188,18,4363
189,18,4439
190,18,4515
191,18,4663
192,18,4355
193,18,4513
194,18,4088
195,18,4199
196,18,4442
197,18,4622
198,18,4275
199,18,4605
200,18,4418
201,18,4690
202,18,4337
203,18,4466
204,18,4082
205,18,4484
206,18,4271
207,18,4567
208,18,4648
209,18,4527
210,18,4295
211,18,4598
212,18,4372
213,18,4055
214,18,4529
215,18,4399
216,18,4256
217,18,4015
218,18,4496
219,18,4487
220,18,4669
221,18,4257
222,18,4387
223,18,4380
224,18,4324
225,18,4114
226,18,4350
227,18,3912
228,18,3943
229,18,4546
230,18,4528
231,18,4268
232,18,4196
233,18,4647
234,18,4182
235,18,4430
236,18,4177
237,18,4274
238,18,4124
239,18,4247
240,18,4269
241,18,4694
242,18,4446
243,18,4280
244,18,4154
245,18,4298
246,18,4420
247,18,4244
248,18,4528
249,18,4636
250,18,4441
251,18,3871
252,18,4511
253,18,4146
254,18,4606
255,18,4181
256,18,4218
257,18,4130
258,18,4075
259,18,4347
260,18,4256
261,18,3971
262,18,4532
263,18,4700
264,18,4350
265,18,4365
266,18,4352
267,18,4329
268,18,4473
269,18,4324
270,18,4499
271,18,4389
272,18,4610
273,18,4378
274,18,4704
275,18,4167
276,18,4223
277,18,4512
278,18,4135
279,18,4261
280,18,4384
281,18,4215
282,18,4370
283,18,3935
284,18,4684
285,18,4506
286,18,4242
287,18,4465
288,18,4339
289,18,4339
290,18,4609
291,18,4267
292,18,4236
293,18,4585
294,18,4672
295,18,4328
296,18,4484
297,18,4522
298,18,4555
299,18,4429
300,18,4295
301,18,4436
302,18,4037
303,18,4397
304,18,4797
305,18,4315
306,18,4417
307,18,4322
308,18,4112
309,18,4475
310,18,4278
311,18,4348
312,18,4132
313,18,4407
314,18,4221
315,18,4413
316,18,4344
317,18,4290
318,18,4541
319,18,4358
320,18,4174
321,18,4384
322,18,4186
323,18,4621
324,18,4465
325,18,4120
326,18,4027
327,18,4766
328,18,4342
329,18,4381
330,18,4266
331,18,4335
332,18,4264
333,18,4218
334,18,3847
335,18,4152
336,18,4198
337,18,4231
338,18,4234
339,18,4468
340,18,4348
341,18,4740
342,18,4370
343,18,4377
344,18,4208
345,18,4429
346,18,4387
347,18,4576
348,18,4343
349,18,4300
350,18,4443
351,18,4268
352,18,4720
353,18,4581
354,18,3914
355,18,4216
356,18,4222
357,18,4407
358,18,4416
359,18,4243
360,18,4289
361,18,4479
362,18,4371
363,18,4546
364,18,4198
365,18,4406
366,18,4147
367,18,4156
368,18,4256
369,18,4332
370,18,4696
371,18,4204
372,18,4314
373,18,4323
374,18,4439
375,18,4332
376,18,4447
377,18,4369
378,18,4025
379,18,4456
380,18,4247
381,18,4437
382,18,4556
383,18,4256
384,18,4212
385,18,4230
386,18,4296
387,18,4405
388,18,4370
389,18,4503
390,18,4698
391,18,4331
392,18,4297
393,18,4277
394,18,4813
395,18,4035
396,18,4329
397,18,4328
398,18,4227
399,18,4375
400,18,4340
401,18,4248
402,18,4430
403,18,4543
404,18,4096
405,18,4690
406,18,4352
407,18,4286
408,18,4445
409,18,4457
410,18,4560
411,18,4583
412,18,4649
413,18,4439
414,18,4500
415,18,4307
416,18,3854
417,18,4280
418,18,4403
419,18,4121
420,18,4268
421,18,4324
422,18,4266
423,18,4277
424,18,4531
425,18,4077
426,18,4192
427,18,4102
428,18,4316
429,18,4467
430,18,4009
431,18,4196
432,18,4414
433,18,4722
434,18,4219
435,18,4593
436,18,4303
437,18,4089
438,18,4488
439,18,4644
440,18,4250
441,18,4414
442,18,4286
443,18,4341
444,18,4478
445,18,4627
446,18,4235
447,18,4221
448,18,4546
449,18,4630
450,18,4157
451,18,4466
452,18,4540
453,18,4837
454,18,4217
455,18,4307
456,18,4415
457,18,4477
458,18,4430
459,18,4371
460,18,4259
461,18,4383
462,18,4384
463,18,4140
464,18,4266
465,18,4103
466,18,4154
467,18,4124
468,18,4608
469,18,4458
470,18,4475
471,18,4379
472,18,4292
473,18,4488
474,18,4581
475,18,4468
476,18,4344
477,18,4392
478,18,4550
479,18,4251
480,18,4479
481,18,4279
482,18,4359
483,18,4643
484,18,4439
485,18,4363
486,18,4252
487,18,4251
488,18,4465
489,18,4243
490,18,4162
491,18,4370
492,18,4125
493,18,4657
494,18,4495
495,18,4360
496,18,4312
497,18,4445
498,18,4369
499,18,4500
500,18,4403
