iteration_number,party_number,lowest_samples
1,12,26919
2,12,26876
3,12,26861
4,12,26766
5,12,26828
6,12,26806
7,12,26854
8,12,26817
9,12,26866
10,12,26893
11,12,26846
12,12,26756
13,12,26834
14,12,26833
15,12,26832
16,12,26746
17,12,26768
18,12,26886
19,12,26909
20,12,26680
21,12,26814
22,12,26816
23,12,26870
24,12,26773
25,12,26848
26,12,26849
27,12,26874
28,12,26767
29,12,26770
30,12,26774
31,12,26791
32,12,26921
33,12,26792
34,12,26829
35,12,26839
36,12,26793
37,12,26785
38,12,26741
39,12,26818
40,12,26833
41,12,26861
42,12,26876
43,12,26815
44,12,26830
45,12,26845
46,12,26796
47,12,26898
48,12,26821
49,12,26713
50,12,26819
51,12,26796
52,12,26859
53,12,26803
54,12,26846
55,12,26825
56,12,26774
57,12,26831
58,12,26754
59,12,26765
60,12,26864
61,12,26808
62,12,26824
63,12,26898
64,12,26888
65,12,26787
66,12,26811
67,12,26773
68,12,26753
69,12,26783
70,12,26978
71,12,26813
72,12,26859
73,12,26904
74,12,26909
75,12,26792
76,12,26813
77,12,26790
78,12,26891
79,12,26841
80,12,26806
81,12,26885
82,12,26753
83,12,26805
84,12,26962
85,12,26854
86,12,26795
87,12,26762
88,12,26803
89,12,26837
90,12,26853
91,12,26780
92,12,26811
93,12,26751
94,12,26876
95,12,26881
96,12,26810
97,12,26905
98,12,26819
99,12,26811
100,12,26800
101,12,26830
102,12,26809
103,12,26918
104,12,26749
105,12,26797
106,12,26841
107,12,26829
108,12,26782
109,12,26858
110,12,26854
111,12,26769
112,12,26801
113,12,26789
114,12,26750
115,12,26862
116,12,26850
117,12,26820
118,12,26770
119,12,26692
120,12,26822
121,12,26765
122,12,26792
123,12,26836
124,12,26798
125,12,26763
126,12,26815
127,12,26797
128,12,26744
129,12,26860
130,12,26840
131,12,26843
132,12,26755
133,12,26767
134,12,26828
135,12,26788
136,12,26874
137,12,26848
138,12,26897
139,12,26809
140,12,26868
141,12,26880
142,12,26827
143,12,26838
144,12,26833
145,12,26796
146,12,26809
147,12,26770
148,12,26957
149,12,26818
150,12,26887
151,12,26800
152,12,26800
153,12,26844
154,12,26809
155,12,26802
156,12,26908
157,12,26818
158,12,26814
159,12,26763
160,12,26764
161,12,26847
162,12,26770
163,12,26860
164,12,26901
165,12,26868
166,12,26827
167,12,26871
168,12,26764
169,12,26878
170,12,26807
171,12,26849
172,12,26744
173,12,26783
174,12,26888
175,12,26855
176,12,26845
177,12,26865
178,12,26810
179,12,26823
180,12,26832
181,12,26776
182,12,26854
183,12,26749
184,12,26764
185,12,26868
186,12,26869
187,12,26794
188,12,26784
189,12,26793
190,12,26891
191,12,26832
192,12,26790
193,12,26747
194,12,26790
195,12,26887
196,12,26835
197,12,26874
198,12,26836
199,12,26907
200,12,26859
201,12,26822
202,12,26788
203,12,26841
204,12,26792
205,12,26824
206,12,26908
207,12,26802
208,12,26769
209,12,26782
210,12,26879
211,12,26858
212,12,26840
213,12,26789
214,12,26770
215,12,26911
216,12,26800
217,12,26743
218,12,26875
219,12,26785
220,12,26814
221,12,26839
222,12,26821
223,12,26949
224,12,26793
225,12,26900
226,12,26883
227,12,26847
228,12,26801
229,12,26824
230,12,26818
231,12,26832
232,12,26904
233,12,26833
234,12,26875
235,12,26800
236,12,26802
237,12,26762
238,12,26839
239,12,26823
240,12,26839
241,12,26774
242,12,26869
243,12,26823
244,12,26859
245,12,26793
246,12,26874
247,12,26839
248,12,26824
249,12,26845
250,12,26924
251,12,26841
252,12,26849
253,12,26837
254,12,26845
255,12,26858
256,12,26810
257,12,26776
258,12,26879
259,12,26830
260,12,26807
261,12,26792
262,12,26839
263,12,26804
264,12,26791
265,12,26800
266,12,26851
267,12,26817
268,12,26792
269,12,26752
270,12,26873
271,12,26828
272,12,26836
273,12,26884
274,12,26800
275,12,26798
276,12,26829
277,12,26795
278,12,26847
279,12,26792
280,12,26793
281,12,26851
282,12,26747
283,12,26894
284,12,26822
285,12,26844
286,12,26849
287,12,26864
288,12,26825
289,12,26798
290,12,26862
291,12,26841
292,12,26819
293,12,26795
294,12,26805
295,12,26748
296,12,26784
297,12,26823
298,12,26791
299,12,26845
300,12,26886
301,12,26805
302,12,26808
303,12,26906
304,12,26879
305,12,26852
306,12,26893
307,12,26880
308,12,26809
309,12,26762
310,12,26730
311,12,26816
312,12,26753
313,12,26837
314,12,26738
315,12,26814
316,12,26810
317,12,26886
318,12,26852
319,12,26822
320,12,26778
321,12,26868
322,12,26832
323,12,26751
324,12,26865
325,12,26868
326,12,26796
327,12,26867
328,12,26809
329,12,26848
330,12,26884
331,12,26796
332,12,26865
333,12,26871
334,12,26830
335,12,26781
336,12,26792
337,12,26828
338,12,26824
339,12,26848
340,12,26857
341,12,26802
342,12,26909
343,12,26814
344,12,26847
345,12,26856
346,12,26864
347,12,26800
348,12,26851
349,12,26869
350,12,26849
351,12,26819
352,12,26849
353,12,26899
354,12,26864
355,12,26792
356,12,26836
357,12,26887
358,12,26801
359,12,26873
360,12,26842
361,12,26882
362,12,26881
363,12,26780
364,12,26912
365,12,26845
366,12,26751
367,12,26753
368,12,26824
369,12,26801
370,12,26813
371,12,26837
372,12,26816
373,12,26812
374,12,26830
375,12,26881
376,12,26797
377,12,26814
378,12,26755
379,12,26817
380,12,26822
381,12,26833
382,12,26755
383,12,26763
384,12,26803
385,12,26893
386,12,26843
387,12,26867
388,12,26819
389,12,26886
390,12,26868
391,12,26988
392,12,26828
393,12,26814
394,12,26845
395,12,26952
396,12,26816
397,12,26795
398,12,26801
399,12,26808
400,12,26879
401,12,26901
402,12,26855
403,12,26788
404,12,26802
405,12,26914
406,12,26851
407,12,26777
408,12,26820
409,12,26873
410,12,26737
411,12,26910
412,12,26840
413,12,26862
414,12,26862
415,12,26919
416,12,26826
417,12,26790
418,12,26787
419,12,26839
420,12,26863
421,12,26855
422,12,26848
423,12,26841
424,12,26819
425,12,26769
426,12,26844
427,12,26781
428,12,26825
429,12,26805
430,12,26724
431,12,26781
432,12,26784
433,12,26758
434,12,26814
435,12,26850
436,12,26885
437,12,26919
438,12,26860
439,12,26702
440,12,26809
441,12,26800
442,12,26885
443,12,26899
444,12,26793
445,12,26859
446,12,26836
447,12,26859
448,12,26830
449,12,26891
450,12,26794
451,12,26821
452,12,26875
453,12,26848
454,12,26875
455,12,26875
456,12,26876
457,12,26888
458,12,26832
459,12,26871
460,12,26841
461,12,26774
462,12,26826
463,12,26834
464,12,26768
465,12,26908
466,12,26858
467,12,26739
468,12,26815
469,12,26858
470,12,26851
471,12,26848
472,12,26822
473,12,26825
474,12,26778
475,12,26786
476,12,26840
477,12,26948
478,12,26791
479,12,26885
480,12,26798
481,12,26777
482,12,26849
483,12,26811
484,12,26757
485,12,26819
486,12,26784
487,12,26832
488,12,26911
489,12,26862
490,12,26793
491,12,26881
492,12,26863
493,12,26724
494,12,26797
495,12,26801
496,12,26845
497,12,26816
498,12,26839
499,12,26851
500,12,26879
