iteration_number,party_number,lowest_samples
1,25,1661
2,25,1651
3,25,1600
4,25,2130
5,25,1824
6,25,1748
7,25,1889
8,25,1842
9,25,1702
10,25,1592
11,25,2017
12,25,1820
13,25,1641
14,25,1628
15,25,2022
16,25,1527
17,25,1636
18,25,1699
19,25,1705
20,25,1721
21,25,1573
22,25,1546
23,25,1965
24,25,1559
25,25,1769
26,25,1579
27,25,1979
28,25,1711
29,25,1964
30,25,1726
31,25,1752
32,25,1783
33,25,2082
34,25,1830
35,25,1823
36,25,1753
37,25,1720
38,25,1865
39,25,1536
40,25,1957
41,25,1938
42,25,1565
43,25,1682
44,25,1897
45,25,1679
46,25,1816
47,25,1605
48,25,1772
49,25,1642
50,25,1754
51,25,2171
52,25,2049
53,25,1655
54,25,1748
55,25,1802
56,25,1657
57,25,2096
58,25,1382
59,25,1775
60,25,1463
61,25,1674
62,25,1838
63,25,1762
64,25,1837
65,25,1693
66,25,1969
67,25,1548
68,25,1867
69,25,1740
70,25,1836
71,25,1731
72,25,1608
73,25,1546
74,25,2017
75,25,1311
76,25,1909
77,25,1807
78,25,1840
79,25,1475
80,25,1484
81,25,1834
82,25,1961
83,25,2041
84,25,1775
85,25,1479
86,25,1527
87,25,1702
88,25,1969
89,25,1921
90,25,1307
91,25,1786
92,25,1952
93,25,1529
94,25,1778
95,25,1601
96,25,1893
97,25,1699
98,25,2037
99,25,1884
100,25,1994
101,25,1824
102,25,1941
103,25,1600
104,25,1609
105,25,1635
106,25,1691
107,25,1740
108,25,1591
109,25,1920
110,25,1478
111,25,1947
112,25,2148
113,25,1549
114,25,1296
115,25,1846
116,25,1754
117,25,2056
118,25,1770
119,25,1740
120,25,1777
121,25,1579
122,25,1805
123,25,2010
124,25,1727
125,25,1717
126,25,1756
127,25,2070
128,25,1512
129,25,1725
130,25,1613
131,25,1625
132,25,1263
133,25,1821
134,25,1459
135,25,1817
136,25,1853
137,25,1434
138,25,1631
139,25,1664
140,25,1745
141,25,1580
142,25,1782
143,25,2028
144,25,1967
145,25,1892
146,25,1937
147,25,1946
148,25,1753
149,25,1662
150,25,1964
151,25,1766
152,25,1487
153,25,1584
154,25,1991
155,25,1949
156,25,1672
157,25,2160
158,25,1773
159,25,2024
160,25,1463
161,25,1821
162,25,1757
163,25,1956
164,25,1742
165,25,1553
166,25,1826
167,25,1795
168,25,2060
169,25,1531
170,25,1848
171,25,1709
172,25,1355
173,25,1675
174,25,1526
175,25,1770
176,25,1629
177,25,2110
178,25,1473
179,25,1639
180,25,1913
181,25,1870
182,25,1774
183,25,1597
184,25,2075
185,25,1538
186,25,1863
187,25,2061
188,25,1464
189,25,1948
190,25,1737
191,25,1737
192,25,1885
193,25,1734
194,25,1775
195,25,1524
196,25,1868
197,25,1489
198,25,1623
199,25,1720
200,25,1456
201,25,1545
202,25,1961
203,25,1819
204,25,1771
205,25,1952
206,25,1811
207,25,1574
208,25,1819
209,25,1837
210,25,1654
211,25,1800
212,25,1451
213,25,1775
214,25,1846
215,25,1748
216,25,1762
217,25,1798
218,25,1573
219,25,1941
220,25,1692
221,25,1888
222,25,1563
223,25,1659
224,25,1523
225,25,1783
226,25,1767
227,25,1674
228,25,1930
229,25,1835
230,25,1528
231,25,1789
232,25,1748
233,25,1844
234,25,1699
235,25,1658
236,25,1815
237,25,1986
238,25,1463
239,25,1941
240,25,2114
241,25,2054
242,25,1572
243,25,1721
244,25,1561
245,25,1942
246,25,2011
247,25,1651
248,25,1878
249,25,1798
250,25,1940
251,25,1808
252,25,1633
253,25,1882
254,25,1765
255,25,1749
256,25,1880
257,25,1514
258,25,1759
259,25,1790
260,25,1959
261,25,1991
262,25,1583
263,25,1640
264,25,1956
265,25,1780
266,25,1381
267,25,1901
268,25,1782
269,25,1582
270,25,1595
271,25,1755
272,25,1147
273,25,1228
274,25,1833
275,25,1634
276,25,1724
277,25,1530
