iteration_number,party_number,lowest_samples
1,18,4273
2,18,4304
3,18,4312
4,18,4256
5,18,4641
6,18,4539
7,18,4541
8,18,4106
9,18,4521
10,18,3932
11,18,4707
12,18,4398
13,18,4230
14,18,4123
15,18,4355
16,18,4276
17,18,4163
18,18,4602
19,18,4327
20,18,4345
21,18,4285
22,18,4266
23,18,4615
24,18,4212
25,18,4527
26,18,4373
27,18,4414
28,18,4082
29,18,4469
30,18,4454
31,18,4245
32,18,4503
33,18,4661
34,18,4308
35,18,4394
36,18,4275
37,18,4373
38,18,4047
39,18,4181
40,18,4364
41,18,4215
42,18,4043
43,18,4359
44,18,4605
45,18,4452
46,18,4307
47,18,4326
48,18,4498
49,18,4854
50,18,4571
51,18,4103
52,18,4367
53,18,4662
54,18,4144
55,18,4487
56,18,4277
57,18,4441
58,18,4564
59,18,4370
60,18,4243
61,18,4281
62,18,4200
63,18,4590
64,18,4230
65,18,4233
66,18,4659
67,18,4580
68,18,4390
69,18,4392
70,18,4431
71,18,4611
72,18,4670
73,18,4206
74,18,3907
75,18,4191
76,18,4315
77,18,4507
78,18,4381
79,18,4318
80,18,4157
81,18,4041
82,18,4534
83,18,4593
84,18,4482
85,18,4393
86,18,4279
87,18,4513
88,18,4547
89,18,4324
90,18,4436
91,18,4314
92,18,4122
93,18,4004
94,18,4294
95,18,4646
96,18,4416
97,18,4487
98,18,4485
99,18,3979
100,18,4210
101,18,4568
102,18,4544
103,18,4630
104,18,4591
105,18,4400
106,18,4316
107,18,4280
108,18,4324
109,18,4609
110,18,4452
111,18,4457
112,18,4486
113,18,4370
114,18,4466
115,18,4309
116,18,4400
117,18,4508
118,18,4212
119,18,4357
120,18,4503
121,18,4599
122,18,4358
123,18,4119
124,18,4061
125,18,4408
126,18,4765
127,18,4316
128,18,4530
129,18,4181
130,18,4281
131,18,4322
132,18,4432
133,18,4358
134,18,4304
135,18,4307
136,18,4345
137,18,4516
138,18,4401
139,18,4302
140,18,4235
141,18,4458
142,18,4268
143,18,4812
144,18,4641
145,18,4457
146,18,4343
147,18,4448
148,18,4360
149,18,4181
150,18,4486
151,18,4524
152,18,4402
153,18,4175
154,18,4420
155,18,4440
156,18,4636
157,18,4369
158,18,4512
159,18,4508
160,18,4299
161,18,4470
162,18,4578
163,18,4407
164,18,4439
165,18,4517
166,18,4536
167,18,4485
168,18,4073
169,18,4356
170,18,4568
171,18,4264
172,18,4213
173,18,4281
174,18,4235
175,18,4343
176,18,4415
177,18,4123
178,18,4510
179,18,4571
180,18,4484
181,18,4536
182,18,4128
183,18,4295
184,18,4474
185,18,4369
186,18,4285
187,18,4385
188,18,4211
189,18,4354
190,18,4366
191,18,4468
192,18,4350
193,18,4360
194,18,4515
195,18,4431
196,18,4015
197,18,4090
198,18,4432
199,18,4380
200,18,4423
201,18,4277
202,18,4228
203,18,4394
204,18,4546
205,18,4606
206,18,4741
207,18,4400
208,18,4676
209,18,4151
210,18,4884
211,18,4482
212,18,4277
213,18,3970
214,18,4358
215,18,4103
216,18,4637
217,18,4363
218,18,4157
219,18,4185
220,18,4700
221,18,4283
222,18,4488
223,18,4235
224,18,4457
225,18,4251
226,18,4486
227,18,4296
228,18,4526
229,18,4044
230,18,4299
231,18,4304
232,18,4272
233,18,4597
234,18,4540
235,18,4326
236,18,4189
237,18,4588
238,18,4362
239,18,4483
240,18,4328
241,18,4186
242,18,4423
243,18,4345
244,18,4261
245,18,4150
246,18,4302
247,18,4417
248,18,4479
249,18,4647
250,18,4263
251,18,4469
252,18,4210
253,18,4187
254,18,4266
255,18,4353
256,18,4290
257,18,4529
258,18,4498
259,18,4172
260,18,4342
261,18,4337
262,18,4354
263,18,4456
264,18,4463
265,18,4677
266,18,4427
267,18,4167
268,18,4192
269,18,4411
270,18,4536
271,18,4315
272,18,4423
273,18,4396
274,18,4238
275,18,4207
276,18,4103
277,18,4405
278,18,4454
279,18,4265
280,18,4370
281,18,3872
282,18,4054
283,18,4309
284,18,4543
285,18,4443
286,18,4184
287,18,4237
288,18,4368
289,18,4515
290,18,4204
291,18,4452
292,18,4354
293,18,4418
294,18,4071
295,18,4186
296,18,4537
297,18,4376
298,18,3983
299,18,4075
300,18,4208
301,18,4475
302,18,4046
303,18,4567
304,18,4398
305,18,4305
306,18,4157
307,18,4180
308,18,4137
309,18,4514
310,18,4511
311,18,4500
312,18,4564
313,18,4355
314,18,4593
315,18,4676
316,18,4463
317,18,4324
318,18,4472
319,18,4359
320,18,4333
321,18,4069
322,18,4251
323,18,4434
324,18,4304
325,18,4488
326,18,3919
327,18,4098
328,18,4309
329,18,4773
330,18,4347
331,18,4415
332,18,4569
333,18,4572
334,18,4369
335,18,4414
336,18,4573
337,18,4447
338,18,4245
339,18,4203
340,18,4080
341,18,4558
342,18,4296
343,18,3996
344,18,4281
345,18,4649
346,18,4747
347,18,4121
348,18,4092
349,18,4671
350,18,4153
351,18,4455
352,18,4303
353,18,4511
354,18,4279
355,18,4580
356,18,4160
357,18,4362
358,18,4477
359,18,4174
360,18,4453
361,18,4146
362,18,4584
363,18,4416
364,18,4484
365,18,4577
366,18,4148
367,18,3971
368,18,4254
369,18,4318
370,18,4290
371,18,4203
372,18,4607
373,18,4341
374,18,4448
375,18,4645
376,18,4466
377,18,3979
378,18,4140
379,18,4173
380,18,4425
381,18,4212
382,18,4098
383,18,4181
384,18,4512
385,18,4162
386,18,4127
387,18,4200
388,18,4424
389,18,4022
390,18,4048
391,18,4326
392,18,4577
393,18,4331
394,18,4182
395,18,4015
396,18,4046
397,18,4404
398,18,4239
399,18,4371
400,18,4455
401,18,3856
402,18,4267
403,18,4511
404,18,4400
405,18,4321
406,18,4062
407,18,4165
408,18,4463
409,18,4455
410,18,4232
411,18,4437
412,18,4509
413,18,4490
414,18,4223
415,18,4851
416,18,4389
417,18,4299
418,18,4096
419,18,4444
420,18,4183
421,18,4160
422,18,4494
423,18,4269
424,18,4447
425,18,4482
426,18,4453
427,18,4283
428,18,4010
429,18,4679
430,18,4765
431,18,4380
432,18,4514
433,18,4472
434,18,4047
435,18,4334
436,18,4686
437,18,3884
438,18,4535
439,18,4380
440,18,4410
441,18,4505
442,18,4452
443,18,3810
444,18,3915
445,18,4613
446,18,4337
447,18,4306
448,18,4159
449,18,4408
450,18,4328
451,18,4206
452,18,4401
453,18,4331
454,18,4348
455,18,4393
456,18,4454
457,18,4473
458,18,4729
459,18,4182
460,18,4209
461,18,4452
462,18,4601
463,18,4615
464,18,4349
465,18,4391
466,18,4028
467,18,4128
468,18,4267
469,18,4099
470,18,4279
471,18,4420
472,18,4548
473,18,4206
474,18,4573
475,18,4554
476,18,4453
477,18,4307
478,18,4342
479,18,4246
480,18,4465
481,18,4003
482,18,4345
483,18,4516
484,18,4462
485,18,4401
486,18,4294
487,18,4209
488,18,4435
489,18,4265
490,18,4070
491,18,4541
492,18,4286
493,18,4632
494,18,4298
495,18,4152
496,18,4404
497,18,3923
498,18,4266
499,18,4255
500,18,4746
