iteration_number,party_number,lowest_samples
1,11,3040
2,11,3159
3,11,3148
4,11,3620
5,11,1795
6,11,3549
7,11,2467
8,11,2931
9,11,3326
10,11,2514
11,11,3105
12,11,3533
13,11,2951
14,11,2369
15,11,2558
16,11,3062
17,11,1795
18,11,3479
19,11,2536
20,11,3890
21,11,3124
22,11,3770
23,11,3452
24,11,2391
25,11,2394
26,11,2873
27,11,3066
28,11,2696
29,11,2220
30,11,2935
31,11,2821
32,11,3330
33,11,2483
34,11,3548
35,11,2134
36,11,2385
37,11,4025
38,11,3688
39,11,2867
40,11,3088
41,11,3321
42,11,3377
43,11,2264
44,11,2797
45,11,2609
46,11,3374
47,11,3123
48,11,3870
49,11,3301
50,11,2048
51,11,2508
52,11,3587
53,11,3361
54,11,2780
55,11,3859
56,11,2836
57,11,2251
58,11,2564
59,11,3750
60,11,2759
61,11,3999
62,11,3238
63,11,3626
64,11,3539
65,11,2701
66,11,1588
67,11,3548
68,11,2820
69,11,2131
70,11,2993
71,11,2730
72,11,2700
73,11,3376
74,11,2016
75,11,4090
76,11,2094
77,11,2529
78,11,3400
79,11,3246
80,11,1606
81,11,3553
82,11,2926
83,11,3268
84,11,3103
85,11,3370
86,11,3600
87,11,3036
88,11,3048
89,11,3220
90,11,4257
91,11,2369
92,11,3022
93,11,3277
94,11,3057
95,11,2705
96,11,2574
97,11,2995
98,11,3145
99,11,3407
100,11,2826
101,11,3741
102,11,3094
103,11,2807
104,11,3745
105,11,3656
106,11,2539
107,11,2657
108,11,2776
109,11,3078
110,11,2264
111,11,3483
112,11,2726
113,11,2963
114,11,3152
115,11,3263
116,11,4080
117,11,3444
118,11,2347
119,11,2346
120,11,3466
121,11,2740
122,11,3686
123,11,2753
124,11,1851
125,11,3135
126,11,2017
127,11,2224
128,11,3628
129,11,2997
130,11,2882
131,11,3639
132,11,3313
133,11,3045
134,11,2964
135,11,2388
136,11,3192
137,11,2804
138,11,3707
139,11,4044
140,11,4458
141,11,3532
142,11,2980
143,11,2690
144,11,2465
145,11,3162
146,11,2157
147,11,2572
148,11,3109
149,11,3305
150,11,2779
151,11,2410
152,11,2850
153,11,3276
154,11,3563
155,11,3794
156,11,2867
157,11,2883
158,11,2784
159,11,3358
160,11,3569
161,11,3453
162,11,4242
163,11,2742
164,11,3225
165,11,3104
166,11,3609
167,11,3345
168,11,2136
169,11,3522
170,11,2774
171,11,2761
172,11,2997
173,11,2031
174,11,3251
175,11,2938
176,11,3694
177,11,2801
178,11,4521
179,11,3827
180,11,3451
181,11,3488
182,11,3642
183,11,2321
184,11,2062
185,11,3986
186,11,3731
187,11,3965
188,11,2628
189,11,3294
190,11,3481
191,11,2806
192,11,2978
193,11,2281
194,11,2808
195,11,3351
196,11,2910
197,11,2383
198,11,2503
199,11,3495
200,11,3631
201,11,3882
202,11,3427
203,11,3912
204,11,3074
205,11,3514
206,11,2714
207,11,2851
208,11,3375
209,11,4349
210,11,1683
211,11,2627
212,11,4092
213,11,2851
214,11,3292
215,11,2925
216,11,2489
217,11,3257
218,11,3615
219,11,2681
220,11,1978
221,11,2748
222,11,2910
223,11,3201
224,11,2915
225,11,3375
226,11,3652
227,11,3060
228,11,2551
229,11,2842
230,11,3242
231,11,3518
232,11,4256
233,11,2900
234,11,2530
235,11,3200
236,11,4115
237,11,3037
238,11,3718
239,11,2641
240,11,2701
241,11,2376
242,11,4436
243,11,2447
244,11,2878
245,11,2734
246,11,3875
247,11,3534
248,11,2271
249,11,2995
250,11,2873
251,11,3207
252,11,3028
253,11,2658
254,11,3232
255,11,2782
256,11,4126
257,11,3945
258,11,3378
259,11,3515
260,11,3506
261,11,2938
262,11,3232
263,11,3945
264,11,2959
265,11,2764
266,11,3006
267,11,2906
268,11,2288
269,11,2500
270,11,3234
271,11,2440
272,11,2606
273,11,3350
274,11,3048
275,11,3213
276,11,4299
277,11,3975
278,11,2631
279,11,3072
280,11,3116
281,11,2441
282,11,2568
283,11,3725
284,11,3119
285,11,2571
286,11,2486
287,11,3033
288,11,2779
289,11,1942
290,11,2061
291,11,4391
292,11,3569
293,11,3177
294,11,2336
295,11,2662
296,11,3776
297,11,2984
298,11,3620
299,11,2869
300,11,3214
301,11,3326
302,11,3469
303,11,3033
304,11,3815
305,11,3068
306,11,3282
307,11,2259
308,11,2825
309,11,3615
310,11,3493
311,11,3614
312,11,3303
313,11,3859
314,11,3654
315,11,2960
316,11,2661
317,11,3837
318,11,3380
319,11,3000
320,11,1708
321,11,3157
322,11,3150
323,11,2687
324,11,3300
325,11,2436
326,11,3263
327,11,3493
328,11,3675
329,11,3310
330,11,1559
331,11,4109
332,11,2523
333,11,3637
334,11,3403
335,11,2078
336,11,3219
337,11,3997
338,11,3847
339,11,2293
340,11,2859
341,11,2777
342,11,2335
343,11,1927
344,11,3535
345,11,3162
346,11,2899
347,11,2493
348,11,3790
349,11,3832
350,11,2518
351,11,3552
352,11,3970
353,11,3136
354,11,3725
355,11,2646
356,11,2780
357,11,2870
358,11,3393
359,11,2791
360,11,3198
361,11,3161
362,11,3160
363,11,3062
364,11,3610
365,11,2707
366,11,3607
367,11,3677
368,11,3811
369,11,3020
370,11,3095
371,11,2632
372,11,2499
373,11,3413
374,11,3191
375,11,2452
376,11,3410
377,11,3296
378,11,3381
379,11,3335
380,11,3945
381,11,2994
382,11,2618
383,11,3988
384,11,2672
385,11,2867
386,11,3135
387,11,1936
388,11,2216
389,11,2740
390,11,3125
391,11,3547
392,11,3687
393,11,2852
394,11,3194
