iteration_number,party_number,lowest_samples
1,2,13141
1,3,3338
1,4,3474
1,6,2576
1,9,12701
1,11,3040
1,12,1624
1,15,2269
1,19,2595
1,22,7473
1,24,1531
2,2,13336
2,3,3336
2,4,3227
2,6,3133
2,9,12519
2,11,3159
2,12,1716
2,15,2834
2,19,3488
2,22,7345
2,24,1611
3,2,12895
3,3,2956
3,4,3509
3,6,2558
3,9,12946
3,11,3148
3,12,1329
3,15,2150
3,19,3266
3,22,7453
3,24,1838
4,2,13320
4,3,3005
4,4,3258
4,6,3024
4,9,12563
4,11,3620
4,12,1424
4,15,2570
4,19,2312
4,22,7907
4,24,1783
5,2,13282
5,3,2534
5,4,4326
5,6,2084
5,9,12723
5,11,1795
5,12,1526
5,15,1946
5,19,1825
5,22,7847
5,24,1223
6,2,13465
6,3,2835
6,4,3313
6,6,2257
6,9,12721
6,11,3549
6,12,1466
6,15,2558
6,19,2181
6,22,7540
6,24,1414
7,2,13125
7,3,2440
7,4,4010
7,6,1934
7,9,12671
7,11,2467
7,12,1173
7,15,2450
7,19,2443
7,22,7500
7,24,1690
8,2,13021
8,3,2456
8,4,3698
8,6,2531
8,9,12447
8,11,2931
8,12,1571
8,15,2160
8,19,1944
8,22,7851
8,24,1383
9,2,13210
9,3,3442
9,4,3112
9,6,2533
9,9,12598
9,11,3326
9,12,1619
9,15,2246
9,19,2121
9,22,7160
9,24,1756
10,2,13202
10,3,2821
10,4,3966
10,6,2150
10,9,12667
10,11,2514
10,12,1296
10,15,2514
10,19,2558
10,22,7288
10,24,1640
11,2,13189
11,3,2877
11,4,3590
11,6,2365
11,9,12629
11,11,3105
11,12,1201
11,15,1986
11,19,2328
11,22,7045
11,24,1547
12,2,13126
12,3,2994
12,4,3298
12,6,2470
12,9,12590
12,11,3533
12,12,1633
12,15,2353
12,19,2831
12,22,7462
12,24,2124
13,2,13096
13,3,2759
13,4,3702
13,6,2133
13,9,12589
13,11,2951
13,12,1173
13,15,2570
13,19,2114
13,22,7520
13,24,1398
14,2,13026
14,3,2874
14,4,3962
14,6,2284
14,9,12629
14,11,2369
14,12,1136
14,15,2477
14,19,2368
14,22,7631
14,24,1471
15,2,12948
15,3,2847
15,4,3924
15,6,2417
15,9,12538
15,11,2558
15,12,1565
15,15,2529
15,19,2741
15,22,7412
15,24,2080
16,2,13350
16,3,3051
16,4,3621
16,6,2581
16,9,12428
16,11,3062
16,12,1281
16,15,2740
16,19,2569
16,22,7431
16,24,1776
17,2,13318
17,3,2310
17,4,4427
17,6,2140
17,9,12442
17,11,1795
17,12,785
17,15,2421
17,19,1890
17,22,7340
17,24,1393
18,2,13069
18,3,3244
18,4,3351
18,6,2774
18,9,12572
18,11,3479
18,12,2021
18,15,2377
18,19,2739
18,22,7487
18,24,1859
19,2,13220
19,3,3042
19,4,3779
19,6,2318
19,9,12596
19,11,2536
19,12,1033
19,15,2346
19,19,2563
19,22,7572
19,24,1578
20,2,13291
20,3,2540
20,4,3090
20,6,2425
20,9,12403
20,11,3890
20,12,1431
20,15,2463
20,19,2154
20,22,7609
20,24,1703
21,2,13086
21,3,2584
21,4,3578
21,6,1911
21,9,12760
21,11,3124
21,12,1124
21,15,2273
21,19,2223
21,22,7595
21,24,1473
22,2,13071
22,3,3125
22,4,3172
22,6,2518
22,9,12907
22,11,3770
22,12,1560
22,15,2228
22,19,2005
22,22,7570
22,24,2003
23,2,13205
23,3,3172
23,4,3353
23,6,2827
23,9,12694
23,11,3452
23,12,2163
23,15,2301
23,19,3080
23,22,7458
23,24,2140
24,2,12976
24,3,3068
24,4,3567
24,6,2751
24,9,12289
24,11,2391
24,12,1764
24,15,2463
24,19,3170
24,22,7365
24,24,2467
25,2,13222
25,3,3003
25,4,3820
25,6,2308
25,9,12586
25,11,2394
25,12,1426
25,15,2445
25,19,2654
25,22,7500
25,24,1708
26,2,13150
26,3,2838
26,4,3738
26,6,2322
26,9,12568
26,11,2873
26,12,1495
26,15,2355
26,19,2637
26,22,7436
26,24,2273
27,2,13589
27,3,2827
