iteration_number,party_number,lowest_samples
1,2,906
1,4,2618
1,5,2785
1,6,2584
1,11,3926
1,16,2587
1,22,1107
1,24,4111
2,2,1562
2,4,2878
2,5,2403
2,6,2088
2,11,4551
2,16,2615
2,22,1572
2,24,4554
3,2,1411
3,4,2813
3,5,2234
3,6,2234
3,11,4741
3,16,2536
3,22,1210
3,24,4155
4,2,994
4,4,2807
4,5,2691
4,6,2251
4,11,2723
4,16,3248
4,22,986
4,24,4459
5,2,1275
5,4,2802
5,5,2721
5,6,2623
5,11,3093
5,16,3125
5,22,1509
5,24,4363
6,2,1115
6,4,2737
6,5,2595
6,6,2612
6,11,3425
6,16,2987
6,22,1140
6,24,4311
7,2,1157
7,4,2827
7,5,2430
7,6,2617
7,11,3646
7,16,2956
7,22,1479
7,24,4362
8,2,1051
8,4,2316
8,5,1957
8,6,1789
8,11,5372
8,16,2283
8,22,1184
8,24,4262
9,2,1144
9,4,2616
9,5,2109
9,6,2190
9,11,5026
9,16,2428
9,22,1456
9,24,4605
10,2,2268
10,4,2842
10,5,2946
10,6,2892
10,11,3145
10,16,3107
10,22,1310
10,24,4248
11,2,1055
11,4,2652
11,5,2608
11,6,2297
11,11,2963
11,16,3154
11,22,1326
11,24,4361
12,2,1307
12,4,2665
12,5,2422
12,6,2400
12,11,4552
12,16,2610
12,22,1422
12,24,4368
13,2,1186
13,4,2722
13,5,2511
13,6,2538
13,11,3765
13,16,2865
13,22,1832
13,24,4495
14,2,1362
14,4,2837
14,5,3003
14,6,2940
14,11,3023
14,16,3165
14,22,2111
14,24,4336
15,2,1356
15,4,2502
15,5,2358
15,6,2180
15,11,4860
15,16,2489
15,22,1544
15,24,4308
16,2,1188
16,4,2449
16,5,1955
16,6,2264
16,11,5223
16,16,2373
16,22,1342
16,24,4213
17,2,1635
17,4,2692
17,5,2567
17,6,2363
17,11,4635
17,16,2416
17,22,1558
17,24,4348
18,2,905
18,4,2726
18,5,2297
18,6,1922
18,11,5241
18,16,2281
18,22,1419
18,24,4300
19,2,1180
19,4,2599
19,5,2237
19,6,2188
19,11,5256
19,16,2334
19,22,1239
19,24,4753
20,2,1322
20,4,2587
20,5,2077
20,6,2199
20,11,5632
20,16,2228
20,22,1400
20,24,4304
21,2,1342
21,4,2886
21,5,2534
21,6,2609
21,11,3804
21,16,2873
21,22,1426
21,24,4306
22,2,1035
22,4,2624
22,5,2645
22,6,2515
22,11,4269
22,16,2695
22,22,1510
22,24,4457
23,2,1399
23,4,2995
23,5,2686
23,6,2521
23,11,3937
23,16,2826
