iteration_number,party_number,lowest_samples
1,1,28688
1,3,29347
1,7,27984
1,8,29365
1,9,27910
1,10,20947
1,12,22641
1,13,26627
1,14,26046
1,15,29851
1,17,20860
1,18,24770
1,20,28453
1,21,29529
1,23,29697
1,25,23112
1,26,29582
2,1,28678
2,3,29376
2,7,27990
2,8,29348
2,9,27946
2,10,20873
2,12,22652
2,13,26622
2,14,26186
2,15,29856
2,17,20864
2,18,24864
2,20,28434
2,21,29610
2,23,29638
2,25,23092
2,26,29571
3,1,28730
3,3,29443
3,7,27992
3,8,29367
3,9,28008
3,10,20887
3,12,22609
3,13,26591
3,14,26156
3,15,29839
3,17,20855
3,18,24832
3,20,28424
3,21,29584
3,23,29711
3,25,22998
3,26,29635
4,1,28659
4,3,29439
4,7,28022
4,8,29439
4,9,28006
4,10,20971
4,12,22582
4,13,26729
4,14,26006
4,15,29885
4,17,20915
4,18,24921
4,20,28446
4,21,29573
4,23,29691
4,25,23018
4,26,29607
5,1,28685
5,3,29399
5,7,28040
5,8,29459
5,9,27943
5,10,20823
5,12,22730
5,13,26695
5,14,26003
5,15,29874
5,17,20878
5,18,24883
5,20,28448
5,21,29519
5,23,29667
5,25,23041
5,26,29562
6,1,28719
6,3,29408
6,7,28039
6,8,29368
6,9,28032
6,10,20882
6,12,22482
6,13,26706
6,14,26047
6,15,29856
6,17,21002
6,18,24880
6,20,28437
6,21,29537
6,23,29618
6,25,23183
6,26,29574
7,1,28672
7,3,29393
7,7,28020
7,8,29420
7,9,27924
7,10,20957
7,12,22697
7,13,26697
7,14,26144
7,15,29874
7,17,20927
7,18,24864
7,20,28459
7,21,29530
7,23,29593
7,25,23030
7,26,29634
8,1,28658
8,3,29453
8,7,27974
8,8,29469
8,9,27988
8,10,20984
8,12,22520
8,13,26756
8,14,26081
8,15,29891
8,17,20869
8,18,24805
8,20,28417
8,21,29537
8,23,29645
8,25,23269
8,26,29687
9,1,28684
9,3,29446
9,7,28062
9,8,29423
9,9,28020
9,10,21000
9,12,22709
9,13,26628
9,14,26115
9,15,29894
9,17,20941
9,18,24986
9,20,28404
9,21,29590
9,23,29633
