Subject Number,Subject Name,Valid Votes
0,No valid vote,1001097
1,Hnutie za prosperujúce Česko + Slovensko,	30292
2,Sociálna demokracia,7121
3,Združenie robotníkov Slovenska,211321
4,"Maďarská koalícia (MKDH, ESWS, MOS)",292936
5,"Spoločná voľba-koalícia SDĽ, SDSS, SZS, HP SR",299496
6,Demokratická únia Slovenska,246444
7,"Strana proti korupcii-za poriadok, prácu a peniaze pre všetkých slušných občanov",37929
8,Združenie pre republiku Republikáni,1410
9,Demokratická strana,98555
11,Nové Slovensko,38369
12,Komunistická strana Slovenska,78419
13,Rómska občianska iniciatíva v Slovenskej republike,19542
14,Slovenská národná strana,155359
15,Kresťanskodemokratické hnutie,289987
16,Hnutie za demokratické Slovensko a Roľnícka strana Slovenska,1005488
17,Kresťanská sociálna únia Slovenska,59217
18,Reálna sociálnodemokratická strana Slovákov,3573
