Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,,,
0,No valid vote,1282721
1,Strana zelených na Slovensku,28 365
2,Slovenská demokratická a kresťanská únia,433 953
3,Strana za demokratické práva občanov,6 716
4,Strana demokratickej ľavice,39 163
5,SMER,387 100
6,Hnutie za demokratické Slovensko,560 691
7,Občianska konzervatívna strana,9 422
8,Hnutie za demokraciu,94 324
9,Politické hnutie Rómov na Slovensku - ROMA,6 234
10,Komunistická strana Slovenska,181 872
11,Strana maďarskej koalície - Magyar Koalíció Pártja,321 069
12,Kresťanskodemokratické hnutie,237 202
14,Ľudová strana,763
15,Združenie robotníkov Slovenska,15 755
16,Ľavicový blok,6 441
17,Aliancia nového občana,230 309
18,Béčko - Revolučné robotnícka strana,2 818
19,Žena a rodina,12 646
20,Sociálnodemokratická alternatíva,51 649
21,Slovenská národná jednota,4 548
22,Nezávislá občianska strana nezamestnaných a poškodených,26 205
23,Slovenská národná strana,95 633
24,Robotnícka strana ROSA,8 699
25,Rómska občianska iniciatíva SR,8 420
26,Pravá Slovenská národná strana,105 084
