Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov
0,No valid vote,1838725
1,Zelení,7860
2,Kresťanskodemokratické hnutie,225361
3,Strana demokratickej ľavice,4844
4,Slovenská národná strana,116420
5,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,218537
6,Sloboda a Solidarita,150266
7,PRÁVO A SPRAVODLIVOSŤ,10604
8,NÁŠ KRAJ,4859
9,Strana zelených,10832
10,Ľudová strana Naše Slovensko,40460
11,SMER - sociálna demokracia,1134280
12,Zmena zdola; Demokratická únia Slovenska,33155
13,Národ a Spravodlivosť - naša strana,16234
14,Komunistická strana Slovenska,18583
15,Strana Rómskej únie na Slovensku,2891
16,MOST - HÍD,176088
17,99 % - občiansky hlas,40488
18,Ľudová strana - Hnutie za demokratické Slovensko,23772
19,STRANA +1 HLAS,779
20,Robíme to pre deti - SF,8908
21,Obyčajní ľudia,4320
22,Slovenská demokratická a kresťanská únia - Demokratická strana,155744
23,Strana občanov Slovenska,3836
24,Strana maďarskej koalície - Magyar Koalíció Pártja,109483
25,STRANA SLOBODNÉ SLOVO - NORY MOJSEJOVEJ,31159
26,Strana živnostníkov Slovenska,3963
