samples,diff
1,0.0032
2,0.0072
3,0.0128
4,0.0192
5,0.024
6,0.0252
7,0.0268
8,0.0284
9,0.0308
10,0.0396
11,0.042
12,0.054
13,0.0668
14,0.0736
15,0.0856
16,0.086
17,0.0908
18,0.0956
19,0.1024
20,0.1084
21,0.1108
22,0.1248
23,0.1312
24,0.1356
25,0.1412
26,0.146
27,0.1476
28,0.1512
29,0.1556
30,0.16
31,0.1672
32,0.1776
33,0.1816
34,0.1852
35,0.19
36,0.1924
37,0.1956
38,0.202
39,0.2064
40,0.2096
41,0.2156
42,0.2228
43,0.2264
44,0.234
45,0.246
46,0.2488
47,0.252
48,0.258
49,0.262
50,0.266
51,0.2716
52,0.284
53,0.2912
54,0.2952
55,0.3016
56,0.306
57,0.3092
58,0.3168
59,0.3252
60,0.3324
61,0.34
62,0.3456
63,0.352
64,0.3552
65,0.3644
66,0.3728
67,0.3764
68,0.394
69,0.3988
70,0.4052
71,0.412
72,0.4216
73,0.4352
74,0.4404
75,0.4452
76,0.4484
77,0.4524
78,0.4616
79,0.4664
80,0.4784
81,0.4916
82,0.5068
83,0.5104
84,0.52
85,0.5344
86,0.54
87,0.5476
88,0.5564
89,0.566
90,0.5708
91,0.5764
92,0.5816
93,0.5896
94,0.5928
95,0.6004
96,0.6168
97,0.624
98,0.6288
99,0.6472
100,0.6588
101,0.6644
102,0.6764
103,0.6836
104,0.6972
105,0.7108
106,0.7176
107,0.7324
108,0.7424
109,0.7496
110,0.7588
111,0.7608
112,0.7676
113,0.7788
114,0.7884
115,0.7948
116,0.8048
117,0.8092
118,0.8204
119,0.834
120,0.8444
121,0.856
122,0.8684
123,0.8732
124,0.8816
125,0.8888
126,0.9012
127,0.9188
128,0.9328
129,0.95
130,0.9552
131,0.9768
132,0.9964
133,1.0068
134,1.0232
135,1.0352
136,1.0512
137,1.056
138,1.0772
139,1.0904
140,1.1088
141,1.1128
142,1.1236
143,1.1304
144,1.1388
145,1.1612
146,1.184
147,1.1992
148,1.2232
149,1.2488
150,1.2624
151,1.296
152,1.3052
153,1.3164
154,1.3304
155,1.34
156,1.3612
157,1.3668
158,1.3804
159,1.3932
160,1.4096
161,1.4384
162,1.4636
163,1.4848
164,1.4908
165,1.518
166,1.5344
167,1.5564
168,1.574
169,1.5804
170,1.5916
171,1.606
172,1.6224
173,1.6488
174,1.6572
175,1.6712
176,1.6824
177,1.7012
178,1.7316
179,1.758
180,1.7628
181,1.7708
182,1.7812
183,1.7872
184,1.8072
185,1.8232
186,1.83
187,1.8516
188,1.872
189,1.8796
190,1.9032
191,1.9292
192,1.9532
193,1.9612
194,1.9728
195,1.9808
196,1.9992
197,2.0124
198,2.0228
199,2.052
200,2.0648
201,2.0792
202,2.1012
203,2.1044
204,2.118
205,2.1348
206,2.1392
207,2.1516
208,2.1604
209,2.1736
210,2.18
211,2.192
212,2.2044
213,2.2292
214,2.2456
215,2.2648
216,2.2744
217,2.278
218,2.2832
219,2.2996
220,2.3208
221,2.336
222,2.3492
223,2.3772
224,2.3876
225,2.4024
226,2.4176
227,2.4328
228,2.4452
229,2.4504
230,2.4544
231,2.4648
232,2.4764
233,2.4828
234,2.486
235,2.4956
236,2.5044
237,2.5076
238,2.512
239,2.5204
240,2.536
241,2.544
242,2.5532
243,2.5636
244,2.5672
245,2.5748
246,2.586
247,2.6008
248,2.614
249,2.6172
250,2.6312
251,2.6324
252,2.6348
253,2.6456
254,2.6496
255,2.6616
256,2.6632
257,2.6684
258,2.6716
259,2.6884
260,2.6928
261,2.716
262,2.7196
263,2.7296
264,2.7364
265,2.7392
266,2.7424
267,2.7448
268,2.75
269,2.7616
270,2.7632
271,2.774
272,2.7796
273,2.7852
274,2.79
275,2.8044
276,2.8068
277,2.8084
278,2.8128
279,2.8208
280,2.8228
281,2.8328
282,2.8348
283,2.8376
284,2.8448
285,2.8476
286,2.8532
287,2.854
288,2.8628
289,2.8656
290,2.8696
291,2.8732
292,2.8752
293,2.8764
294,2.8788
295,2.8832
296,2.8856
297,2.8868
298,2.89
299,2.896
300,2.906
301,2.9076
302,2.9124
303,2.9144
304,2.9172
305,2.9184
306,2.92
307,2.92
308,2.922
309,2.9228
310,2.9248
311,2.9312
312,2.9384
313,2.9428
314,2.9516
315,2.9564
316,2.9596
317,2.9616
318,2.9724
319,2.9732
320,2.9756
321,2.9772
322,2.9816
323,2.9884
324,2.9904
325,2.9924
326,2.9948
327,3.0056
328,3.0072
329,3.0132
330,3.016
331,3.0216
332,3.0228
333,3.0244
334,3.034
335,3.0392
336,3.0412
337,3.046
338,3.0464
339,3.05
340,3.0576
341,3.062
342,3.0628
343,3.0656
344,3.0704
345,3.0744
346,3.0768
347,3.0808
348,3.0852
349,3.0908
350,3.0928
351,3.0952
352,3.0972
353,3.0992
354,3.104
355,3.1136
356,3.118
357,3.1276
358,3.1308
359,3.1388
360,3.1408
361,3.1432
362,3.1432
363,3.1452
364,3.1524
365,3.1572
366,3.1756
367,3.1824
368,3.1936
369,3.1992
370,3.2192
371,3.2284
372,3.2392
373,3.2572
374,3.2648
375,3.2744
376,3.2884
377,3.294
378,3.3008
379,3.3076
380,3.316
381,3.3316
382,3.3464
383,3.3552
384,3.3672
385,3.378
386,3.3844
387,3.392
388,3.4084
389,3.4204
390,3.4308
391,3.4424
392,3.45
393,3.4636
394,3.4672
395,3.4828
396,3.5096
397,3.5264
398,3.5328
399,3.5484
400,3.5624
401,3.58
402,3.6
403,3.6064
404,3.6176
405,3.6332
406,3.6636
407,3.6716
408,3.7016
409,3.714
410,3.7364
411,3.7484
412,3.7596
413,3.7672
414,3.7916
415,3.8068
416,3.8252
417,3.8404
418,3.8464
419,3.8768
420,3.8872
421,3.8976
422,3.922
423,3.9532
424,3.9648
425,3.9824
426,4.0076
427,4.0144
428,4.0432
429,4.0608
430,4.0828
431,4.09
432,4.1164
433,4.1308
434,4.1456
435,4.166
436,4.1868
437,4.1968
438,4.2116
439,4.2548
440,4.2652
441,4.2776
442,4.2936
443,4.3028
444,4.3112
445,4.328
446,4.3576
447,4.3704
448,4.386
449,4.4156
450,4.4336
451,4.452
452,4.472
453,4.4908
454,4.5044
455,4.5156
456,4.5372
457,4.5608
458,4.5656
459,4.5828
460,4.596
461,4.6044
462,4.6216
463,4.636
464,4.6396
465,4.6496
466,4.678
467,4.6928
468,4.7148
469,4.7308
470,4.7448
471,4.7732
472,4.7764
473,4.7852
474,4.7964
475,4.8032
476,4.8088
477,4.8132
478,4.8236
479,4.8548
480,4.862
481,4.8748
482,4.8852
483,4.8924
484,4.8952
485,4.9084
486,4.9144
487,4.9292
488,4.948
489,4.9624
490,4.9808
491,4.9956
492,5.0032
493,5.0052
494,5.0156
495,5.02
496,5.028
497,5.046
498,5.06
499,5.0688
500,5.078
501,5.092
502,5.108
503,5.1272
504,5.1336
505,5.1436
506,5.1504
507,5.1576
508,5.1764
509,5.1892
510,5.2072
511,5.2208
512,5.2248
513,5.2428
514,5.2488
515,5.2616
516,5.266
517,5.2788
518,5.296
519,5.3012
520,5.3108
521,5.3228
522,5.3324
523,5.3344
524,5.35
525,5.3552
526,5.3588
527,5.3712
528,5.382
529,5.3876
530,5.3932
531,5.3996
532,5.4056
533,5.4104
534,5.4288
535,5.4332
536,5.4372
537,5.4436
538,5.446
539,5.4496
540,5.4552
541,5.46
542,5.4656
543,5.4832
544,5.486
545,5.4936
546,5.5016
547,5.5044
548,5.516
549,5.528
550,5.536
551,5.5424
552,5.5508
553,5.5556
554,5.5628
555,5.5748
556,5.5824
557,5.5892
558,5.5936
559,5.598
560,5.604
561,5.61
562,5.6236
563,5.636
564,5.6376
565,5.642
566,5.6512
567,5.6508
568,5.656
569,5.6636
570,5.6664
571,5.67
572,5.6724
573,5.678
574,5.6868
575,5.6948
576,5.6988
577,5.7032
578,5.71
579,5.714
580,5.7212
581,5.7252
582,5.7296
583,5.7352
584,5.7388
585,5.7452
586,5.7492
587,5.7528
588,5.758
589,5.7616
590,5.7692
591,5.7748
592,5.7788
593,5.7848
594,5.7896
595,5.7908
596,5.798
597,5.802
598,5.8044
599,5.8104
600,5.8152
601,5.8172
602,5.8212
603,5.8228
604,5.8272
605,5.8312
606,5.8356
607,5.8412
608,5.8476
609,5.8488
610,5.8532
611,5.8564
612,5.8608
613,5.8624
614,5.8672
615,5.8712
616,5.8728
617,5.8816
618,5.8872
619,5.89
620,5.8944
621,5.8984
622,5.9024
623,5.9056
624,5.9128
625,5.9184
626,5.922
627,5.9236
628,5.9268
629,5.9296
630,5.9364
631,5.9416
632,5.9452
633,5.946
634,5.9488
635,5.9504
636,5.954
637,5.9568
638,5.9604
639,5.9648
640,5.968
641,5.972
642,5.9748
643,5.9784
644,5.9816
645,5.9856
646,5.9872
647,5.99
648,5.9928
649,5.9944
650,5.9984
651,6.0016
652,6.0052
653,6.01
654,6.0132
655,6.0148
656,6.0188
657,6.0224
658,6.026
659,6.026
660,6.0264
661,6.0284
662,6.0332
663,6.036
664,6.0388
665,6.04
666,6.0428
667,6.0452
668,6.048
669,6.052
670,6.0536
671,6.0556
672,6.0608
673,6.062
674,6.0628
675,6.0688
676,6.0728
677,6.0736
678,6.0748
679,6.0772
680,6.08
681,6.0808
682,6.0824
683,6.0832
684,6.084
685,6.0856
686,6.0896
687,6.0904
688,6.0924
689,6.0964
690,6.098
691,6.0996
692,6.102
693,6.104
694,6.1088
695,6.1096
696,6.1108
697,6.1116
698,6.1148
699,6.1176
700,6.1204
701,6.1216
702,6.1252
703,6.1284
704,6.13
705,6.1312
706,6.1324
707,6.1332
708,6.1352
709,6.1372
710,6.1376
711,6.1388
712,6.1404
713,6.144
714,6.1456
715,6.1472
716,6.148
717,6.15
718,6.1516
719,6.154
720,6.1552
721,6.156
722,6.1572
723,6.1624
724,6.1644
725,6.1652
726,6.166
727,6.1676
728,6.17
729,6.1716
730,6.1724
731,6.1732
732,6.174
733,6.1768
734,6.1776
735,6.1812
736,6.1828
737,6.184
738,6.1848
739,6.1852
740,6.1856
741,6.1864
742,6.1876
743,6.1884
744,6.1916
745,6.1932
746,6.1944
747,6.1956
748,6.198
749,6.1996
750,6.2
751,6.2
752,6.2012
753,6.2036
754,6.2056
755,6.2084
756,6.2096
757,6.2112
758,6.2124
759,6.2152
760,6.2164
761,6.2172
762,6.2176
763,6.2188
764,6.2192
765,6.2212
766,6.2224
767,6.2248
768,6.226
769,6.2272
770,6.2284
771,6.2296
772,6.2316
773,6.232
774,6.2324
775,6.2328
776,6.2332
777,6.2344
778,6.2352
779,6.2356
780,6.238
781,6.2388
782,6.2408
783,6.242
784,6.2428
785,6.244
786,6.2464
787,6.2472
788,6.2492
789,6.252
790,6.2536
791,6.254
792,6.2564
793,6.2592
794,6.2608
795,6.2624
796,6.2632
797,6.2644
798,6.266
799,6.2676
800,6.2684
801,6.2696
802,6.27
803,6.2736
804,6.276
805,6.2776
806,6.28
807,6.2832
808,6.2852
809,6.2876
810,6.3076
811,6.3088
812,6.3096
813,6.3128
814,6.3164
815,6.3184
816,6.3204
817,6.322
818,6.322
819,6.3264
820,6.3292
821,6.3312
822,6.3356
823,6.336
824,6.3388
825,6.3412
826,6.3452
827,6.3488
828,6.3532
829,6.3548
830,6.3568
831,6.3596
832,6.3628
833,6.366
834,6.3708
835,6.3736
836,6.3752
837,6.3792
838,6.382
839,6.3828
840,6.3848
841,6.3888
842,6.3932
843,6.3952
844,6.398
845,6.4036
846,6.4076
847,6.4128
848,6.4156
849,6.4184
850,6.422
851,6.4272
852,6.4344
853,6.4392
854,6.446
855,6.45
856,6.454
857,6.4584
858,6.4608
859,6.464
860,6.4676
861,6.47
862,6.4736
863,6.4812
864,6.4852
865,6.4908
866,6.498
867,6.5012
868,6.5036
869,6.5068
870,6.5084
871,6.5128
872,6.5164
873,6.5184
874,6.5236
875,6.5264
876,6.5316
877,6.5384
878,6.542
879,6.5468
880,6.5488
881,6.5572
882,6.564
883,6.5668
884,6.574
885,6.5788
886,6.5816
887,6.5848
888,6.5892
889,6.5944
890,6.6012
891,6.6056
892,6.6112
893,6.6144
894,6.6188
895,6.6232
896,6.6272
897,6.634
898,6.636
899,6.6412
900,6.6436
901,6.6504
902,6.6568
903,6.6604
904,6.664
905,6.6696
906,6.674
907,6.6796
908,6.6852
909,6.6904
910,6.6956
911,6.6976
912,6.7032
913,6.7084
914,6.714
915,6.7168
916,6.7216
917,6.7276
918,6.7312
919,6.734
920,6.7384
921,6.7448
922,6.7488
923,6.7544
924,6.76
925,6.7664
926,6.7692
927,6.774
928,6.7792
929,6.7816
930,6.7828
931,6.7884
932,6.794
933,6.7968
934,6.8016
935,6.8056
936,6.81
937,6.8168
938,6.8208
939,6.8308
940,6.836
941,6.84
942,6.8472
943,6.8516
944,6.8548
945,6.8572
946,6.86
947,6.8648
948,6.8676
949,6.8744
950,6.8808
951,6.8828
952,6.8856
953,6.8896
954,6.8948
955,6.902
956,6.9072
957,6.9128
958,6.9184
959,6.9236
960,6.9296
961,6.9348
962,6.938
963,6.9456
964,6.9524
965,6.96
966,6.9664
967,6.9716
968,6.9772
969,6.9804
970,6.9868
971,6.9916
972,6.9956
973,7.0004
974,7.006
975,7.0112
976,7.0168
977,7.0252
978,7.0304
979,7.0368
980,7.0412
981,7.0444
982,7.0524
983,7.0564
984,7.0644
985,7.0708
986,7.078
987,7.0824
988,7.0884
989,7.0992
990,7.1048
991,7.1068
992,7.1144
993,7.1224
994,7.128
995,7.1316
996,7.1376
997,7.1444
998,7.1524
999,7.1548
1000,7.1608
1001,7.164
1002,7.1716
1003,7.1764
1004,7.1808
1005,7.1892
1006,7.1992
1007,7.2036
1008,7.2072
1009,7.2132
1010,7.22
1011,7.2272
1012,7.2328
1013,7.238
1014,7.2428
1015,7.2492
1016,7.2556
1017,7.2612
1018,7.2684
1019,7.2736
1020,7.2764
1021,7.2808
1022,7.288
1023,7.2952
1024,7.3032
1025,7.3084
1026,7.3172
1027,7.3244
1028,7.3276
1029,7.3304
1030,7.3344
1031,7.3392
1032,7.3444
1033,7.3456
1034,7.352
1035,7.358
1036,7.3628
1037,7.3672
1038,7.3728
1039,7.3816
1040,7.3892
1041,7.3932
1042,7.3964
1043,7.4036
1044,7.4108
1045,7.414
1046,7.418
1047,7.4248
1048,7.4312
1049,7.4368
1050,7.442
1051,7.4464
1052,7.4528
1053,7.4556
1054,7.4596
1055,7.468
1056,7.4732
1057,7.4768
1058,7.4816
1059,7.4864
1060,7.49
1061,7.4912
1062,7.4956
1063,7.5012
1064,7.5068
1065,7.514
1066,7.5188
1067,7.5244
1068,7.5304
1069,7.5328
1070,7.5372
1071,7.5416
1072,7.5464
1073,7.552
1074,7.5572
1075,7.5608
1076,7.564
1077,7.568
1078,7.576
1079,7.5804
1080,7.584
1081,7.588
1082,7.5904
1083,7.5956
1084,7.6016
1085,7.6064
1086,7.6088
1087,7.6132
1088,7.6152
1089,7.6184
1090,7.6216
1091,7.6252
1092,7.6316
1093,7.6356
1094,7.638
1095,7.642
1096,7.6472
1097,7.6488
1098,7.6516
1099,7.6568
1100,7.6584
1101,7.6628
1102,7.6688
1103,7.6732
1104,7.6756
1105,7.678
1106,7.6824
1107,7.6872
1108,7.6924
1109,7.6976
1110,7.704
1111,7.706
1112,7.7112
1113,7.7148
1114,7.7192
1115,7.7224
1116,7.7264
1117,7.732
1118,7.734
1119,7.7348
1120,7.7368
1121,7.7356
1122,7.7396
1123,7.7436
1124,7.746
1125,7.7488
1126,7.7536
1127,7.7564
1128,7.76
1129,7.7624
1130,7.764
1131,7.7688
1132,7.772
1133,7.7772
1134,7.778
1135,7.7824
1136,7.786
1137,7.7908
1138,7.7912
1139,7.7924
1140,7.7944
1141,7.7976
1142,7.7988
1143,7.8012
1144,7.8056
1145,7.8108
1146,7.814
1147,7.8164
1148,7.8204
1149,7.822
1150,7.8248
1151,7.8288
1152,7.832
1153,7.8344
1154,7.838
1155,7.8408
1156,7.8452
1157,7.8468
1158,7.8488
1159,7.8528
1160,7.8556
1161,7.8572
1162,7.86
1163,7.8608
1164,7.8644
1165,7.866
1166,7.8688
1167,7.872
1168,7.8744
1169,7.8768
1170,7.8808
1171,7.8824
1172,7.886
1173,7.8872
1174,7.8904
1175,7.8928
1176,7.894
1177,7.896
1178,7.8964
1179,7.9
1180,7.9024
1181,7.9048
1182,7.9068
1183,7.9084
1184,7.91
1185,7.914
1186,7.9176
1187,7.9208
1188,7.9228
1189,7.9232
1190,7.9248
1191,7.9276
1192,7.9288
1193,7.9296
1194,7.9308
1195,7.934
1196,7.938
1197,7.9408
1198,7.9432
1199,7.9464
1200,7.9484
1201,7.9488
1202,7.9524
1203,7.9544
1204,7.9564
1205,7.9576
1206,7.9584
1207,7.96
1208,7.9636
1209,7.9644
1210,7.9664
1211,7.9672
1212,7.9704
1213,7.9736
1214,7.9752
1215,7.9756
1216,7.9776
1217,7.98
1218,7.9828
1219,7.9864
1220,7.9892
1221,7.9916
1222,7.994
1223,7.9976
1224,7.9992
1225,8.0016
1226,8.004
1227,8.0068
1228,8.0104
1229,8.0136
1230,8.0172
1231,8.0192
1232,8.0216
1233,8.0232
1234,8.0252
1235,8.0288
1236,8.032
1237,8.0344
1238,8.0364
1239,8.0376
1240,8.0408
1241,8.0456
1242,8.05
1243,8.054
1244,8.0576
1245,8.058
