samples,proportion,diff
1,50,0.0
1,60,0.0
1,70,0.0
1,80,0.0
1,90,0.0
2,50,0.0
2,60,0.0
2,70,0.0
2,80,0.0
2,90,0.0
3,50,0.0
3,60,0.0
3,70,0.0
3,80,0.0
3,90,0.0
4,50,0.0
4,60,0.0
4,70,0.0
4,80,0.0
4,90,0.0
5,50,0.0
5,60,0.0
5,70,0.0
5,80,0.0
5,90,0.0
6,50,0.0
6,60,0.0
6,70,0.0
6,80,0.0
6,90,0.0
7,50,0.0
7,60,0.0
7,70,0.0
7,80,0.0
7,90,0.002204585537918871
8,50,0.0
8,60,0.0
8,70,0.0
8,80,0.001763668430335097
8,90,0.009479717813051146
9,50,0.0
9,60,0.0
9,70,0.002204585537918871
9,80,0.010361552028218694
9,90,0.018077601410934743
10,50,0.0
10,60,0.001763668430335097
10,70,0.009700176366843035
10,80,0.016975308641975308
10,90,0.019400352733686066
11,50,0.001763668430335097
11,60,0.001763668430335097
11,70,0.010361552028218694
11,80,0.016975308641975308
11,90,0.018738977072310405
12,50,0.003527336860670194
12,60,0.011022927689594356
12,70,0.016975308641975308
12,80,0.01763668430335097
12,90,0.019400352733686066
13,50,0.012566137566137567
13,60,0.010361552028218694
13,70,0.016975308641975308
13,80,0.018738977072310405
13,90,0.019400352733686066
14,50,0.02072310405643739
14,60,0.01829805996472663
14,70,0.016975308641975308
14,80,0.018738977072310405
14,90,0.019400352733686066
15,50,0.02601410934744268
15,60,0.01829805996472663
15,70,0.016975308641975308
15,80,0.019400352733686066
15,90,0.019400352733686066
16,50,0.033950617283950615
16,60,0.027998236331569663
16,70,0.017416225749559082
16,80,0.018738977072310405
16,90,0.019400352733686066
17,50,0.033950617283950615
17,60,0.02667548500881834
17,70,0.01829805996472663
17,80,0.019400352733686066
17,90,0.019400352733686066
18,50,0.033950617283950615
18,60,0.033950617283950615
18,70,0.01829805996472663
18,80,0.019400352733686066
18,90,0.019400352733686066
19,50,0.033950617283950615
19,60,0.033950617283950615
19,70,0.019620811287477953
19,80,0.019400352733686066
19,90,0.022486772486772486
20,50,0.033950617283950615
20,60,0.033950617283950615
20,70,0.019620811287477953
20,80,0.019400352733686066
20,90,0.022486772486772486
21,50,0.033950617283950615
21,60,0.033950617283950615
21,70,0.027116402116402115
21,80,0.019400352733686066
21,90,0.022486772486772486
22,50,0.033950617283950615
22,60,0.033950617283950615
22,70,0.029100529100529102
22,80,0.022486772486772486
22,90,0.022486772486772486
23,50,0.033950617283950615
23,60,0.033950617283950615
23,70,0.02976190476190476
23,80,0.022486772486772486
23,90,0.02601410934744268
24,50,0.033950617283950615
24,60,0.033950617283950615
24,70,0.03637566137566138
24,80,0.022486772486772486
24,90,0.02601410934744268
25,50,0.033950617283950615
25,60,0.033950617283950615
25,70,0.0394620811287478
25,80,0.025573192239858905
25,90,0.02601410934744268
26,50,0.033950617283950615
26,60,0.033950617283950615
26,70,0.0394620811287478
26,80,0.027336860670194002
26,90,0.026455026455026457
27,50,0.033950617283950615
27,60,0.033950617283950615
27,70,0.0394620811287478
27,80,0.02689594356261023
27,90,0.026455026455026457
28,50,0.033950617283950615
28,60,0.033950617283950615
28,70,0.0394620811287478
28,80,0.025573192239858905
28,90,0.026455026455026457
29,50,0.033950617283950615
29,60,0.037037037037037035
29,70,0.04254850088183421
29,80,0.027336860670194002
29,90,0.026455026455026457
30,50,0.033950617283950615
30,60,0.0376984126984127
30,70,0.04254850088183421
30,80,0.027336860670194002
30,90,0.026455026455026457
31,50,0.033950617283950615
31,60,0.037037037037037035
31,70,0.04254850088183421
31,80,0.034611992945326284
31,90,0.026455026455026457
32,50,0.033950617283950615
32,60,0.0376984126984127
32,70,0.04254850088183421
32,80,0.03505291005291006
32,90,0.026455026455026457
33,50,0.037037037037037035
33,60,0.037037037037037035
33,70,0.04254850088183421
33,80,0.034832451499118164
33,90,0.026455026455026457
34,50,0.040123456790123455
34,60,0.04056437389770723
34,70,0.04254850088183421
34,80,0.03615520282186949
34,90,0.026455026455026457
35,50,0.040123456790123455
35,60,0.0412257495590829
35,70,0.04254850088183421
35,80,0.037477954144620816
35,90,0.02954144620811288
36,50,0.040123456790123455
36,60,0.0412257495590829
36,70,0.04254850088183421
36,80,0.04343033509700177
36,90,0.02954144620811288
37,50,0.040123456790123455
37,60,0.0412257495590829
37,70,0.04254850088183421
37,80,0.04343033509700177
37,90,0.03284832451499117
38,50,0.040123456790123455
38,60,0.04078483245149912
38,70,0.04254850088183421
38,80,0.04343033509700177
38,90,0.03461199294532628
39,50,0.04320987654320988
