samples,proportion,diff
1,50,0.00357142857142854
1,60,0.0034391534391534097
1,70,0.0032627865961199
1,80,0.0035273368606701704
1,90,0.0034832451499117803
2,50,0.004761904761904729
2,60,0.0049823633156966095
2,70,0.00480599647266311
2,80,0.00489417989417986
2,90,0.0052028218694885
3,50,0.00800264550264548
3,60,0.0079585537918871
3,70,0.00809082892416223
3,80,0.008046737213403859
3,90,0.008046737213403859
4,50,0.00802469135802467
4,60,0.00802469135802467
4,70,0.00802469135802467
4,80,0.0089285714285714
4,90,0.008752204585537899
5,50,0.00906084656084654
5,60,0.00906084656084654
5,70,0.00910493827160492
5,80,0.00901675485008817
5,90,0.008928571428571409
6,50,0.009876543209876519
6,60,0.009876543209876519
6,70,0.00932539682539681
6,80,0.00928130511463844
6,90,0.009457671957671939
7,50,0.010185185185185169
7,60,0.010052910052910029
7,70,0.01009700176366842
7,80,0.00967813051146383
7,90,0.0100749559082892
8,50,0.01018518518518516
8,60,0.01018518518518516
8,70,0.010383597883597861
8,80,0.01011904761904758
8,90,0.01157407407407404
9,50,0.01067019400352732
9,60,0.01049382716049381
9,70,0.01119929453262784
9,80,0.011794532627865931
9,90,0.013007054673721288
10,50,0.01221340388007052
10,60,0.01276455026455021
10,70,0.01397707231040562
10,80,0.014285714285714249
10,90,0.0149470899470899
11,50,0.01399911816578479
11,60,0.013734567901234531
11,70,0.01554232804232801
11,80,0.01631393298059962
11,90,0.01600529100529097
12,50,0.013977072310405611
12,60,0.015123456790123429
12,70,0.01582892416225747
12,80,0.01640211640211635
12,90,0.01675485008818338
13,50,0.01589506172839502
13,60,0.01527777777777774
13,70,0.01613756613756611
13,80,0.01754850088183418
13,90,0.017548500881834177
14,50,0.01688712522045851
14,60,0.01644620811287473
14,70,0.01622574955908286
14,80,0.01827601410934741
14,90,0.017614638447971738
15,50,0.017724867724867678
15,60,0.01677689594356257
15,70,0.01730599647266311
15,80,0.0184744268077601
15,90,0.01779100529100525
16,50,0.01803350970017633
16,60,0.01785714285714281
16,70,0.01785714285714283
16,80,0.017967372134038772
16,90,0.01757054673721337
17,50,0.01851851851851848
17,60,0.0186728395061728
17,70,0.01840828924162253
17,80,0.01827601410934741
17,90,0.01774691358024687
18,50,0.01898148148148144
18,60,0.01970899470899467
18,70,0.01805555555555552
18,80,0.01843033509700172
18,90,0.017945326278659572
19,50,0.0202380952380952
19,60,0.020414462081128702
19,70,0.01854056437389768
19,80,0.0186728395061728
19,90,0.01825396825396821
20,50,0.020943562610229234
20,60,0.020326278659611948
20,70,0.019025573192239808
20,80,0.0188712522045855
20,90,0.01832010582010577
21,50,0.02292768959435622
21,60,0.02167107583774247
21,70,0.02100970017636681
21,80,0.01997354497354493
21,90,0.02028218694885357
22,50,0.02354497354497351
22,60,0.02191358024691354
22,70,0.02136243386243384
22,80,0.02028218694885357
22,90,0.020811287477954087
23,50,0.02361111111111108
23,60,0.02286155202821867
23,70,0.02164902998236329
23,80,0.020326278659611948
23,90,0.02116402116402111
24,50,0.023985890652557282
24,60,0.02345679012345676
24,70,0.02281746031746029
24,80,0.02087742504409167
24,90,0.02244268077601404
25,50,0.02409611992945323
25,60,0.02361111111111108
25,70,0.02288359788359786
25,80,0.021141975308641932
25,90,0.02341269841269835
26,50,0.024074074074074043
26,60,0.0243606701940035
26,70,0.02305996472663136
26,80,0.02169312169312165
26,90,0.023721340388007002
27,50,0.02414021164021161
27,60,0.02438271604938269
27,70,0.023280423280423252
27,80,0.02270723104056434
27,90,0.02409611992945321
28,50,0.02416225749559079
28,60,0.02442680776014107
28,70,0.02418430335096999
28,80,0.02411816578483241
28,90,0.02539682539682535
29,50,0.025683421516754824
29,60,0.02608024691358022
29,70,0.025881834215167522
29,80,0.025859788359788322
29,90,0.027336860670193967
30,50,0.025881834215167508
30,60,0.026521164021164
30,70,0.02716049382716046
30,80,0.0263007054673721
30,90,0.027667548500881788
31,50,0.02614638447971778
31,60,0.026455026455026433
31,70,0.02817460317460313
31,80,0.027513227513227472
31,90,0.027447089947089907
32,50,0.02627865961199291
32,60,0.02702821869488533
32,70,0.02921075837742501
32,80,0.028130511463844758
32,90,0.02777777777777774
33,50,0.026653439153439117
33,60,0.02696208112874776
33,70,0.029475308641975267
33,80,0.028108465608465572
33,90,0.028439153439153403
34,50,0.026895943562610193
34,60,0.027358906525573164
34,70,0.03009259259259256
34,80,0.02859347442680772
34,90,0.028439153439153392
35,50,0.027226631393298017
35,60,0.02865961199294529
35,70,0.030577601410934706
35,80,0.029210758377425
35,90,0.029122574955908233
36,50,0.027557319223985847
36,60,0.02870370370370367
36,70,0.03099647266313929
36,80,0.02987213403880066
36,90,0.029563492063491993
37,50,0.02806437389770719
37,60,0.02998236331569662
37,70,0.031084656084656048
37,80,0.030555555555555503
37,90,0.03084215167548495
38,50,0.02852733686067015
38,60,0.029828042328042294
38,70,0.0311728395061728
38,80,0.03077601410934739
38,90,0.03179012345679006
39,50,0.028835978835978788
39,60,0.030246913580246882
39,70,0.03130511463844793
39,80,0.03152557319223981
39,90,0.03183421516754844
40,50,0.0291887125220458
40,60,0.030577601410934702
40,70,0.03167989417989414
40,80,0.03181216931216925
40,90,0.03194444444444439
41,50,0.030489417989417927
41,60,0.0309744268077601
41,70,0.03161375661375657
41,80,0.031988536155202765
41,90,0.0319223985890652
42,50,0.03205467372134034
42,60,0.031768077601410885
42,70,0.03260582010582007
42,80,0.03335537918871247
42,90,0.03249559082892411
43,50,0.03317901234567896
43,60,0.03231922398589062
43,70,0.03324514991181654
43,80,0.03456790123456786
43,90,0.03293650793650789
44,50,0.03417107583774245
44,60,0.03247354497354493
44,70,0.03328924162257492
44,80,0.03481040564373894
44,90,0.03350970017636679
45,50,0.034347442680775955
45,60,0.03282627865961195
45,70,0.033796296296296255
45,80,0.03463403880070542
45,90,0.03403880070546733
46,50,0.03443562610229271
46,60,0.033156966490299776
46,70,0.03452380952380948
46,80,0.03582451499118161
46,90,0.03412698412698408
47,50,0.0346781305114638
47,60,0.03384038800705464
47,70,0.034479717813051106
47,80,0.03668430335096997
47,90,0.03456790123456786
48,50,0.035008818342151624
48,60,0.03412698412698409
48,70,0.0354497354497354
48,80,0.03675044091710753
48,90,0.035251322751322686
49,50,0.03540564373897702
49,60,0.03474426807760137
49,70,0.036199294532627824
49,80,0.037367724867724814
49,90,0.0358465608465608
50,50,0.03589065255731917
50,60,0.03496472663139326
50,70,0.0362433862433862
50,80,0.037874779541446156
50,90,0.03714726631393293
51,50,0.036133156966490235
51,60,0.03578042328042323
51,70,0.036375661375661325
51,80,0.0387786596119929
51,90,0.037720458553791844
52,50,0.03637566137566132
52,60,0.036375661375661325
52,70,0.03692680776014105
52,80,0.03882275132275128
52,90,0.03882275132275127
53,50,0.0366181657848324
53,60,0.03725749559082888
53,70,0.03763227513227508
53,80,0.03946208112874775
53,90,0.039197530864197486
54,50,0.0365961199294532
54,60,0.0375881834215167
54,70,0.03774250440917103
54,80,0.0399691358024691
54,90,0.03959435626102289
55,50,0.03668430335096996
55,60,0.03805114638447967
55,70,0.03811728395061724
55,80,0.04071869488536152
55,90,0.04049823633156962
56,50,0.03725749559082886
56,60,0.038271604938271565
56,70,0.03880070546737208
56,80,0.04065255731922396
56,90,0.04157848324514986
57,50,0.03794091710758371
57,60,0.03913139329805992
57,70,0.039043209876543174
57,80,0.041181657848324484
57,90,0.0424823633156966
58,50,0.03858024691358019
58,60,0.03941798941798938
58,70,0.03939594356261018
58,80,0.04261463844797174
58,90,0.04296737213403876
59,50,0.03860229276895938
59,60,0.039197530864197486
59,70,0.039660493827160435
59,80,0.04303350970017632
59,90,0.04420194003527334
60,50,0.03858024691358019
60,60,0.04018959435626098
60,70,0.04025573192239853
60,80,0.04345238095238091
60,90,0.04415784832451495
61,50,0.03902116402116397
61,60,0.04067460317460314
61,70,0.04063051146384474
61,80,0.04292328042328039
61,90,0.04481922398589061
62,50,0.03952821869488532
62,60,0.04109347442680772
62,70,0.04129188712522041
62,80,0.04371693121693118
62,90,0.04514991181657844
63,50,0.0395502645502645
63,60,0.041093474426807705
63,70,0.04186507936507932
63,80,0.04470899470899467
63,90,0.046869488536155156
64,50,0.0399470899470899
64,60,0.04142416225749554
64,70,0.04190917107583769
64,80,0.04585537918871248
64,90,0.04728835978835975
65,50,0.04078483245149905
65,60,0.04201940035273364
65,70,0.04290123456790118
65,80,0.04614197530864193
65,90,0.048214285714285654
66,50,0.04173280423280417
66,60,0.04246031746031741
66,70,0.04387125220458548
66,80,0.04592151675485003
66,90,0.04876543209876537
67,50,0.04243827160493822
67,60,0.04272486772486767
67,70,0.04488536155202817
67,80,0.04753086419753082
67,90,0.05015432098765428
68,50,0.04316578483245144
68,60,0.04343033509700171
68,70,0.04532627865961195
68,80,0.04821428571428567
68,90,0.05169753086419748
69,50,0.04466490299823628
69,60,0.04534832451499113
69,70,0.04757495590828919
69,80,0.05026455026455022
69,90,0.05421075837742499
70,50,0.044664902998236285
70,60,0.04607583774250435
70,70,0.04812610229276891
70,80,0.051499118165784785
70,90,0.05476190476190472
71,50,0.04550264550264546
71,60,0.04669312169312165
71,70,0.04863315696649025
71,80,0.05171957671957668
71,90,0.05524691358024687
72,50,0.04634038800705463
72,60,0.04722222222222218
72,70,0.04944885361552022
72,80,0.05231481481481477
72,90,0.05557760141093469
73,50,0.04708994708994704
73,60,0.04691358024691354
73,70,0.05046296296296291
73,80,0.053152557319223935
73,90,0.05628306878306875
74,50,0.04764109347442675
74,60,0.04746472663139327
74,70,0.050793650793650745
74,80,0.05388007054673717
74,90,0.05630511463844793
75,50,0.047927689594356206
75,60,0.04799382716049379
75,70,0.051014109347442625
75,80,0.05454144620811283
75,90,0.056371252204585484
76,50,0.04805996472663134
76,60,0.048743386243386214
76,70,0.0526234567901234
76,80,0.054916225749559046
76,90,0.05670194003527331
77,50,0.048699294532627814
77,60,0.0502865961199294
77,70,0.05262345679012341
77,80,0.05639329805996468
77,90,0.05760582010582005
78,50,0.05092592592592589
78,60,0.051851851851851795
78,70,0.054783950617283916
78,80,0.058950617283950554
78,90,0.05987654320987649
79,50,0.05127865961199289
79,60,0.05222663139329801
79,70,0.055070546737213365
79,80,0.05941358024691353
79,90,0.060052910052910004
80,50,0.052138447971781264
80,60,0.052843915343915304
80,70,0.05652557319223982
80,80,0.05972222222222216
80,90,0.060052910052910004
81,50,0.05253527336860667
81,60,0.053461199294532594
81,70,0.057010582010581956
81,80,0.05981040564373893
81,90,0.060207231040564316
82,50,0.05339506172839502
82,60,0.053902116402116354
82,70,0.057561728395061684
82,80,0.06016313932980595
82,90,0.06095679012345674
83,50,0.05416666666666663
83,60,0.05473985890652553
83,70,0.05833333333333328
83,80,0.06016313932980595
83,90,0.06177248677248672
84,50,0.0548059964726631
84,60,0.05568783068783066
84,70,0.058267195767195724
84,80,0.060361552028218635
84,90,0.06289682539682534
85,50,0.055291005291005245
85,60,0.056834215167548455
85,70,0.05903880070546732
85,80,0.060493827160493785
85,90,0.06324955908289237
86,50,0.055687830687830654
86,60,0.05667989417989414
86,70,0.05958994708994705
86,80,0.060802469135802416
86,90,0.06335978835978831
87,50,0.05632716049382713
87,60,0.056723985890652515
87,70,0.05967813051146379
87,80,0.06197089947089942
87,90,0.06426366843033504
88,50,0.05687830687830684
88,60,0.057649911816578435
88,70,0.06117724867724863
88,80,0.0626322751322751
88,90,0.06437389770723098
89,50,0.05718694885361549
89,60,0.05884038800705464
89,70,0.062103174603174535
89,80,0.0628086419753086
89,90,0.06432980599647262
90,50,0.05780423280423278
90,60,0.059303350970017585
90,70,0.0627865961199294
90,80,0.06254409171075834
90,90,0.0639770723104056
91,50,0.05866402116402114
91,60,0.05943562610229273
91,70,0.06300705467372128
91,80,0.06316137566137561
91,90,0.06490299823633153
92,50,0.06009700176366839
92,60,0.060559964726631346
92,70,0.06366843033509695
92,80,0.06461640211640207
92,90,0.06615961199294527
93,50,0.060670194003527314
93,60,0.06080246913580243
93,70,0.06437389770723098
93,80,0.06538800705467367
93,90,0.06693121693121687
94,50,0.06108906525573189
94,60,0.06267636684303347
94,70,0.06479276895943559
94,80,0.06684303350970014
94,90,0.06803350970017631
95,50,0.061684303350969985
95,60,0.06305114638447969
95,70,0.06496913580246909
95,80,0.06699735449735447
95,90,0.06909171075837736
96,50,0.06225749559082887
96,60,0.06366843033509696
96,70,0.06507936507936504
96,80,0.06710758377425038
96,90,0.0699955908289241
97,50,0.06294091710758373
97,60,0.06441798941798937
97,70,0.0651675485008818
97,80,0.06757054673721337
97,90,0.07054673721340383
98,50,0.06327160493827158
98,60,0.06503527336860665
98,70,0.06521164021164016
98,80,0.06860670194003524
98,90,0.0711860670194003
99,50,0.0639770723104056
99,60,0.06567460317460315
99,70,0.06649029982363312
99,80,0.06900352733686062
99,90,0.07131834215167544
100,50,0.06432980599647262
100,60,0.06666666666666664
100,70,0.06677689594356258
100,80,0.06895943562610224
100,90,0.07140652557319219
101,50,0.06613756613756609
101,60,0.06677689594356256
101,70,0.0669091710758377
101,80,0.06902557319223981
101,90,0.07204585537918866
102,50,0.06666666666666662
102,60,0.06785714285714281
102,70,0.0668871252204585
102,80,0.06915784832451495
102,90,0.07248677248677245
103,50,0.0670855379188712
103,60,0.06862874779541442
103,70,0.06772486772486769
103,80,0.06986331569664898
103,90,0.07354497354497351
104,50,0.06701940035273364
104,60,0.06957671957671951
104,70,0.06796737213403875
104,80,0.07098765432098761
104,90,0.07480158730158726
105,50,0.06787918871252199
105,60,0.06973104056437385
105,70,0.06876102292768956
105,80,0.07200176366843028
105,90,0.07561728395061725
106,50,0.06913580246913575
106,60,0.06997354497354494
106,70,0.06913580246913575
106,80,0.0733024691358024
106,90,0.0764550264550264
107,50,0.06955467372134033
107,60,0.07059082892416221
107,70,0.0698192239858906
107,80,0.07356701940035268
107,90,0.07658730158730152
108,50,0.06988536155202817
108,60,0.07032627865961197
108,70,0.07094356261022923
108,80,0.07414021164021159
108,90,0.07755731922398584
109,50,0.0700176366843033
109,60,0.0704365079365079
109,70,0.07107583774250437
109,80,0.07515432098765426
109,90,0.07837301587301583
110,50,0.0704144620811287
110,60,0.07067901234567898
110,70,0.07147266313932976
110,80,0.07526455026455021
110,90,0.0790123456790123
111,50,0.07195767195767189
111,60,0.07116402116402112
111,70,0.07211199294532623
111,80,0.07559523809523805
111,90,0.07956349206349203
112,50,0.07317019400352728
112,60,0.07136243386243382
112,70,0.07292768959435622
112,80,0.07563932980599643
112,90,0.08022486772486767
113,50,0.07321428571428568
113,60,0.07261904761904758
113,70,0.07308201058201054
113,80,0.07590388007054669
113,90,0.08119488536155198
114,50,0.07367724867724862
114,60,0.07272927689594351
114,70,0.07297178130511459
114,80,0.07682980599647263
114,90,0.08159171075837737
115,50,0.07464726631393293
115,60,0.07361111111111109
115,70,0.07305996472663134
115,80,0.0774470899470899
115,90,0.0821428571428571
116,50,0.0756613756613756
116,60,0.07389770723104053
116,70,0.07325837742504406
116,80,0.07733686067019398
116,90,0.08258377425044086
117,50,0.07634479717813045
117,60,0.07429453262786592
117,70,0.07405202821869483
117,80,0.07899029982363312
117,90,0.08300264550264544
118,50,0.077689594356261
118,60,0.07539682539682538
118,70,0.07444885361552023
118,80,0.08031305114638444
118,90,0.08392857142857138
119,50,0.07857142857142854
119,60,0.07583774250440914
119,70,0.07627865961199291
119,80,0.0811728395061728
119,90,0.08439153439153435
120,50,0.07885802469135798
120,60,0.07632275132275128
120,70,0.0774691358024691
120,80,0.08148148148148145
120,90,0.08452380952380947
121,50,0.08033509700176361
121,60,0.07621252204585534
121,70,0.07808641975308638
121,80,0.08141534391534389
121,90,0.08478835978835972
122,50,0.08108465608465602
122,60,0.07753527336860665
122,70,0.07870370370370365
122,80,0.08212081128747792
122,90,0.08476631393298054
123,50,0.08145943562610224
123,60,0.07771164021164016
123,70,0.07949735449735447
123,80,0.0833333333333333
123,90,0.0848544973544973
124,50,0.0817460317460317
124,60,0.07905643738977068
124,70,0.08009259259259256
124,80,0.0837301587301587
124,90,0.08507495590828917
125,50,0.08185626102292762
125,60,0.08000440917107579
125,70,0.08088624338624337
125,80,0.08447971781305111
125,90,0.0854497354497354
126,50,0.08174603174603169
126,60,0.08090828924162251
126,70,0.08084215167548499
126,80,0.08443562610229273
126,90,0.08635361552028213
127,50,0.0822971781305114
127,60,0.08121693121693116
127,70,0.08148148148148146
127,80,0.08542768959435623
127,90,0.08723544973544968
128,50,0.08240740740740735
128,60,0.08130511463844789
128,70,0.08167989417989416
128,80,0.08622134038800702
128,90,0.0883818342151675
129,50,0.0827380952380952
129,60,0.08112874779541442
129,70,0.08207671957671954
129,80,0.0868165784832451
129,90,0.08833774250440911
130,50,0.08311287477954139
130,60,0.08223104056437384
130,70,0.08262786596119927
130,80,0.08659611992945321
130,90,0.08869047619047613
131,50,0.08295855379188707
131,60,0.08315696649029977
131,70,0.0827380952380952
131,80,0.08690476190476185
131,90,0.08952821869488531
132,50,0.08320105820105814
132,60,0.08320105820105816
132,70,0.08395061728395056
132,80,0.08708112874779536
132,90,0.09043209876543204
133,50,0.08348765432098759
133,60,0.08377425044091706
133,70,0.08518518518518513
133,80,0.08780864197530859
133,90,0.09102733686067015
134,50,0.0836419753086419
134,60,0.08386243386243382
134,70,0.0852292768959435
134,80,0.08805114638447967
134,90,0.09217372134038797
135,50,0.0836640211640211
135,60,0.08388447971781299
135,70,0.08646384479717809
135,80,0.08831569664902991
135,90,0.09287918871252202
136,50,0.08342151675485002
136,60,0.0840828924162257
136,70,0.08719135802469133
136,80,0.08908730158730152
136,90,0.09393738977072308
137,50,0.0846119929453262
137,60,0.08472222222222217
137,70,0.0878086419753086
137,80,0.08899911816578476
137,90,0.09435626102292767
138,50,0.08569223985890646
138,60,0.08611111111111105
138,70,0.08807319223985888
138,80,0.08928571428571422
138,90,0.0949074074074074
139,50,0.08613315696649024
139,60,0.08705908289241618
139,70,0.08891093474426806
139,80,0.08966049382716043
139,90,0.09479717813051144
140,50,0.0865961199294532
140,60,0.08873456790123452
140,70,0.08972663139329802
140,80,0.09025573192239852
140,90,0.09530423280423277
141,50,0.08686067019400348
141,60,0.08897707231040558
141,70,0.08979276895943558
141,80,0.09076278659611989
141,90,0.09559082892416224
142,50,0.08688271604938266
142,60,0.08924162257495585
142,70,0.09076278659611989
142,80,0.09142416225749554
142,90,0.09607583774250437
143,50,0.08754409171075832
143,60,0.08970458553791882
143,70,0.09146825396825392
143,80,0.09204144620811283
143,90,0.09682539682539679
144,50,0.08787477954144615
144,60,0.09007936507936504
144,70,0.09091710758377419
144,80,0.09316578483245144
144,90,0.09702380952380948
145,50,0.08882275132275128
145,60,0.09118165784832447
145,70,0.09157848324514985
145,80,0.0929012345679012
145,90,0.09746472663139327
146,50,0.0897707231040564
146,60,0.09166666666666662
146,70,0.09237213403880067
146,80,0.09274691358024688
146,90,0.09783950617283947
147,50,0.09111552028218692
147,60,0.09243827160493824
147,70,0.09283509700176362
147,80,0.09402557319223981
147,90,0.09861111111111107
148,50,0.0924382716049382
148,60,0.09292328042328038
148,70,0.09334215167548496
148,80,0.09495149911816575
148,90,0.09861111111111107
149,50,0.0930555555555555
149,60,0.09285714285714282
149,70,0.09356261022927684
149,80,0.0958333333333333
149,90,0.09905202821869485
150,50,0.09373897707231037
150,60,0.09325396825396821
150,70,0.09391534391534388
150,80,0.09708994708994705
150,90,0.09971340388007051
151,50,0.09448853615520278
151,60,0.0940696649029982
151,70,0.09468694885361548
151,80,0.0975970017636684
151,90,0.09953703703703701
152,50,0.09440035273368604
152,60,0.09462081128747793
152,70,0.0956349206349206
152,80,0.09768518518518512
152,90,0.10134479717813046
153,50,0.09442239858906522
153,60,0.0950617283950617
153,70,0.09614197530864194
