samples,diff
1,0.00240211148686037
2,0.0017217227682695803
3,0.00215715975984218
4,0.0033658466845855315
5,0.003964873964044594
6,0.005439784385262859
7,0.0061495163573784236
8,0.004788646548989525
9,0.004773407938959361
10,0.006778632897827077
11,0.00581031608821893
12,0.0062732005242518195
13,0.005965464527482285
14,0.006419752283154086
15,0.006460330514666116
16,0.007800098340674597
17,0.0075698239586363915
18,0.006017994713495517
19,0.006692409214287273
20,0.006055270454414472
21,0.007305615913932584
22,0.00753323352410316
23,0.006178163747808067
24,0.00874032990462907
25,0.008711501290687925
26,0.007942256749011651
27,0.007417996484207575
28,0.007615680544852322
29,0.007526325037521536
30,0.009500865161043903
31,0.010354071611269361
32,0.009645792946148937
33,0.010699841672583643
34,0.010977346772512364
35,0.01042138822825979
36,0.01230050889462237
37,0.010973496212755868
38,0.012185022892329919
39,0.01104511996718468
40,0.012777664242323043
41,0.01370367152007628
42,0.011977763016526508
43,0.014195131209024528
44,0.012411879539697347
45,0.01256582187491086
46,0.014544197602851399
47,0.012588238167612549
48,0.01432987176955103
49,0.014254325317851434
50,0.014888040184972971
51,0.015127082793900144
52,0.014046427640854635
53,0.015450024850845834
54,0.015345373551308925
55,0.013835206359845947
56,0.014494084903292553
57,0.014761560249558076
58,0.015425307195493246
59,0.015455758023780058
60,0.017104713394101648
61,0.01786252589921505
62,0.017596473949268016
63,0.01808830928112602
64,0.017792917596557347
65,0.017842008054755203
66,0.019010653380714754
67,0.017891952726689305
68,0.019149165325677193
69,0.018269146593007483
70,0.019303785929470157
71,0.019473451603620816
72,0.019261506308291904
73,0.019855736443050907
74,0.02129942099756667
75,0.021477356973812554
76,0.021517511177496704
77,0.022284768418626956
78,0.022687521837873
79,0.022026048103363643
80,0.022921417171238082
81,0.023000454374848524
82,0.023774157366798027
83,0.024191264391935547
84,0.023283569486101708
85,0.025474150028477423
86,0.02341829685074145
87,0.02495576633191036
88,0.02511012741659705
89,0.024295043883220523
90,0.02459705286513633
91,0.023547438836378682
92,0.02442008810615596
93,0.024097060715809224
94,0.025902375907798713
95,0.02634443547507314
96,0.02517542330346167
97,0.026813543971027715
98,0.025693571233518626
99,0.026649391538365288
100,0.026297066640234543
101,0.028455180902552342
102,0.02734855624436364
